seed,test_fold,n_functions,n_complete_functions,n_incomplete_functions,n_unguarded_sensitive,n_unguarded_call,n_unguarded_delegatecall,n_unguarded_create,n_unguarded_selfdestruct,n_unguarded_sstore,n_sensitive_without_any_recognized_guard,n_storage_condition_guarded_sensitive,n_guards,n_self_call_guards,n_signature_guards,n_storage_guards,n_hardcoded_guards,n_erc4337_entrypoint_guards,n_hardcoded_authority_matches,n_hardcoded_authority_mismatches,n_calldata_dependent_guards,n_tx_origin_guards,fallback_external_call_reachable,fallback_open_external_call,n_unreached_sensitive_sites,coverage_complete,coverage_partial,coverage_unknown
7702,0,0.04801282286643982,0.014827587641775608,0.009112187661230564,0.03714439272880554,0.015776554122567177,0.0,0.0,0.0,0.004748308565467596,0.009684829972684383,0.0,0.019032716751098633,0.0071518453769385815,0.0,0.010121669620275497,0.028076086193323135,0.0,0.0,0.0,0.0,0.0,0.5568370819091797,0.2085428535938263,0.011818581260740757,0.013493883423507214,0.005618641618639231,0.0
7702,1,0.027448492124676704,0.013605193234980106,0.00885616336017847,0.015134857967495918,0.03040144219994545,0.008362540043890476,0.0,0.0,0.02641291730105877,0.006203838624060154,0.004173708148300648,0.012721780687570572,0.0,0.0,0.025864843279123306,0.005793522112071514,0.0,0.0,0.0,0.0,0.0,0.5121616721153259,0.2726011276245117,0.006753896363079548,0.013098088093101978,0.01040585432201624,0.0
7702,2,0.01668890379369259,0.01290138065814972,0.012174407951533794,0.005803560838103294,0.03153997287154198,0.0,0.0,0.0,0.014678184874355793,0.007033138535916805,0.0,0.008791983127593994,0.0007876642048358917,0.0032608951441943645,0.023413797840476036,0.004864284303039312,0.0,0.0,0.0,0.0,0.0,0.4757537245750427,0.36803239583969116,0.003549247980117798,0.006712453439831734,0.004014118108898401,0.0
7702,3,0.015741147100925446,0.008820350281894207,0.0072644599713385105,0.008544382639229298,0.033513594418764114,0.0036295014433562756,0.0,0.0,0.025970816612243652,0.006600779946893454,0.00956697203218937,0.007365566212683916,0.003562202909961343,0.0,0.020771771669387817,0.014574115164577961,0.0,0.0,0.0,0.0,0.0,0.4696010649204254,0.264739990234375,0.004928122740238905,0.025545667856931686,0.06925945729017258,0.0
7702,4,0.034776680171489716,0.01678905263543129,0.008389141410589218,0.03150591254234314,0.009723864495754242,0.0,0.0,0.0,0.0016305905301123857,0.015661511570215225,0.0,0.018743248656392097,0.0,0.0,0.008535360917448997,0.02041332982480526,0.0,0.0,0.0,0.0,0.0,0.5934544205665588,0.198568657040596,0.008446252904832363,0.010066133923828602,0.02329578436911106,0.0
7703,0,0.03799497336149216,0.01779530569911003,0.007518125232309103,0.026426291093230247,0.01250759419053793,0.0,0.0,0.0,0.006802055053412914,0.012343701906502247,0.0,0.016642829403281212,0.07395273447036743,0.045821089297533035,0.010690130293369293,0.02481423132121563,0.0,0.0,0.0,0.0,0.0,0.465364545583725,0.20012718439102173,0.009855362586677074,0.015828095376491547,0.015515653416514397,0.0
7703,1,0.02012617327272892,0.012308004312217236,0.007464186288416386,0.013529573567211628,0.02617558091878891,0.005520907696336508,0.0,0.0,0.022639058530330658,0.00753050297498703,0.0078801978379488,0.012248666025698185,0.13453015685081482,0.0,0.020117396488785744,0.007841771468520164,0.0,0.0,0.0,0.0,0.0,0.41337087750434875,0.250908762216568,0.006473179440945387,0.012844474986195564,0.018490483984351158,0.0
7703,2,0.014496298506855965,0.011257514357566833,0.01171498280018568,0.005862114019691944,0.02542378194630146,0.018928708508610725,0.0,0.0,0.014801203273236752,0.007158789783716202,0.0,0.00808786042034626,0.017697883769869804,0.07306463271379471,0.0210143830627203,0.008324645459651947,0.0,0.0,0.0,0.0,0.0,0.39431774616241455,0.3573790490627289,0.0026094606146216393,0.0056424192152917385,0.0022185049019753933,0.0
7703,3,0.015698708593845367,0.01115200761705637,0.010543539188802242,0.010259746573865414,0.03506032004952431,0.01194454450160265,0.0,0.0,0.02617032453417778,0.010891705751419067,0.009243587031960487,0.011213335208594799,0.0041617220267653465,0.0,0.02192889153957367,0.020153861492872238,0.0,0.0,0.0,0.0,0.0,0.4762049913406372,0.25598806142807007,0.007544121239334345,0.024268485605716705,0.037572093307971954,0.0
7703,4,0.034534141421318054,0.023655546829104424,0.011026952415704727,0.032121919095516205,0.012728223577141762,0.0,0.0,0.0,0.0,0.019235355779528618,0.0,0.020748483017086983,0.0,0.0,0.008345017209649086,0.01813693903386593,0.0,0.0,0.0,0.0,0.0,0.5827605128288269,0.21351741254329681,0.007468243595212698,0.012128932401537895,0.003592322813346982,0.0
