seed,test_fold,val_fold,model,n_train,n_val,n_test,auprc,auroc,brier,threshold_1pct,recall_at_1pct,observed_fpr_at_1pct,precision_at_1pct,f1_at_1pct,threshold_5pct,recall_at_5pct,observed_fpr_at_5pct,precision_at_5pct,f1_at_5pct,threshold_10pct,recall_at_10pct,observed_fpr_at_10pct,precision_at_10pct,f1_at_10pct,n,n_warn,n_low_observed_risk,n_defer,defer_rate,actionable_coverage,warn_recall_on_positives,warn_fpr_on_negatives,positive_rate_within_low_observed_risk,positive_miss_fraction_assigned_low_observed_risk
7702,0,1,sequence,1298,446,446,0.711811933076967,0.7244562298603653,0.1897321561462621,0.9342924356460571,0.4342105263157895,0.02040816326530612,0.9166666666666666,0.5892857142857143,0.7293980121612549,0.5131578947368421,0.04081632653061224,0.8666666666666667,0.6446280991735538,0.6256082653999329,0.5131578947368421,0.06802721088435375,0.7959183673469388,0.624,,,,,,,,,,
7702,0,1,dcrg,1298,446,446,0.9371850541834587,0.9798044217687075,0.044664580768242416,0.9908270955759619,0.13157894736842105,0.006802721088435374,0.9090909090909091,0.22988505747126434,0.3726964337236122,0.9802631578947368,0.05442176870748299,0.9030303030303031,0.9400630914826498,0.012436154251189694,0.9868421052631579,0.1598639455782313,0.7614213197969543,0.8595988538681948,,,,,,,,,,
7702,0,1,dcrg_sequence_noisy_or,1298,446,446,0.901132657769653,0.9564200680272109,0.06917338800561464,0.9989864352684252,0.26973684210526316,0.006802721088435374,0.9534883720930233,0.4205128205128205,0.757153552737135,0.5986842105263158,0.04421768707482993,0.875,0.7109375,0.6960688592368838,0.5986842105263158,0.06462585034013606,0.8272727272727273,0.6946564885496184,,,,,,,,,,
7702,0,1,coverage_aware_selective_policy,1298,446,446,,,,,,,,,0.757153552737135,,,,,,,,,,446.0,104.0,142.0,200.0,0.4484304932735426,0.5515695067264574,0.5986842105263158,0.04421768707482993,0.4154929577464789,0.3881578947368421
7702,1,2,sequence,1317,427,446,0.9475733714646848,0.9788812785388128,0.04700112136426229,0.9319139719009399,0.5684931506849316,0.013333333333333334,0.9540229885057471,0.7124463519313307,0.6588389873504639,0.8561643835616438,0.056666666666666664,0.8802816901408451,0.8680555555555556,0.03166843205690384,0.9931506849315068,0.14,0.7754010695187166,0.8708708708708709,,,,,,,,,,
7702,1,2,dcrg,1317,427,446,0.9509248959534823,0.989554794520548,0.026131895319888816,0.9370989056870492,0.7808219178082192,0.013333333333333334,0.9661016949152542,0.8636363636363635,0.19787445358890077,0.9726027397260274,0.03333333333333333,0.9342105263157895,0.9530201342281879,0.030237074377303236,1.0,0.06333333333333334,0.8848484848484849,0.9389067524115756,,,,,,,,,,
7702,1,2,dcrg_sequence_noisy_or,1317,427,446,0.939870819545892,0.9869634703196347,0.040033662513410825,0.9384411748222722,0.9315068493150684,0.016666666666666666,0.9645390070921985,0.9477351916376308,0.6667041588614413,0.9726027397260274,0.06,0.8875,0.9281045751633986,0.22871236761750124,1.0,0.07666666666666666,0.863905325443787,0.926984126984127,,,,,,,,,,
7702,1,2,coverage_aware_selective_policy,1317,427,446,,,,,,,,,0.6667041588614413,,,,,,,,,,446.0,160.0,71.0,215.0,0.4820627802690583,0.5179372197309418,0.9726027397260274,0.06,0.056338028169014086,0.0273972602739726
7702,2,3,sequence,1316,447,427,0.9702414932085585,0.983614575690878,0.0497799729873747,0.05064273253083229,0.9448275862068966,0.031914893617021274,0.9383561643835616,0.9415807560137458,0.008639169856905937,0.9793103448275862,0.07446808510638298,0.8711656441717791,0.922077922077922,0.006641317158937454,0.993103448275862,0.0851063829787234,0.8571428571428571,0.9201277955271565,,,,,,,,,,
7702,2,3,dcrg,1316,447,427,0.9674963489609602,0.9885791146979702,0.03069196130735241,0.9306497621446602,0.16551724137931034,0.0035460992907801418,0.96,0.2823529411764706,0.08641958199101622,0.9724137931034482,0.04964539007092199,0.9096774193548387,0.94,0.012028900728341244,0.993103448275862,0.08156028368794327,0.8622754491017964,0.9230769230769231,,,,,,,,,,
7702,2,3,dcrg_sequence_noisy_or,1316,447,427,0.9793522665272758,0.9881144534115922,0.025608730487424073,0.9308751564451193,0.7655172413793103,0.010638297872340425,0.9736842105263158,0.8571428571428571,0.11326626788694671,0.993103448275862,0.07092198581560284,0.8780487804878049,0.9320388349514562,0.043143837380332783,0.993103448275862,0.10283687943262411,0.8323699421965318,0.9056603773584906,,,,,,,,,,
7702,2,3,coverage_aware_selective_policy,1316,447,427,,,,,,,,,0.11326626788694671,,,,,,,,,,427.0,164.0,52.0,211.0,0.49414519906323184,0.5058548009367682,0.993103448275862,0.07092198581560284,0.0,0.0
7702,3,4,sequence,1319,424,447,0.9880104339628495,0.994198408359152,0.032687463616106624,0.9721308946609497,0.2903225806451613,0.0,1.0,0.45000000000000007,0.9080190658569336,0.8817204301075269,0.002824858757062147,0.9879518072289156,0.9318181818181818,0.44692209362983704,0.989247311827957,0.06497175141242938,0.8,0.8846153846153847,,,,,,,,,,
7702,3,4,dcrg,1319,424,447,0.9101559049149466,0.9840380292813317,0.025713455715762622,0.975061089913147,0.4838709677419355,0.01977401129943503,0.8653846153846154,0.6206896551724138,0.25609707602455073,1.0,0.062146892655367235,0.808695652173913,0.8942307692307693,0.01787876191385404,1.0,0.17796610169491525,0.5961538461538461,0.7469879518072289,,,,,,,,,,
