0xe0	0xe9
0x19	0x58
0x54	0x8a0x0
0x85	0x8a0x0
0x90	0x97
0x99	0xa0
0x9c	0x24c
0xa4	0xad
0xba	0xc1
0xc3	0xdc
0xce	0xd7
0xd8	0x289
0xf6	0xfd
0xff	0x106
0x102	0x293
0x10a	0x113
0x120	0x127
0x129	0x142
0x134	0x13d
0x13e	0x2a5
0x146	0x14f
0x15c	0x163
0x165	0x16c
0x168	0x2b0
0x170	0x179
0x186	0x18d
0x18f	0x1a8
0x19a	0x1a3
0x1a4	0x2b8
0x1ac	0x1b5
0x1c2	0x1c9
0x1cb	0x1d2
0x1ce	0x2c3
0x1d6	0x1df
0x1ec	0x1f3
0x1f5	0x20e
0x200	0x209
0x214	0x21b
0x21d	0x236
0x228	0x231
0x232	0x6ae
0x23a	0x243
0x30c	0x31a
0x31b	0x359
0x348	0x350
0x366	0x4e6
0x372	0x37e
0x379	0x1fe4
0x38a	0x393
0x3b0	0x3bc
0x3b7	0x2030
0x3c5	0x3ce
0x3d2	0x3dc
0x3f1	0x415
0x411	0x41a
0x424	0x452
0x42f	0x43b
0x436	0x207c
0x447	0x450
0x454	0x49c
0x458	0x460
0x48a	0x493
0x4c4	0x4cf
0x4e2	0x35e
0x4ef	0x4fb
0x4f6	0x20c8
0x505	0x50e
0x519	0x525
0x520	0x2114
0x52f	0x538
0x56a	0x49d8
0x58d	0x6a1
0x5ad	0x5b5
0x5cb	0x5ef
0x5eb	0x5f4
0x5fa	0x650
0x63a	0x643
0x64c	0x69f
0x68d	0x696
0x24db	0x4a02
0x4a0d	0x4a21
0x4a0f	0x4a30
0x4a11	0x4a33
0x4a13	0x4a36
0x4a15	0x4a39
0x4a17	0x4a3c
0x4a19	0x4a24
0x4a1b	0x4a27
0x4a1d	0x4a2a
0x4a1f	0x4a2d
0x95dV0x16c	0x968B0x16c
0x964V0x16c	0x946B0x16c
0x947V0x16c	0x94fB0x16c
0x94bV0x16c	0x93aB0x16c
0xca5V0x3bc	0xc82B0x3bc
0xcc7V0x3bc	0xc86B0x3bc
0xce3V0x3bc	0xc8aB0x3bc
0xc9eV0x3bc	0xcaaB0x3bc
0xcc0V0x3bc	0xcccB0x3bc
0xcdcV0x3bc	0xce8B0x3bc
0xc46V0x31f	0xc4eB0x31f
0xc4aV0x31f	0xc15B0x31f
0xc24V0x31f	0xc2cB0x31f
0xc28V0x31f	0xbc7B0x31f
0xc17V0x31f	0xc21B0x31f
0xe4cV0x591	0xe54B0x591
0xe50V0x591	0xe2aB0x591
0xe38V0x591	0xe40B0x591
0xe2cV0x591	0xe35B0x591
0x7a2V0xa0	0x7abB0xa0
0x7a7V0xa0	0x75bB0xa0
0x766V0xa0	0x76fB0xa0
0x772V0xa0	0x77fB0xa0
0x780V0xa0	0x788B0xa0
0x75dV0xa0	0x765B0xa0
0x761V0xa0	0x723B0xa0
0x7a2V0x1d2	0x7abB0x1d2
0x7a7V0x1d2	0x75bB0x1d2
0x766V0x1d2	0x76fB0x1d2
0x772V0x1d2	0x77fB0x1d2
0x780V0x1d2	0x788B0x1d2
0x75dV0x1d2	0x765B0x1d2
0x761V0x1d2	0x723B0x1d2
0xd2eV0x3ce	0xd38B0x3ce
0xd34V0x3ce	0xd08B0x3ce
0xd16V0x3ce	0xd20B0x3ce
0xd1cV0x3ce	0xcfaB0x3ce
0xd0aV0x3ce	0xd13B0x3ce
0x7a2V0x460	0x7abB0x460
0x7a7V0x460	0x75bB0x460
0x766V0x460	0x76fB0x460
0x772V0x460	0x77fB0x460
0x780V0x460	0x788B0x460
0x75dV0x460	0x765B0x460
0x761V0x460	0x723B0x460
0x8b1V0xdc	0x8bcB0xdc
0x89bV0x8a9V0xdc	0x8a3B0x8a9B0xdc
0x8d9V0x106	0x8e4B0x106
0x8c3V0x8d1V0x106	0x8cbB0x8d1B0x106
0x8b1V0x142	0x8bcB0x142
0x89bV0x8a9V0x142	0x8a3B0x8a9B0x142
0x8d9V0x1a8	0x8e4B0x1a8
0x8c3V0x8d1V0x1a8	0x8cbB0x8d1B0x1a8
0xadbV0x1f3	0x2327B0x1f3
0xaf8V0x1f3	0x234aB0x1f3
0xb27V0x1f3	0x236dB0x1f3
0xb56V0x1f3	0x2390B0x1f3
0xad4V0x1f3	0xae0B0x1f3
0xaf1V0x1f3	0xafdB0x1f3
0xafeV0x1f3	0xb09B0x1f3
0xb20V0x1f3	0xb2cB0x1f3
0xb2dV0x1f3	0xb38B0x1f3
0xb4fV0x1f3	0xb5bB0x1f3
0xb5cV0x1f3	0xb67B0x1f3
0xb6fV0x1f3	0xb7aB0x1f3
0x9b5V0xafdV0x1f3	0x21c9B0xafdB0x1f3
0x9d2V0xafdV0x1f3	0x21ecB0xafdB0x1f3
0x9eeV0xafdV0x1f3	0x220fB0xafdB0x1f3
0x9cbV0xafdV0x1f3	0x9d7B0xafdB0x1f3
0x9e7V0xafdV0x1f3	0x9f3B0xafdB0x1f3
0x9aeV0xafdV0x1f3	0x9baB0xafdB0x1f3
0xa0aV0xb2cV0x1f3	0x2232B0xb2cB0x1f3
0xa27V0xb2cV0x1f3	0x2255B0xb2cB0x1f3
0xa43V0xb2cV0x1f3	0x2278B0xb2cB0x1f3
0xa20V0xb2cV0x1f3	0xa2cB0xb2cB0x1f3
0xa3cV0xb2cV0x1f3	0xa48B0xb2cB0x1f3
0xa03V0xb2cV0x1f3	0xa0fB0xb2cB0x1f3
0xa5fV0xb5bV0x1f3	0x229bB0xb5bB0x1f3
0xa7cV0xb5bV0x1f3	0x22beB0xb5bB0x1f3
0xa98V0xb5bV0x1f3	0x22e1B0xb5bB0x1f3
0xa75V0xb5bV0x1f3	0xa81B0xb5bB0x1f3
0xa91V0xb5bV0x1f3	0xa9dB0xb5bB0x1f3
0xa58V0xb5bV0x1f3	0xa64B0xb5bB0x1f3
0xabaV0xb67V0x1f3	0x2304B0xb67B0x1f3
