0xa0
0xad
0xd7
0xdc
0xe9
0x106
0x113
0x13d
0x142
0x14f
0x16c
0x179
0x1a3
0x1a8
0x1b5
0x1d2
0x1df
0x209
0x20e
0x231
0x236
0x243
0x350
0x37d
0x393
0x3bb
0x3ce
0x3dc
0x43a
0x450
0x460
0x493
0x4cf
0x4fa
0x50e
0x524
0x538
0x5b5
0x643
0x696
0x71b
0x765
0x76f
0x77f
0x788
0x7ab
0x7ed
0x7fd
0x818
0x830
0x84b
0x866
0x874
0x885
0x8a3
0x8bc
0x8cb
0x8e4
0x900
0x90e
0x91f
0x930
0x94f
0x968
0x982
0x990
0x9b9
0x9d6
0x9f2
0xa0e
0xa2b
0xa47
0xa63
0xa80
0xa9c
0xabe
0xadf
0xafc
0xb09
0xb2b
0xb38
0xb5a
0xb67
0xb7a
0xb9e
0xbac
0xbbd
0xc21
0xc2c
0xc4e
0xca9
0xccb
0xce7
0xd13
0xd20
0xd38
0xd4d
0xd68
0xd82
0xd90
0xdbd
0xdc7
0xdd7
0xde0
0xdfe
0xe0b
0xe1d
0xe35
0xe40
0xe54
0xe98
0xeb6
0xec9
0xed5
0xef3
0xefd
0xf17
0xf1c
0xf37
0xf43
0xf5e
0xf6f
0xf8c
0xfa9
0xfb6
