arm,fold,model,seed,threshold,splitter
val_threshold,4,opcode-histogram RF,7704,0.25333333333333335,
val_threshold,4,opcode-histogram XGBoost,7704,0.12320589274168015,
val_threshold,4,opcode-histogram XGBoost-aug,7704,0.0032283158507198095,
val_threshold,4,AuthGuard-M0,7704,0.006199264898896217,
val_threshold,4,AuthGuard-aug,7704,0.003423569491133094,
oof_threshold,4,opcode-histogram RF,7702,0.25333333333333335,StratifiedGroupKFold
oof_threshold,4,opcode-histogram XGBoost,7702,0.08176664263010025,StratifiedGroupKFold
oof_threshold,4,opcode-histogram XGBoost-aug,7702,0.17468325793743134,StratifiedGroupKFold
oof_threshold,4,AuthGuard-M0,7702,0.07051502913236618,StratifiedGroupKFold
oof_threshold,4,AuthGuard-aug,7702,0.12480492144823074,StratifiedGroupKFold
