fold,condition,malicious,benign
0,M0,487,983
0,M1,487,983
0,M2,487,983
0,F25,487,983
0,F50,487,983
0,F100,487,983
1,M0,484,986
1,M1,484,986
1,M2,484,986
1,F25,484,986
1,F50,484,986
1,F100,484,986
2,M0,532,938
2,M1,532,938
2,M2,532,938
2,F25,532,938
2,F50,532,938
2,F100,532,938
3,M0,461,1009
3,M1,461,1009
3,M2,461,1009
3,F25,461,1009
3,F50,461,1009
3,F100,461,1009
4,M0,415,1055
4,M1,415,1055
4,M2,415,1055
4,F25,415,1055
4,F50,415,1055
4,F100,415,1055
