0x5c
0x7e
0x8f
0xa5
0xaf
0x14e
0x1d3
0x1e0
0x20a
0x20f
0x21c
0x246
0x24b
0x258
0x282
0x287
0x2d5
0x2f3
0x315
0x327
0x331
0x3b7
0x42e
0x44b
0x45c
0x46f
0x474
0x485
0x4d4
0x4df
0x4ee
0x531
0x53c
0x54a
0x560
0x572
0x57d
0x594
0x5df
0x5ea
0x60c
0x61d
0x62d
0x646
0x662
0x67d
0x68c
0x6a7
0x6c2
0x6d0
0x6e1
0x6f4
0x70d
0x727
0x742
0x75d
0x76b
0x77c
0x78f
0x7a8
0x7b7
0x7d2
0x7ec
0x7fa
0x818
0x81d
0x82e
0x871
0x87c
0x89e
