0x0	0xd
0xd	0x1d
0x42	0x12f6
0x7e	0x82
0x8f	0x97
0xbe	0x11d
0x157	0x1b2
0x331	0x33c
0x341	0x344
0x344	0x34d
0x352	0x386
0x4df	0x4e7
0x54a	0x559
0x57d	0x58d
0x1bf	0x1c7
0x1e9	0x1f1
0x225	0x22d
0x261	0x269
0x1d	0x28
0x28	0x33
0x33	0x3e
0x34d	0x352
0x6adB0x1f4	0x6bbB0x1f4
0x662B0x66fB0x6c3B0x1f4	0x669B0x66fB0x6c3B0x1f4
0x68cB0x699B0x6d0B0x1f4	0x693B0x699B0x6d0B0x1f4
0x748B0x230	0x756B0x230
0x727B0x734B0x76bB0x230	0x72eB0x734B0x76bB0x230
0x68cB0x699B0x75eB0x230	0x693B0x699B0x75eB0x230
0x2bcB0x246	0x2c3B0x246
0x7d8B0x26c	0x7e5B0x26c
0x7b7B0x7c4B0x7edB0x26c	0x7beB0x7c4B0x7edB0x26c
0x2d5B0x246	0x2d6B0x246
