architecture,model_key,trainable_parameters,n_seeds,clean_detection_mean,clean_detection_sd,random_ASR_mean,random_ASR_sd,beam_ASR_mean,beam_ASR_sd,robust_recall_mean,robust_recall_sd
Chunk attention,chunk_attention_16384,30050,3,0.8693259972489683,0.0422770703612398,0.09173556422453792,0.004535087530821813,0.06885309244553355,0.005916313417872819,0.7895460797799174,0.03803659816956649
Chunk mean,chunk_mean_16384,29985,3,0.7831270059605685,0.00618557430684642,0.9824458086553328,0.0012954480286021292,0.9233611974129851,0.008529275703138032,0.013755158184319119,0.0011231039627616593
Flat control,flat_control_16384,29985,3,0.8193489225126088,0.008278528237170004,0.8666465614380515,0.03069668838092023,0.7164378210235262,0.04314566087469548,0.10912425492893169,0.024408677953610573
