seed,architecture,model_key,trainable_parameters,clean_detection_rate,n_positive_observations,validation_thresholds_by_fold,n_eligible_observations,n_eligible_families,random_successes,random_ASR,beam_successes,beam_ASR,robust_recall,invalid_attack_records,failed_attack_records,total_attack_queries
7702,Chunk attention,chunk_attention_16384,30050,0.8583218707015131,727,"[0.308762, 0.354865, 0.409369, 0.466545, 0.845942]",624,186,61,0.09775641025641026,44,0.07051282051282051,0.7744154057771664,0,1143,42440
7702,Chunk mean,chunk_mean_16384,29985,0.7757909215955984,727,"[0.38336, 0.485747, 0.5737, 0.693903, 0.759444]",564,176,555,0.9840425531914894,524,0.9290780141843972,0.012379642365887207,0,49,42181
7702,Flat control,flat_control_16384,29985,0.8308115543328748,727,"[0.227108, 0.334067, 0.446667, 0.643934, 0.707079]",604,191,533,0.8824503311258278,413,0.6837748344370861,0.09766162310866575,0,262,42326
7703,Chunk attention,chunk_attention_16384,30050,0.8239339752407153,727,"[0.328461, 0.371167, 0.388354, 0.547381, 0.638525]",599,185,52,0.08681135225375626,45,0.07512520868113523,0.7524071526822559,0,1101,42230
7703,Chunk mean,chunk_mean_16384,29985,0.782668500687758,727,"[0.455774, 0.638953, 0.677006, 0.764889, 0.798916]",569,174,559,0.9824253075571178,529,0.929701230228471,0.013755158184319119,0,50,42223
7703,Flat control,flat_control_16384,29985,0.811554332874828,727,"[0.301801, 0.392522, 0.656836, 0.694501, 0.799923]",590,181,486,0.823728813559322,406,0.688135593220339,0.14305364511691884,0,288,42314
7704,Chunk attention,chunk_attention_16384,30050,0.9257221458046767,727,"[0.274497, 0.343068, 0.446837, 0.462991, 0.916538]",673,188,61,0.09063893016344725,41,0.06092124814264487,0.8418156808803301,0,1244,42514
7704,Chunk mean,chunk_mean_16384,29985,0.7909215955983494,727,"[0.478251, 0.542306, 0.580902, 0.653967, 0.7804]",575,180,564,0.9808695652173913,524,0.9113043478260869,0.015130674002751032,0,62,42207
7704,Flat control,flat_control_16384,29985,0.8156808803301238,727,"[0.297007, 0.466182, 0.70437, 0.788035, 0.795307]",593,186,530,0.893760539629005,461,0.7774030354131535,0.08665749656121045,0,195,42311
