sample_file,sample_id,file_sha256,decoded_bytecode_sha256,decoded_bytes,benchmark_runtime_exact_match
sample_024.hex,bnb:0x8e8e658e22b12ada97b402ff0b044d6a325013c7,b82037e2bf78d07a3dc68dc8a06714ea250ee2db5404c3f792e7ef14a814a423,a6dad38061761940c4a26dd38a23ce35fee92d0b1da33bd957c50367df79dafe,7997,1
sample_025.hex,base:0xcf2d3f920e98b440310b276815148f786ed0b4b2,cb71f31a241b47cccb2ce4292550ae2d454059b5e49344526ebf6c70be91db83,c214b25db36ac07b102a6eea38d6d7cf05f5c2623b82a8527f19a441e3eaee23,3815,1
sample_026.hex,base:0x544f5b0b663eef435d1c76b903a69edd4386f28d,f887880cd4e6b6176d8acc2db4bbb943b4bf0e0963fb2261aa64e1811fa9c44d,d726aa0104a9bce83457f8ed4ae62f2b84ffefb6ea4a0a308bca86f0fc82363f,4174,1
sample_027.hex,base:0x192271cecdbf238334039582fd3d2527137eaa3b,fc20300a1577a8bbf627da82b952bb63c65cbc2bed79bf313c907c10bff8e0c7,241416147f09d4db60c3473dcdf514b103120006c24c57d38528ba2aebc8a8a5,3977,1
sample_028.hex,bnb:0x3740e24e90e3dd2e3e7ba8666ab2619125ca2c0c,72d47b0716f0ced40a1bffd5a5aedf1c9d767edf8fde561655769c4c69d0e494,a66e1a7a879d1d2cdc5ac5e8f8518aa575d20493be1ca7e2e3e444c5154b3ed6,3495,1
sample_029.hex,bnb:0xd3b1147f0826cb992ee47d858febdda2d2c5a54c,81db29f267f4e740f70d971c67a626eddb51a444c06721101305580f0d8cd3a6,3d5a74194523e682a74949677e77db5ffed8aa09ad922210a0021f8b6fac62c6,5460,1
sample_030.hex,ethereum:0x3d560dad46fbcb746ca145fd4e065ac0af7991ca,1e758522db054e0a417a7582bbca04c2257c9097d09c1682521cb2a6d5fcc715,72aad44b099384a0fdb9b2abe0b0b665eb30e3a3c2e65cc22ee04d10ad5c43cb,5405,1
sample_031.hex,ethereum:0xf5fb3834b41b9ad538fc30a34dae20ecb584cce3,f84a67386fdf0b45b10d3d6c9651ab7a723511098e8e9b468ec2ce91359c45c8,0922291ec7d9b1da9b273389db56f7729a30dbc8cb0d0835f6c767a8d3a79707,3249,1
sample_032.hex,ethereum:0x7f7f0dcbe8add58145b2785afea40950891b44c8,9f4bbccbefad3df257b05d86a3c4c7b1972d0db8a96daa63d86f9a3b03f41c6c,3e5d93d2e610353b5e0722ed0cef8d18d819e2a04cfdb1575802e39d9cab9d91,5993,1
sample_033.hex,ethereum:0xcf45b71a976bf6b71c509936e3f1033cebd8ea14,81fe3aa7e6775bdbcfc0ea0fe5fe77cac5463daf33badce7b44809aa079c652e,f49bb7648a92c329e0c2315a6177e52299acae44190975a6253908acee0b388a,6202,1
sample_034.hex,bnb:0x09b917c2ed6efa27a4b6395d72c584b9ce355a40,235d11bd8bf5d408d8e87e7c0dc7f48c8e7d539f7b6ae1def6904f3b806d720f,043fbe0484e6bc5a2797b4117351330ea004d19d32c3a8ca437ad7a5c1a0af42,5230,1
sample_035.hex,optimism:0xa213798e20fd04a31e468a93ddf2703364803a21,500eea9eb5ba6321f183615ceff1790fac343a6aaf397f7c91bb180fdcd35d7f,7ede72c57a67668bcc5cf9a86caa2159700b32dad7f4256f34b980361835ab08,6430,1
sample_036.hex,base:0x1d383d085d87aa0105930bf141605d8e6983d299,b7609fa99eb04427c0ad5960d51c45d8fe50cdaff9e994cc4a2c7eaf1b3f7397,44c7fe772ce9f0b38417380e1ad39ed37d2f60178303baf965442f1ae9f5ed19,3931,1
sample_037.hex,arbitrum:0x4b35bd14dbb9a256184e663284c1db5ad04db403,25bb350721429d6002d7829cd98fa6a7664ce270b3d1c54b5825dad02d7e176d,e70283e612761693abdc8def07b781faea71e952cf45f860bf6937800b8d7edb,4057,1
sample_038.hex,base:0x6ccf6fc8bd7eb3bee762887196a2f0d8c52ef3c1,4ed8b7c0c675faef42c1d12db976dc2ab6e22f028364634c22a47f3a77a212ca,0dad91979603ff4cdf8328ed5012aa27110d0606a5015dd52cb42ec23854ef01,7042,1
sample_039.hex,base:0x1fbb9d39e147908257dbc08cfea288eb860de43c,23d96ae6593e19ef84dda87ba57672908da001d29dd58ffa01d532cc02f7b44b,5225e9b19fcac76db864674219692d0d047ade9b82d5c770a644b675ba62cebc,5607,1
sample_040.hex,ethereum:0x39e44fba9b86e3603151637d6b8f4576b1bb4fbc,13ad40bde3fd840d1a1663fcb799898d84ce6cd0236c3479220df24751a405e9,4342421534612b6580119108f668776b97b373b6243b65322d5126712662235a,1442,1
sample_041.hex,ethereum:0x4cd241e8d1510e30b2076397afc7508ae59c66c9,4af026af0ee6b38d817461058a2be2b7f085e14df786cd1502d5d7a84597ece4,2152bba1e68a2386a64a814981ff552d64a8230e555e21d2a90a036060d181f2,3639,1
sample_042.hex,bnb:0xdb21ed194d8778b8b5cc2410ad2a3a78a2abad8e,bf0ccaf78039ee13e005c8acc3f4e4d0dd514c8e1a421e01a374e09d7bb10561,a53bcf90382973cb7257825b164b6557b1910b0a8bfcd4672e7a96c99cf4eddb,979,1
sample_043.hex,base:0xe86697313f359a4ad7fd988f3cde37cc04558479,fc158030174e49fd55a66fb3f90d7fa9150aad36f5ac6ea77c50a10130942d05,f51acf68b74b254888d2edb557ddb364ffbde89d0e45886d377c47465f37628c,3399,1
sample_044.hex,optimism:0x58ab3381fd9a28eb3f5805c25932102c395e59c3,b98aabe10366a8a05dc0adfa49bce998729cd8910ad23c743b4df2d8a71d5a70,9a9a7332f3e05c487eac54a777090395ff82bd557125b58aeedcb54d03182a2a,2715,1
sample_045.hex,ethereum:0x4faf0e356f72139e058e61a49f354f27c674ca0a,565f011b01c819363ee7656909a0adc1e304ebb02ab1b2dbee63655092aa5094,cda26bfbb34a3cd197ea9119f87be6fbd652b0891ac04db0273976f67dbbb463,2745,1
sample_046.hex,ethereum:0xa44fcef1be276e4db7c331a381f2af4f8da8825b,47b3d1a7fd7282990ef35105450caf5d076343017721a92e055d37367529df31,64bd4dbad456104c97072c521081fcfdbe1f880478e7e4a2cb635f289791d17f,484,1
sample_047.hex,ethereum:0x53e30572162f147d47db796a54bf553e66ed154b,0f2f22d6fdc74a2d041493cca9382b06f6c9bee32bff81dab93cff3d26138b18,7bf1479d57c1502a8aeef8e3f9f994935232e27e9b92b8e0fe14f7952ad459dc,62,1
sample_048.hex,ethereum:0xe92907ab742c61943a21fe6d5175e0e0487d73cc,9411394f369203508e4d9878fc0a6064df5734f3a45e7a6073d9c73f7564336d,c15fc5d5be9ff0df2a7ff6b467d12f04b8ded492cfc8fd63916a10c5735e5ffb,38,1
sample_049.hex,ethereum:0x2db3224808f473c92fdffc327095400c4c9b0588,c7b357cc8fd4a88ebe98accf303e928c21a262a4a1143f9f90dea58d0f5729b2,9eb311b6e1ccaede125c190a926ae55a8d4132da2270d40057431d3c88e12e0a,828,1
sample_050.hex,bnb:0x38c401c978f047e689980da3fb884925575e39a5,7a4ea1db4d918d36d5a52f3922621e3d17547bb92107688925773d55f23dd58f,de9ea36eeae37e8767856832cac2ea8ee666110d6a7bbc420fb3fa32e2839c49,3497,1
sample_051.hex,bnb:0xda77f053c1ee9d2901c9cbe69da98c58fed45465,d6506821fadae7fb7c4d48e6c25c98c23acb0f3584e14b79f5a8efe7b164e415,dc99e789be075a417c596b3f959cde9cf122db77fa8917f639786443bfa4924f,1667,1
sample_052.hex,ethereum:0xad96f83ad7df7dcfd3faf724dec83b27bb4d8ded,22eee22498190cf82b9de0565fb0f5330fe4424268a87a09c4d52f24caa205b8,95df96babaec80b7c50db64ada1f5192ff129210dd541d13cd9fe22a85b70ba9,1073,1
sample_053.hex,bnb:0x6aad959be02e67396457ce29730f5ae7a2ef8db0,53e63d6aa972d2a655c3679eca9c12ad3c0bbf0fb7075e424e1acd6cab8f8ef4,0ba80c05e24eeb5e8993416ef66023409ebd03d7f47b7b9b5d5b45a7c60ad436,2857,1
sample_054.hex,base:0x72ec679bc22cc91abcc3bcbbe93b977a6b7b6571,595b0b79bc0d01d28881d48034942260af37389ca8d118a2c810ba804de0f9ab,81934fb2b6293b4843466b3dfebd57491844b45be432df44acc9d6db08d2b1ba,2054,1
sample_055.hex,bnb:0xef1f6e80c2f405d1a0acd6c36d87457113fb83c9,436b186d82def678972bbe738a2a2cc5f8f64f85cfb60807543894affd8ef673,893fca1a256e456c3dad61d620c8b42a326e45fd95737e7bf74868c771565ff7,3177,1
sample_056.hex,base:0x9864340f16fabb27612cef471312e6271628c726,9c44753c3b228bbf5b8f91765213b72eb5294223a61ebdeaf58943c419f20d3d,94eb3caaeaf8cd649791ae4c490768c3bfe7e048707458106afeeefa62b51fca,3136,1
sample_057.hex,arbitrum:0xc57a8d27297d19322ff8f3b9991039bed5ec70f1,6a38c51f8a44b5d297953caf316cde05b6bed0869f8bc9322669fc9ba0f1b58d,e7c719de179933d48d6e7c4d50f893c6c8c2fb556bceac49d7eb325d26edb59b,2403,1
sample_058.hex,ethereum:0x0000ce484ce6afbf650eb6b009dae2655aa39fc4,66b6c718bc1acec56591f088eaa373b315d3ea06b53894274fdd3466b176b88e,9357e27548626f522388047254c876b7c50dda9152df6495976ba9d05a36bb9b,3161,1
sample_059.hex,bnb:0x09ad818185b9b9b2f378ce3c22ae30ffe3a93e20,34b6195e33c38f12d278304aa15550fbfa547304c715e55fdf9eb530054dffb1,76d26274a54629ae9747ab65dc5ed97c6c072855f37f4ee33b10ca659de549ad,2267,1
