sid,family_id,class_name,y,exec_bytes,first_stop_offset,region_bytes,near_empty,whole_body,no_stop,stop_at_final_byte,feature_nnz,feature_l1,features_finite,oof_score_first_stop_full
bnb:0xddc07d0afd35bd50fd73faf6f6eb9f27873875f7,F01139,benign_cleared,0,1895,27.0,28,False,False,False,False,39,62.733333587646484,True,0.0008482080302201211
bnb:0x56f5bb334ea7b3b67dfe926588399a08e941c361,F00923,benign_cleared,0,3485,370.0,371,False,False,False,False,105,560.4969482421875,True,0.00867266021668911
bnb:0xc834d0a6c170dcfefa596a4ce47b0b94cef3e34e,F00815,benign_cleared,0,3269,93.0,94,False,False,False,False,69,191.56666564941406,True,0.0002561099245212972
bnb:0x73744f2f59b303dbaa44ccca717cec9f1ab4de9c,F00918,benign_cleared,0,4115,139.0,140,False,False,False,False,53,279.0211486816406,True,0.0006334733916446567
bnb:0x64429ad080475e2e12d8fc024a00e61b7d8b4ca3,F01229,benign_cleared,0,424,65.0,66,False,False,False,False,67,140.18783569335938,True,7.225455192383379e-05
bnb:0x1c927815f31ea41d51d7a9dfbcf736e8a2bad8d4,F00915,benign_cleared,0,5897,28.0,29,False,False,False,False,39,62.6727294921875,True,0.00018268561689183116
bnb:0x00000000001cbc2f91b298cea088f19b78574a5d,F01107,benign_cleared,0,1216,49.0,50,False,False,False,False,48,104.36666870117188,True,0.0002670974936336279
bnb:0x943c965a22d1b9005c9ba347a74226c9e00e5154,F01230,benign_cleared,0,4487,150.0,151,False,False,False,False,53,300.0473327636719,True,0.000575273938011378
bnb:0xad692eb33615c2d4c8fdada286c8c7ead6abaa38,F01159,benign_cleared,0,6637,189.0,190,False,False,False,False,67,376.0060119628906,True,0.0030858039390295744
bnb:0x519ea9dc3e6403c2aabbbc0455b72c20d7b57ca2,F01231,benign_cleared,0,3792,46.0,47,False,False,False,False,45,98.44444274902344,True,0.00030714718741364777
bnb:0x86a14b1350538862a71070af34f38ba9156037cd,F00923,benign_cleared,0,3485,370.0,371,False,False,False,False,105,560.4969482421875,True,0.00867266021668911
bnb:0x63669af9b210e060bedc6f7bfac7aead58608234,F01232,benign_cleared,0,1715,54.0,55,False,False,False,False,62,118.17839050292969,True,0.00031761504942551255
bnb:0x76cf8a1c30a25a1a9006d7d2a5958d72f3088768,F01233,benign_cleared,0,2015,72.0,73,False,False,False,False,47,147.67694091796875,True,7.523443491663784e-05
bnb:0x82bd53fd9cef77b6ef3868b7118c74ed62a6657a,F00709,benign_cleared,0,1971,97.0,98,False,False,False,False,72,173.06201171875,True,0.004874438978731632
bnb:0x495640a9196507bf24d15a8e8b4b9578bc65ed1d,F01189,benign_cleared,0,2020,28.0,29,False,False,False,False,39,62.6727294921875,True,8.257476292783394e-05
bnb:0x15557dcc8d6eaa261d979ec2fcd409ef53bc4e6c,F01234,benign_cleared,0,4280,61.0,62,False,False,False,False,47,126.56560516357422,True,6.27492627245374e-05
bnb:0x30c07fc28607463a85b7f9afa539b4a4db80ec97,F00916,benign_cleared,0,101,95.0,96,False,False,False,False,80,168.56248474121094,True,0.001445365371182561
bnb:0x686ad4b806e015102c3529f0d882c814a09c3a0f,F00693,benign_cleared,0,935,38.0,39,False,False,False,False,46,83.11000061035156,True,0.00013606318680103868
bnb:0x2ca0eedf52be451e97d1b5dda009606b3ebfd4b8,F00684,benign_cleared,0,1990,39.0,40,False,False,False,False,45,84.19444274902344,True,0.0005393403116613626
bnb:0x0c59fba200aaeb2eac59c4190dfa8b482b2d3f61,F01235,benign_cleared,0,444,53.0,54,False,False,False,False,56,114.2348403930664,True,0.0006892617093399167
bnb:0x6a453b327174b4d002c4e8c977bb1eb4de18858e,F01236,benign_cleared,0,188,49.0,50,False,False,False,False,62,112.67839050292969,True,0.0004223258583806455
bnb:0x4d850c12e68594203c3d33aeb7bb67c0a2982834,F01128,benign_cleared,0,7101,297.0,298,False,False,False,False,112,575.2484741210938,True,0.0021924618631601334
bnb:0x4a8a5db1629581c620a488d08de2aa9fb594cfaa,F01237,benign_cleared,0,1645,76.0,77,False,False,False,False,64,160.52581787109375,True,0.0006712583126500249
bnb:0xb215c78c88bc16ba04a701efb57f05a301f75028,F01238,benign_cleared,0,9,,9,True,True,True,False,17,23.28571319580078,True,4.373783303890377e-05
bnb:0xccae78ce3f82b0946628f9ca82a3c554a70fc42d,F00684,benign_cleared,0,1990,39.0,40,False,False,False,False,45,84.19444274902344,True,0.0005393403116613626
bnb:0xf008f124c606c2eba0af5a8288f9132c6ee051a3,F01210,benign_cleared,0,1310,30.0,31,False,False,False,False,33,65.06944274902344,True,0.0013647141167894006
bnb:0xd9bf35c0f14976d104a5d5f0459dc5a61580b5d4,F01129,benign_cleared,0,1877,115.0,116,False,False,False,False,76,209.0643768310547,True,0.00515188742429018
bnb:0x7cedc78604d56372c25627023c9381a137ab05bf,F01240,benign_cleared,0,1635,49.0,50,False,False,False,False,48,104.36666870117188,True,0.0002670974936336279
bnb:0x852604b462035ef7c278be14afa0210c15fce640,F01135,benign_cleared,0,15954,307.0,308,False,False,False,False,55,598.1775512695312,True,0.00025203937548212707
bnb:0x80296ff8d1ed46f8e3c7992664d13b833504c2bb,F00672,benign_cleared,0,9399,252.0,253,False,False,False,False,55,493.131103515625,True,0.0002764113014563918
