0xf1
0xff
0x104
0x112
0x117
0x125
0x135
0x144
0x15e
0x16c
0x171
0x17f
0x18f
0x1a3
0x1b1
0x1c1
0x1d0
0x56e
0x59d
0x5cc
0x627
0x655
0xa7b
0xaaa
0xadf
0xb51
0xb7a
0xbe2
0xf62
0xf91
0xfa8
0x1009
0x1032
0x109a
0x1477
0x14a6
0x14db
0x154d
0x15b3
0x15e1
0x15f8
0x160a
0x1672
0x19ec
0x1a1b
0x1a41
0x1ded
0x1e1c
0x21b8
0x21e7
0x220d
0x2268
0x2296
0x22b5
0x2632
0x2661
0x2687
0x26e2
0x2710
0x276b
0x278f
0x283e
0x289a
0x28bc
0x28c7
0x29a2
0x29f4
0x2a6a
0x2a8a
0x2add
0x2b02
0x2b28
0x2b75
0x2bb1
0x2bca
0x2c0d
0x2c19
0x2c2a
0x2c55
0x2c86
0x2c91
0x2ca1
0x2e04
0xe7d9
0xe7fd
0x67b0x20b
0x67b0x1e55
0x68f0x20b
0x68f0x1e55
0x6f70x20b
0x6f70x1e55
