0xe96e	0xe970
0x144	0x10b9
0x1ded	0x10b9
0xe980	0x171
0xe983	0x184
0xe986	0x1a3
0xe989	0x1b6
0xe98c	0x1d5
0xe977	0x117
0xe971	0xf1
0xe974	0x104
0xe97a	0x12a
0xe97d	0x15e
0x56eB0xff	0x10b9
0x67b0x20bB0xff	0x278f
0x19ecB0x17f	0x10b9
0x22b5B0x1b1	0x2db2
0x21b8B0x1b1	0x10b9
0x67b0x1e55B0x1b1	0x278f
0x2710B0x1d0	0x278f
0x2632B0x1d0	0x10b9
0xf62B0x125	0x10b9
0xa7bB0x112	0x10b9
0x1477B0x16c	0x10b9
0x15f8B0x16c	0x278f
