0x0	__function_selector__
0x261	onERC1155Received(address,address,uint256,uint256,bytes)
0x2f2	getNonce()
0x3f3	initialize(address)
0x68f	getDeposit()
0x740	onERC1155BatchReceived(address,address,uint256[],uint256[],bytes)
0x801	execute(address,uint256,bytes)
0x880	entryPoint()
0x8ef	owner()
0x961	eip712Domain()
0xa93	proxiableUUID()
0xb1f	upgradeToAndCall(address,bytes)
0xc6a	0x4d44560d
0xd84	addDeposit()
0xe3b	0x47e1da2a
0xf5f	0x19822f7c
0x10a8	0x18dfb3c7
0x117f	isValidSignature(bytes32,bytes)
0x1206	onERC721Received(address,address,uint256,bytes)
0x1294	getMessageHash(bytes)
0x1307	supportsInterface(bytes4)
0x13f5	0x13f5
0x1438	0x1438
0x1454	0x1454
0x1495	0x1495
0x14cf	0x14cf
0x1506	0x1506
0x1529	0x1529
0x154c	0x154c
0x157a	0x157a
0x15ab	0x15ab
0x1609	0x1609
0x17eb	0x17eb
0x182a	0x182a
0x184b	0x184b
0x189c	0x189c
0x18b7	0x18b7
0x19b0	0x19b0
0x1a68	0x1a68
0x1a98	0x1a98
0x1ac0	0x1ac0
0x1bfb	0x1bfb
0x1cf2	0x1cf2
0x1d47	0x1d47
0x1d83	0x1d83
0x1e6a	0x1e6a
0x9d9b	transferOwnership(address)
