0x261	0xf23a6e61
0x2f2	0xd087d288
0x3f3	0xc4d66de8
0x68f	0xc399ec88
0x740	0xbc197c81
0x801	0xb61d27f6
0x880	0xb0d691fe
0x8ef	0x8da5cb5b
0x961	0x84b0196e
0xa93	0x52d1902d
0xb1f	0x4f1ef286
0xc6a	0x4d44560d
0xd84	0x4a58db19
0xe3b	0x47e1da2a
0xf5f	0x19822f7c
0x10a8	0x18dfb3c7
0x117f	0x1626ba7e
0x1206	0x150b7a02
0x1294	0xa1028c4
0x1307	0x1ffc9a7
0x9d9b	0xf2fde38b
