model,seed,fold,path,sha256,bytes,temperature,threshold_01,threshold_05,threshold_10,architecture,n_parameters
authguard_seq,7702,0,results/sprint_phase3/checkpoints/authguard_seq_s7702_f0.pt,8b12521c4d2dfa2cf165890b3db52a32d8c6e68f75a4367f1b9003d6f2486771,738073,1.2435499429702759,0.9862277167244313,0.7485265626653399,0.298291801077583,AuthGuardFusion,181877.0
emulator_logreg,7702,0,results/sprint_phase3/checkpoints/emulator_logreg_s7702_f0.pt,a74a9b8d05b94a30efeb149bf52beb3efaa7456b3511b76a05a4d4c2378ccc54,2291,1.6661614179611206,0.8921141686726249,0.8377327867835411,0.7697521040458325,Pipeline,
flat_cnn,7702,0,results/sprint_phase3/checkpoints/flat_cnn_s7702_f0.pt,7f4d659349b1d37e7adae874c23238bc3141b021e5e955d8d812bc577d58d730,620883,1.5378144979476929,0.8081257059536553,0.6540538239584343,0.5242875321829945,FlatCNN,154177.0
hist_ngram_xgb,7702,0,results/sprint_phase3/checkpoints/hist_ngram_xgb_s7702_f0.pt,621c9b565492a74d1f33c70f362c52decad149d148688f3a6695e6c79c7e58bc,375573,2.4310619831085205,0.7513715031904613,0.640753488243003,0.3918352043307266,XGBClassifier,
authguard_seq,7702,1,results/sprint_phase3/checkpoints/authguard_seq_s7702_f1.pt,5c84481b865ec94cc15e440698c0e7cd334e8c6a83d1f52ba34bf4a1a899d143,738073,1.9279452562332153,0.9433019873944657,0.6473249431386765,0.040148544017605786,AuthGuardFusion,181877.0
emulator_logreg,7702,1,results/sprint_phase3/checkpoints/emulator_logreg_s7702_f1.pt,b1841712832920714780c70956c9c039fc2f3ae8bd95861926c1b0c8ff0784ba,2291,0.7604113817214966,0.9549308428171458,0.0839932650937046,0.015490575699579495,Pipeline,
flat_cnn,7702,1,results/sprint_phase3/checkpoints/flat_cnn_s7702_f1.pt,7a3a8f9c2f7730e0572e04ca94655b674c3d3ee25290f350ed4d2bbaca09a2f6,620883,1.3881206512451172,0.9604194213746283,0.4474284751668334,0.3104904475078803,FlatCNN,154177.0
hist_ngram_xgb,7702,1,results/sprint_phase3/checkpoints/hist_ngram_xgb_s7702_f1.pt,8f93c8b7f57a48d1cb10c59630a0c3acec2958f1ec46ca91bac126c9c66d5ec4,383267,1.5303634405136108,0.8787852269452561,0.3225230533758856,0.20203362674217593,XGBClassifier,
authguard_seq,7702,2,results/sprint_phase3/checkpoints/authguard_seq_s7702_f2.pt,8c2b3d37a9dcda5fca0f045217eca29c4adafeffbff89df5ebd54b45620870a4,738073,1.2666161060333252,0.9001500007978442,0.8533798244839303,0.5997471925711927,AuthGuardFusion,181877.0
emulator_logreg,7702,2,results/sprint_phase3/checkpoints/emulator_logreg_s7702_f2.pt,124e08846bffb9d18709269992ca1dc174c5a6cb293fda7fc56d3994167000ad,2291,1.0729213953018188,0.9197144593490981,0.6722747523170792,0.35644262795419857,Pipeline,
flat_cnn,7702,2,results/sprint_phase3/checkpoints/flat_cnn_s7702_f2.pt,4f57f263e284f7ee2136f08c2a3770c0b203142c95e878e47e3565b7a03bbfe3,620883,1.8055307865142822,0.750739284613398,0.5885039355504178,0.4101406940575919,FlatCNN,154177.0
