model,seed,fold,path,sha256,bytes,temperature,threshold_01,threshold_05,threshold_10,architecture,n_parameters
authguard_seq,7703,0,results/sprint_phase3/checkpoints/authguard_seq_s7703_f0.pt,35f243a3378040eef5d416063f216326708ea44004145f78364c72f50dc2477c,738073,2.1715214252471924,0.7562745523298806,0.147883930014589,0.04289288106245194,AuthGuardFusion,181877.0
emulator_logreg,7703,0,results/sprint_phase3/checkpoints/emulator_logreg_s7703_f0.pt,c6d484dfa68919da6e025f6d2e1cc108b363aea30a6c3ec5e0d163101ff0b31d,2291,1.6661614179611206,0.8921141686726249,0.8377327867835411,0.7697521040458325,Pipeline,
authguard_seq,7703,1,results/sprint_phase3/checkpoints/authguard_seq_s7703_f1.pt,1b5ade40e798032889e72bef3aa8a33f1a7a4095ec194f77f7ed6b6483c89e0b,738073,1.6281256675720215,0.964866474809904,0.8889401975849942,0.29085126394920524,AuthGuardFusion,181877.0
emulator_logreg,7703,1,results/sprint_phase3/checkpoints/emulator_logreg_s7703_f1.pt,811b52743aa70c7b900493448faac7111810974ac75ca08c1ba1c674a225f6a7,2291,0.7604113817214966,0.9549308428171458,0.0839932650937046,0.015490575699579495,Pipeline,
authguard_seq,7703,2,results/sprint_phase3/checkpoints/authguard_seq_s7703_f2.pt,c8c5407db0d5ad21aac164519e26c2b327018c3ef6db5a9fca2c01a37bf0f405,738073,1.3708401918411255,0.1903147026544877,0.008466757926538452,0.00732473206727907,AuthGuardFusion,181877.0
emulator_logreg,7703,2,results/sprint_phase3/checkpoints/emulator_logreg_s7703_f2.pt,80753e59db04056c341840c79c0b1dfee2ff79c6f3708062dea48e9dcb243b73,2291,1.0729213953018188,0.9197144593490981,0.6722747523170792,0.35644262795419857,Pipeline,
authguard_seq,7703,3,results/sprint_phase3/checkpoints/authguard_seq_s7703_f3.pt,cf4713938e7f4af8adcdf0ba60a17864e2b6a6ab914fbc517fe5a5da98b95882,738073,1.7759772539138794,0.945485320780882,0.5378424139749605,0.03893478462884395,AuthGuardFusion,181877.0
emulator_logreg,7703,3,results/sprint_phase3/checkpoints/emulator_logreg_s7703_f3.pt,6a5f2705a5f21ab56ceab20b7cb7d1e648cdee58aa69f39fe835828c687a45d0,2291,1.101357340812683,0.9937478802493147,0.843137216562728,0.18754495352741618,Pipeline,
authguard_seq,7703,4,results/sprint_phase3/checkpoints/authguard_seq_s7703_f4.pt,eca31727bfa8ab8c8a68fb42dcaa398f568d9b471cfc22e6575aef2623571bca,738073,3.4661500453948975,0.8217026289409375,0.6409253580341334,0.3863374794581157,AuthGuardFusion,181877.0
emulator_logreg,7703,4,results/sprint_phase3/checkpoints/emulator_logreg_s7703_f4.pt,51dfe223d7f181c9f63e3327de1a8992bcb518586418e0d7ab82594d30487e67,2291,1.6758711338043213,0.9641517687481554,0.7873964211563192,0.34264686930863386,Pipeline,
