item_id,delegate_address,delegate_explorer_url,authority_address,authority_explorer_url,first_tx_hash,authorization_tx_explorer_url,first_block,first_timestamp_utc,last_block,last_timestamp_utc,authorization_count,historical_code_bytes,historical_bytecode_sha256,postcutoff_exact_runtime_family,exact_runtime_peer_count,exact_runtime_peer_addresses,matched_historical_family,best_historical_family_similarity,runtime_changed_since_first_authorization,audit_instruction
ethereum:0xa9bbbf3f380965c1271309a44317711a88077658,0xa9bbbf3f380965c1271309a44317711a88077658,https://etherscan.io/address/0xa9bbbf3f380965c1271309a44317711a88077658,0x5f4ad9d0f8f0e9fcaac19c3a0f2527170d1a5120,https://etherscan.io/address/0x5f4ad9d0f8f0e9fcaac19c3a0f2527170d1a5120,0xfa8777e72d4b1e15d11c9621d4324ca9f280f6165df70f38a36b12f2bc639917,https://etherscan.io/tx/0xfa8777e72d4b1e15d11c9621d4324ca9f280f6165df70f38a36b12f2bc639917,24541436,2026-02-26T13:37:23Z,24541436,2026-02-26T13:37:23Z,1,534.0,6dbd46e7fc4882c350ded5ab6572f66dfd2a9280475eca713a94a52778f7a753,T0292,1,0xa9bbbf3f380965c1271309a44317711a88077658,,0.3618421052631579,False,Research project ownership and related deployments; do not infer project family from exact-runtime similarity alone. Enter conclusions only in the separate audit CSV.
ethereum:0xab2d1de5424a3b18700b15c0c38fb77cbc549961,0xab2d1de5424a3b18700b15c0c38fb77cbc549961,https://etherscan.io/address/0xab2d1de5424a3b18700b15c0c38fb77cbc549961,0x86f55007bbca77f3b896fb4ad007910cc8e5f751,https://etherscan.io/address/0x86f55007bbca77f3b896fb4ad007910cc8e5f751,0xc7fbabb507ceb7a046568927fe0981446c9c463f13257b0cdb0c8fa15d8e5c5f,https://etherscan.io/tx/0xc7fbabb507ceb7a046568927fe0981446c9c463f13257b0cdb0c8fa15d8e5c5f,24468339,2026-02-16T08:58:59Z,24623030,2026-03-09T22:55:23Z,13,4297.0,88dd231a706088e7b149a049961fb5b3d7bd19dcec1fc19f4f50b7d41079d43c,T0357,1,0xab2d1de5424a3b18700b15c0c38fb77cbc549961,,0.6846929422548121,False,Research project ownership and related deployments; do not infer project family from exact-runtime similarity alone. Enter conclusions only in the separate audit CSV.
ethereum:0xab77f99a308e52adec555e75d1b5e10a1517a4d2,0xab77f99a308e52adec555e75d1b5e10a1517a4d2,https://etherscan.io/address/0xab77f99a308e52adec555e75d1b5e10a1517a4d2,0x9d33385695b7bac246ca0aa4266e9877d9bffad3,https://etherscan.io/address/0x9d33385695b7bac246ca0aa4266e9877d9bffad3,0xd1798a685ad9273ea650c86bafbcae08ccbe81fb0e860baf572ef75ee53331ee,https://etherscan.io/tx/0xd1798a685ad9273ea650c86bafbcae08ccbe81fb0e860baf572ef75ee53331ee,24578281,2026-03-03T17:00:11Z,24578281,2026-03-03T17:00:11Z,1,5031.0,2f25d93e9407cf246bff5a1681ec81397f81dca7ded205154c41d33e5ca6430a,T0127,1,0xab77f99a308e52adec555e75d1b5e10a1517a4d2,,0.3919259882253995,False,Research project ownership and related deployments; do not infer project family from exact-runtime similarity alone. Enter conclusions only in the separate audit CSV.
ethereum:0xae0fa4ff1b0e2fd4cd32fddc0f56b0e0c0bd1933,0xae0fa4ff1b0e2fd4cd32fddc0f56b0e0c0bd1933,https://etherscan.io/address/0xae0fa4ff1b0e2fd4cd32fddc0f56b0e0c0bd1933,0x4567aae8a0971161b5a0c313d4186d2b3648b08f,https://etherscan.io/address/0x4567aae8a0971161b5a0c313d4186d2b3648b08f,0xffc5111355565b23612d8e83ac1fdb6553654087f36a0775d6f9bae8e875c826,https://etherscan.io/tx/0xffc5111355565b23612d8e83ac1fdb6553654087f36a0775d6f9bae8e875c826,24391845,2026-02-05T16:33:11Z,24391845,2026-02-05T16:33:11Z,1,1922.0,cee097c20078e0fddc9ca83161ce2c85aa7191fdba7067baddae4c5f7ef90858,T0546,1,0xae0fa4ff1b0e2fd4cd32fddc0f56b0e0c0bd1933,,0.5684754521963824,False,Research project ownership and related deployments; do not infer project family from exact-runtime similarity alone. Enter conclusions only in the separate audit CSV.
ethereum:0xb0645bf2733ecaddca943c6d1be2ab16363700c7,0xb0645bf2733ecaddca943c6d1be2ab16363700c7,https://etherscan.io/address/0xb0645bf2733ecaddca943c6d1be2ab16363700c7,0xe6d91747ec9eb35da40b5d23224d715bcd9e1e62,https://etherscan.io/address/0xe6d91747ec9eb35da40b5d23224d715bcd9e1e62,0x77aecec9bbdc0a218e0153575990ea564e1f04211ff7877217eb226c3fc5ef85,https://etherscan.io/tx/0x77aecec9bbdc0a218e0153575990ea564e1f04211ff7877217eb226c3fc5ef85,24606840,2026-03-07T16:43:11Z,24641512,2026-03-12T12:53:35Z,1517,1315.0,2563a53b5a73401e60e2ffea9fdccf449267a2a8c7e5f783e3c2b190c201ac90,T0105,1,0xb0645bf2733ecaddca943c6d1be2ab16363700c7,,0.7610837438423645,False,Research project ownership and related deployments; do not infer project family from exact-runtime similarity alone. Enter conclusions only in the separate audit CSV.
ethereum:0xb174b7ce27fbe1e7b501ad68c657d0d76697725a,0xb174b7ce27fbe1e7b501ad68c657d0d76697725a,https://etherscan.io/address/0xb174b7ce27fbe1e7b501ad68c657d0d76697725a,0xd79eaf6b910f361ff89d3fa4ca54fc43325db944,https://etherscan.io/address/0xd79eaf6b910f361ff89d3fa4ca54fc43325db944,0x6891d447a7efccf3210cb82129d3020976addbeafe3a10910bd7193d4ef0f620,https://etherscan.io/tx/0x6891d447a7efccf3210cb82129d3020976addbeafe3a10910bd7193d4ef0f620,24359039,2026-02-01T02:30:11Z,24390361,2026-02-05T11:33:59Z,213,2140.0,4fc0e750a730e4db092064ea3bc26c0fe81db6a4076a6326622979fb45eaf5bd,T0202,1,0xb174b7ce27fbe1e7b501ad68c657d0d76697725a,,0.533106960950764,False,Research project ownership and related deployments; do not infer project family from exact-runtime similarity alone. Enter conclusions only in the separate audit CSV.
ethereum:0xb771198a7568940d7811ff84bf6409fa80a5e4fd,0xb771198a7568940d7811ff84bf6409fa80a5e4fd,https://etherscan.io/address/0xb771198a7568940d7811ff84bf6409fa80a5e4fd,0xe34e1fd01f5d2d5533a586941f22dc8d4894a0d3,https://etherscan.io/address/0xe34e1fd01f5d2d5533a586941f22dc8d4894a0d3,0x5fc7333062bf2ae4916185345ad6c31034395436afddff8a04051e9a384109b9,https://etherscan.io/tx/0x5fc7333062bf2ae4916185345ad6c31034395436afddff8a04051e9a384109b9,24410219,2026-02-08T06:14:23Z,24640120,2026-03-12T08:14:23Z,56,1759.0,7b2efd68d816bf2058d4cf22d43047364992c1ebda976542f13d55f9486a06c0,T0322,1,0xb771198a7568940d7811ff84bf6409fa80a5e4fd,,0.3633136094674556,False,Research project ownership and related deployments; do not infer project family from exact-runtime similarity alone. Enter conclusions only in the separate audit CSV.
ethereum:0xb7f6a181d589842cd6dfaf39ba54e938f0347613,0xb7f6a181d589842cd6dfaf39ba54e938f0347613,https://etherscan.io/address/0xb7f6a181d589842cd6dfaf39ba54e938f0347613,0x61e8ac0a758afeefbd556f713ecf0a8cbd00288f,https://etherscan.io/address/0x61e8ac0a758afeefbd556f713ecf0a8cbd00288f,0xc944e5808c72338c94b4eb2b2a205b28d5c3b364182f7df6b1652e1f13b5de08,https://etherscan.io/tx/0xc944e5808c72338c94b4eb2b2a205b28d5c3b364182f7df6b1652e1f13b5de08,24534929,2026-02-25T15:49:35Z,24534942,2026-02-25T15:52:11Z,2,792.0,93ab26879c13a60232f7425a431e98c2ab0a6e059400edf67043827c4e1f6aec,T0392,1,0xb7f6a181d589842cd6dfaf39ba54e938f0347613,,0.2378917378917379,False,Research project ownership and related deployments; do not infer project family from exact-runtime similarity alone. Enter conclusions only in the separate audit CSV.
ethereum:0xb824a8bca07d8951991bc095f0740b73d55b5ab2,0xb824a8bca07d8951991bc095f0740b73d55b5ab2,https://etherscan.io/address/0xb824a8bca07d8951991bc095f0740b73d55b5ab2,0x4c0b4c8e618268b16af1996455996f6550abac6b,https://etherscan.io/address/0x4c0b4c8e618268b16af1996455996f6550abac6b,0xfe53d6a8d57165c047404197710bac3a924e041706c04cb74d09c7191bc4d7e5,https://etherscan.io/tx/0xfe53d6a8d57165c047404197710bac3a924e041706c04cb74d09c7191bc4d7e5,24519573,2026-02-23T12:25:11Z,24519573,2026-02-23T12:25:11Z,1,17190.0,4b3a8a4d3445bd1343775b04efb8d113a227c43b5d612e7482937bb9563ad8c4,T0189,1,0xb824a8bca07d8951991bc095f0740b73d55b5ab2,,0.1917452063698407,False,Research project ownership and related deployments; do not infer project family from exact-runtime similarity alone. Enter conclusions only in the separate audit CSV.
ethereum:0xb9ca3b7e9fcdb14681962691b6eb8f3f6600231c,0xb9ca3b7e9fcdb14681962691b6eb8f3f6600231c,https://etherscan.io/address/0xb9ca3b7e9fcdb14681962691b6eb8f3f6600231c,0x340505978c095f141f4ead955e935778669edba8,https://etherscan.io/address/0x340505978c095f141f4ead955e935778669edba8,0x93cd0044d62eaa57a1b9dccc5d68b9881161e3e66ce51cc10bfc670a5584964d,https://etherscan.io/tx/0x93cd0044d62eaa57a1b9dccc5d68b9881161e3e66ce51cc10bfc670a5584964d,24593219,2026-03-05T18:59:47Z,24597248,2026-03-06T08:32:47Z,3585,1720.0,bf7e253861b4a1053c2a03cc8838a60a2c4305c5af6f52c23853dc8808e57bc2,T0498,1,0xb9ca3b7e9fcdb14681962691b6eb8f3f6600231c,,0.5014245014245015,False,Research project ownership and related deployments; do not infer project family from exact-runtime similarity alone. Enter conclusions only in the separate audit CSV.
