item_id,dependence_cluster_id,dependence_cluster_size,linkage_evidence,authority_address,creator_address,creator_kind,public_name_signals,canonical_similarity_holds,development_control_similarity_holds,public_evidence_references
ethereum:0x25054a2b9d4544ed292dc1a74e8bf1f6f449d988,D0022,1,SINGLETON_NO_MUST_LINK,0x3d6ebea8e5dd4c23076bcb80d960a3692f9a487a,0xeaaebeb57dc88fd25adee72711538af0c6a9ac6e,EOA,ProviderBatchCallAndSponsor;project/contracts/ProviderBatchCallAndSponsor.sol;project/contracts/ProviderBatchCallAndSponsor.sol:ProviderBatchCallAndSponsor,F00183:0.659879;F01161:0.605160;F00968:0.522603,,"https://eth.blockscout.com/api/v2/addresses/0x25054a2b9d4544ed292dc1a74e8bf1f6f449d988;https://eth.blockscout.com/api/v2/smart-contracts/0x25054a2b9d4544ed292dc1a74e8bf1f6f449d988;https://etherscan.io/address/0x25054a2b9d4544ed292dc1a74e8bf1f6f449d988;https://etherscan.io/tx/0x3f0255f4d7cec4e2b0cf31789a02cdb3433b8acd13c673b3eefde74833b77287;https://sourcify.dev/server/v2/contract/1/0x25054a2b9d4544ed292dc1a74e8bf1f6f449d988?fields=compilation,proxyResolution"
ethereum:0x26c2c4787804bb155a6be1363ab2e6cab59064da,D0023,2,SHARED_DEPLOYER_EOA,0x10876beca4254a18dce684cfabdabff926fed391,0x5aba7101e1ebc788394e907eae3f17930b03c97d,EOA,,,,"https://eth.blockscout.com/api/v2/addresses/0x26c2c4787804bb155a6be1363ab2e6cab59064da;https://eth.blockscout.com/api/v2/smart-contracts/0x26c2c4787804bb155a6be1363ab2e6cab59064da;https://etherscan.io/address/0x26c2c4787804bb155a6be1363ab2e6cab59064da;https://etherscan.io/tx/0x9c82df86b370e489729700df5b8947c0e798a58983421da195d9425bedba4459;https://sourcify.dev/server/v2/contract/1/0x26c2c4787804bb155a6be1363ab2e6cab59064da?fields=compilation,proxyResolution"
ethereum:0x27d860cfe4d39d2dafe1e5e7a218e0fff67ef776,D0024,1,SINGLETON_NO_MUST_LINK,0xc23b7873424fda81d3ccaf8e9e1c45e507973727,0x80f8834e8a5512cd3099ea2b29e0c804755fd693,EOA,,F00663:0.533107,,"https://eth.blockscout.com/api/v2/addresses/0x27d860cfe4d39d2dafe1e5e7a218e0fff67ef776;https://eth.blockscout.com/api/v2/smart-contracts/0x27d860cfe4d39d2dafe1e5e7a218e0fff67ef776;https://etherscan.io/address/0x27d860cfe4d39d2dafe1e5e7a218e0fff67ef776;https://etherscan.io/tx/0x6d5230e8e98d7f804f76c3cb24ebaec14b12c0b7f0ce3e121a7a0a499087e6e5;https://sourcify.dev/server/v2/contract/1/0x27d860cfe4d39d2dafe1e5e7a218e0fff67ef776?fields=compilation,proxyResolution"
ethereum:0x286b6a9ae16c50358ce6964b06f6c24ad65e60a7,D0025,1,SINGLETON_NO_MUST_LINK,0x801611884d56a8bb5a3d3acea36e29ae3ab555dc,0xe342b094d684e6d17ba127ae6eadf613de736554,EOA,,,,"https://eth.blockscout.com/api/v2/addresses/0x286b6a9ae16c50358ce6964b06f6c24ad65e60a7;https://eth.blockscout.com/api/v2/smart-contracts/0x286b6a9ae16c50358ce6964b06f6c24ad65e60a7;https://etherscan.io/address/0x286b6a9ae16c50358ce6964b06f6c24ad65e60a7;https://etherscan.io/tx/0x2adb0c326c4a233b438cf3d07327101d6c58f30ea4a790d6239a57b39576d305;https://sourcify.dev/server/v2/contract/1/0x286b6a9ae16c50358ce6964b06f6c24ad65e60a7?fields=compilation,proxyResolution"
ethereum:0x2a088149132c101f8120d157e9f34a172efab61f,D0026,1,SINGLETON_NO_MUST_LINK,0x51c9e514be9fbb20d810a83f1859819a51fdd26d,0x88027bccadc2fa4dee4743e91516248d414f8a68,EOA,,F00663:0.550699,,"https://eth.blockscout.com/api/v2/addresses/0x2a088149132c101f8120d157e9f34a172efab61f;https://eth.blockscout.com/api/v2/smart-contracts/0x2a088149132c101f8120d157e9f34a172efab61f;https://etherscan.io/address/0x2a088149132c101f8120d157e9f34a172efab61f;https://etherscan.io/tx/0xb3c8f72af5e1654b2550ed6ac4079a1147404abf9217e8e2bafead18b299f72f;https://sourcify.dev/server/v2/contract/1/0x2a088149132c101f8120d157e9f34a172efab61f?fields=compilation,proxyResolution"
ethereum:0x30449798e61510b197b54238fa19470a72be46f5,D0023,2,SHARED_DEPLOYER_EOA,0xc482715f77ee36965e360b16948fcf89d715b5e3,0x5aba7101e1ebc788394e907eae3f17930b03c97d,EOA,,F01178:0.500852,,"https://eth.blockscout.com/api/v2/addresses/0x30449798e61510b197b54238fa19470a72be46f5;https://eth.blockscout.com/api/v2/smart-contracts/0x30449798e61510b197b54238fa19470a72be46f5;https://etherscan.io/address/0x30449798e61510b197b54238fa19470a72be46f5;https://etherscan.io/tx/0xefaf4d5052a2aa5db21efbcaa181f1707f3c4f881d0bd655c3bc9ec551fc56c9;https://sourcify.dev/server/v2/contract/1/0x30449798e61510b197b54238fa19470a72be46f5?fields=compilation,proxyResolution"
ethereum:0x329088afe1d91132e2a51d1d46e9b24574577126,D0027,1,SINGLETON_NO_MUST_LINK,0xa94bc3f832474380541f73d1fe117abf8325048e,0xa94bc3f832474380541f73d1fe117abf8325048e,CONTRACT,,F00172:0.661765;F00943:0.520930;F01117:0.516129;F01157:0.504717,,"https://eth.blockscout.com/api/v2/addresses/0x329088afe1d91132e2a51d1d46e9b24574577126;https://eth.blockscout.com/api/v2/smart-contracts/0x329088afe1d91132e2a51d1d46e9b24574577126;https://etherscan.io/address/0x329088afe1d91132e2a51d1d46e9b24574577126;https://etherscan.io/tx/0xad441a8c74d4937b7c20cd53254bc75b3decf2779662baeb6762695e4221af58;https://sourcify.dev/server/v2/contract/1/0x329088afe1d91132e2a51d1d46e9b24574577126?fields=compilation,proxyResolution"
ethereum:0x3358e64ecf49e91f123e84423c0d6895d424e6a7,D0028,1,SINGLETON_NO_MUST_LINK,0xd0b8085d87718f68e0fcf080e370c7bb3cbc7dea,0x83c54206ff0bf5a45fe91fb695fcf498b15bde2d,CONTRACT,,F01302:0.530325;F00923:0.503480,,"https://eth.blockscout.com/api/v2/addresses/0x3358e64ecf49e91f123e84423c0d6895d424e6a7;https://eth.blockscout.com/api/v2/smart-contracts/0x3358e64ecf49e91f123e84423c0d6895d424e6a7;https://etherscan.io/address/0x3358e64ecf49e91f123e84423c0d6895d424e6a7;https://etherscan.io/tx/0x81aa7a6f754df164c3a933a87b863d0e0346bee0ec8820d9892ff198611ca6ee;https://sourcify.dev/server/v2/contract/1/0x3358e64ecf49e91f123e84423c0d6895d424e6a7?fields=compilation,proxyResolution"
ethereum:0x34002caafaebd7ce17a2c424b014ff60f844c0fc,D0019,4,SHARED_AUTHORITY_EOA,0x4de23f3f0fb3318287378adbde030cf61714b2f3,0x17f79e70ae89c6e32a9244d3d57b7aa648246468,EOA,,F01124:0.390921,,"https://eth.blockscout.com/api/v2/addresses/0x34002caafaebd7ce17a2c424b014ff60f844c0fc;https://eth.blockscout.com/api/v2/smart-contracts/0x34002caafaebd7ce17a2c424b014ff60f844c0fc;https://etherscan.io/address/0x34002caafaebd7ce17a2c424b014ff60f844c0fc;https://etherscan.io/tx/0xc2733c2b32771195665cedd33b8c140c924cf6c996c6a68b02c4a71c33152355;https://sourcify.dev/server/v2/contract/1/0x34002caafaebd7ce17a2c424b014ff60f844c0fc?fields=compilation,proxyResolution"
ethereum:0x36280ec8753946132af9928da91bc1f204431eb5,D0029,1,SINGLETON_NO_MUST_LINK,0x2ebefc8a26ec6dac13b2e4f66a66380c5a683f32,0xa2356989751a2580f41f944a4f6e26581a8ad68f,CONTRACT,RescueDelegatorV2;contracts/RescueDelegatorV2.sol;contracts/RescueDelegatorV2.sol:RescueDelegatorV2,F00008:0.538986;F00124:0.519259;F00046:0.503254,,"https://eth.blockscout.com/api/v2/addresses/0x36280ec8753946132af9928da91bc1f204431eb5;https://eth.blockscout.com/api/v2/smart-contracts/0x36280ec8753946132af9928da91bc1f204431eb5;https://etherscan.io/address/0x36280ec8753946132af9928da91bc1f204431eb5;https://etherscan.io/tx/0x45066c61038f32c7366563a1b70f001cefb4be451f8668ceca90f52d5b8efeb4;https://sourcify.dev/server/v2/contract/1/0x36280ec8753946132af9928da91bc1f204431eb5?fields=compilation,proxyResolution"
