0x8d
0x8e
0x8f
0x90
0xbeb
0xbec
0xbed
0xbee
0xbef
0xbf0
0xbf1
0xbf2
0xc96
0xd18
0xd35
0xd51
0xd70
0xdaf
0xe8d
0xeee
0xf1e
0xf4a
0xf8a
0xfb8
0x12a9
0x1330
