0x8b
0xb2
0xb7
0xcd
0xda
0x104
0x109
0x116
0x133
0x140
0x16a
0x16f
0x192
0x197
0x1ba
0x1bf
0x1e2
0x1e7
0x22a
0x2a4
0x32a
0x384
0x449
0x47c
0x4f7
0x59e
0x5fe
0x6ac
0x6ef
0x72e
0x788
0x7c8
0x801
0x889
0x8e2
0x922
0x95b
0x9e2
0xa13
0xa8c
0xacf
0xb0e
0xb60
0xba0
0xbd9
0xc1c
0xc2c
0xc47
0xc5f
0xc7a
0xc96
0xca4
0xcb5
0xcc6
0xcd9
0xcf2
0xd18
0xd35
0xd51
0xd70
0xd7e
0xd8f
0xdaf
0xdbc
0xe26
0xe30
0xe40
0xe49
0xe6c
0xe8d
0xe9b
0xeac
0xebd
0xece
0xeee
0xefb
0xf1e
0xf2c
0xf4a
0xf58
0xf69
0xf8a
0xf98
0xfb8
0xfc5
0xfd8
0xffc
0x1007
0x101b
0x1069
0x1074
0x1096
0x10d1
0x10dc
0x10fe
0x110e
0x1127
0x1134
0x1141
0x1162
0x116f
0x1187
0x11c7
0x11d2
0x11f4
0x1206
0x1213
0x121c
0x123a
0x1247
0x1254
0x1261
0x1274
0x128f
0x12a9
0x12b7
0x12d3
0x12e0
0x12fb
0x1316
0x1330
0x133e
0x137b
0x1386
0x13a8
0x13e3
0x13ee
0x1410
0x144b
0x1456
0x1478
0x14b3
0x14be
0x14e0
