0x0	0x80
0xf	0xe0
0x3f	0xfaa0f4d8
0x2	0x40
0xe0	0x20
0x5	0x4
0x9	0x7e
0xd	0x0
0x13	0xdbecc616
0x19	0x4d
0x1e	0xdbecc616
0x29	0xe00af4a7
0x34	0xf7448a31
0x49	0x2a26
0x4f	0x1aca6376
0x5a	0x66d003ac
0x65	0x6effec50
0x70	0x8da5cb5b
0x7a	0x2a49
0x80	0x2a6c
0x84	0x8b
0x87	0x1e9
0x95	0x9c
0x99	0x0
0x9e	0xb7
0xa1	0x4
0xa9	0xb2
0xae	0xc80
0xb3	0x2b1
0xbd	0xc4
0xc1	0x0
0xc6	0xcd
0xc9	0x3b6
0xce	0x40
0xd1	0xda
0xd6	0xcdf
0xdb	0x40
0xe7	0xee
0xeb	0x0
0xf0	0x109
0xf3	0x4
0xfb	0x104
0x100	0xd59
0x105	0x3ce
0x10a	0x40
0x10d	0x116
0x112	0xe54
0x117	0x40
0x123	0x12a
0x127	0x0
0x12c	0x133
0x12f	0x50d
0x134	0x40
0x137	0x140
0x13c	0xcdf
0x141	0x40
0x146	0x20
0x14d	0x154
0x151	0x0
0x156	0x16f
0x159	0x4
0x161	0x16a
0x166	0xe74
0x16b	0x525
0x175	0x17c
0x179	0x0
0x17e	0x197
0x181	0x4
0x189	0x192
0x18e	0xf0a
0x193	0x633
0x19d	0x1a4
0x1a1	0x0
0x1a6	0x1bf
0x1a9	0x4
0x1b1	0x1ba
0x1b6	0xf35
0x1bb	0x810
0x1c5	0x1cc
0x1c9	0x0
0x1ce	0x1e7
0x1d1	0x4
0x1d9	0x1e2
0x1de	0xf73
0x1e3	0x969
0x3b7	0x836d416742f15e816c4bf98e63663e32c814b47d
0x50e	0x1764890fee523e0aa4f464dba43e520b3a50e3d7
0x2a27	0x0
0x2a4a	0x0
0x2a6d	0x0
0x2bf1	0x2c10
0x2bf3	0x2c13
0x2bf5	0x2c16
0x2bf7	0x2c19
0x2bf9	0x2c04
0x2bfb	0x2c07
0x2bfd	0x2c0a
0x2bff	0x2c0d
0x2c01	0x2c03
0x2c05	0x91
0x2c08	0xb9
0x2c0b	0xe3
0x2c0e	0x11f
0x2c11	0x149
0x2c14	0x171
0x2c17	0x199
0x2c1a	0x1c1
0xe55V0x109	0x0
0xe56V0x109	0x20
0xe5eV0x109	0x20
0xe5fV0x109	0x0
0xe63V0x109	0xe6c
0xe68V0x109	0xe1c
0xe02V0x109	0x0
0xdebV0x109	0xe01
0xe27V0x109	0xe30
0xe2cV0x109	0xdd4
0xdcbV0x109	0x0
0xe33V0x109	0xe40
0xe38V0x109	0x20
0xe3cV0x109	0xde4
0xe41V0x109	0xe49
0xe45V0x109	0xe0c
0xde5V0x109	0x0
0xe1dV0x109	0x0
0xe1eV0x109	0xe26
0xe22V0x109	0xdca
0xdf7V0x109	0x20
