0x0	__function_selector__
0x91	transferERC721(address,address,uint256)
0xb9	recipient()
0xe3	forwardCall(address,uint256,bytes)
0x11f	owner()
0x149	transferERC1155(address,address,uint256,uint256,bytes)
0x171	sweepERC20(address)
0x199	transferERC20(address,uint256)
0x1c1	0xfaa0f4d8
0x1e9	0x1e9
0x2b1	0x2b1
0x3ce	0x3ce
0x525	0x525
0x633	0x633
0x810	0x810
0x969	0x969
0xc12	0xc12
0xc23	0xc23
0xc39	0xc39
0xc4d	0xc4d
0xc56	0xc56
0xc6c	0xc6c
0xc80	0xc80
0xcd0	0xcd0
0xcdf	0xcdf
0xd04	0xd04
0xd59	0xd59
0xdd4	0xdd4
0xe0c	0xe0c
0xe54	0xe54
0xe74	0xe74
0xf0a	0xf0a
0xf35	0xf35
0xf73	0xf73
0xfe4	0xfe4
0xfee	0xfee
0x1011	0x1011
0x1025	0x1025
0x107f	0x107f
0x10e7	0x10e7
0x1105	0x1105
0x1114	0x1114
0x1149	0x1149
0x117b	0x117b
0x11dd	0x11dd
0x1227	0x1227
0x1281	0x1281
0x1295	0x1295
0x12c0	0x12c0
0x12f2	0x12f2
0x1308	0x1308
0x131c	0x131c
0x1391	0x1391
0x13f9	0x13f9
0x1461	0x1461
0x14c9	0x14c9
0x2c03	0xeeeeeeee
