0x0	__function_selector__
0x86	recipient()
0xb0	forwardCall(address,uint256,bytes)
0xec	transferERC721(address,address,address,uint256)
0x114	transferERC20(address,address,uint256)
0x13c	sweepERC20(address)
0x164	0xe7414ab5
0x18c	0xeae787dc
0x1b4	0x1b4
0x294	0x294
0x3bc	0x3bc
0x4f8	0x4f8
0x63a	0x63a
0xabe	0xabe
0xc05	0xc05
0xc24	0xc24
0xc44	0xc44
0xc65	0xc65
0xc76	0xc76
0xc8c	0xc8c
0xca0	0xca0
0xca9	0xca9
0xcbf	0xcbf
0xcdf	0xcdf
0xd34	0xd34
0xdaf	0xdaf
0xde7	0xde7
0xe2f	0xe2f
0xe4f	0xe4f
0xeb3	0xeb3
0xf03	0xf03
0xf2e	0xf2e
0xfb2	0xfb2
0x105c	0x105c
0x1066	0x1066
0x1089	0x1089
0x109d	0x109d
0x10f7	0x10f7
0x1115	0x1115
0x1147	0x1147
0x115f	0x115f
0x116e	0x116e
0x119a	0x119a
0x11a5	0x11a5
0x11b4	0x11b4
0x123c	0x123c
0x125a	0x125a
0x1269	0x1269
0x129e	0x129e
0x130f	0x130f
0x132d	0x132d
0x1354	0x1354
0x136a	0x136a
0x137e	0x137e
0x13f3	0x13f3
0x1411	0x1411
0x142a	0x142a
0x143e	0x143e
0x1472	0x1472
0x1493	0x1493
0x14a4	0x14a4
0x14c4	0x14c4
0x1535	0x1535
0x159d	0x159d
0x15bb	0x15bb
0x161e	0x161e
0x163c	0x163c
0x1696	0x1696
0x1715	0x1715
0x30cb	0xeeeeeeee
