0xd92V0xbb
0xcc2V0xd59V0xbb
0xc8fV0xd4cV0xbb
0xcc2V0xe96V0xf7
0xc8fV0xe67V0xf7
0xc8fV0xe74V0xf7
0xc8fV0xe85V0xf7
0xcc2V0xee8V0x11f
0xc8fV0xecaV0x11f
0xc8fV0xed7V0x11f
0xc8fV0xf18V0x147
0xf7cV0x16f
0xc8fV0xf47V0x16f
0xc8fV0xf81V0x16f
0xc8fV0xf94V0x16f
0x1046V0x197
0xcc2V0xffcV0x197
0xcc2V0x100dV0x197
0xc8fV0xfcdV0x197
0xc8fV0xfdaV0x197
0xc8fV0xfebV0x197
