0x10b	0x223
0x225	0x384
0x388	0x3a4
0x3a9	0x568
0x570	0x783
0x78d	0x78d
0x7cf	0x7d9
0x7e0	0x7f3
0x7f6	0x804
0x80a	0x82c
0x841	0x88f
0x896	0x8e7
0x8f3	0x932
0x967	0x967
0xa0b	0xa38
0xa45	0xa50
0xa64	0xac5
0xad7	0xaef
0xaf7	0xb45
0xb4c	0xb9d
0xba9	0xba9
0xbb3	0xbb3
0xbd6	0xbe0
0xbea	0xbea
0xc44	0xc5b
0xc62	0xc6b
0xc71	0xc84
0xc8a	0xc8a
0xc93	0xca6
0xca9	0xcb7
0xcbd	0xcdf
0xcf7	0xd17
0xd1e	0xd31
0xd34	0xd42
0xd48	0xd6a
0xdbd	0xdd4
0xe68	0xec2
0xefc	0xf08
0xf85	0xf9c
