0x23f7	0x23f9
0x51	0x10b
0x7c	0x225
0x37c	0x10b
0x23fa	0x5b
0x23fd	0x83
0x2400	0xab
0x2403	0xdb
0x23f9	0x10b
0x55fB0xc0	0x10b
0x737B0xf0	0x225
0x392B0xa4	0x225
0x39cB0xa4	0x10b
0x55fB0x388B0xa4	0x10b
