0xe1
0xe2
0x3f7
0x3f8
0x3f9
0x3fa
0x3fb
0x3fc
0xa30
0xa31
0xa32
0xa33
0xa34
0xa35
0xa36
0xa78
0xa79
0xa7a
0xa7b
0xa7c
0xa7d
0xa7e
0xb72
0xb73
0xb78
0xb7a
0xb7b
0xb7c
0xb7d
0xb7f
0xb81
0xb82
0xb84
0xb85
