0x6ef0	0x6ef2
0x6ef3	0x4f
0x6ef6	0x64
0x6ef9	0x77
0x6efc	0x97
0x1651B0x2baB0x5d	0x15bd
0x1651B0x1172B0xb2	0x15bd
0x1952B0x12a0B0xb2	0x182d
0x1974B0x12a0B0xb2	0x15bd
