0x5d
0x62
0x72
0x92
0xb2
0xb7
0x115
0x17e
0x1c1
0x29c
0x3c9
0x543
0x647
0x68a
0x701
0x804
0x847
0x92a
0x9d4
0xb2e
0xc4f
0xd3a
0xddb
0xe1e
0xe9b
0xf3f
0xf86
0x106f
0x1155
0x119a
0x1238
0x1281
0x12c8
0x131e
0x1335
0x135d
0x1382
0x1444
0x1522
0x15de
0x15e3
0x165d
0x1670
0x169b
0x16ab
0x16bc
0x1725
0x17d5
0x181e
0x184e
0x18f3
0x192a
0x195e
0x1982
