0x0	__function_selector__
0x4f	0x13b29626
0x64	buyToken(address)
0x77	sellToken(address,uint256)
0x97	0xf515176b
0xc9	0xc9
0x2e8	0x2e8
0x84e	0x84e
0xfed	0xfed
0x12d8	0x12d8
0x12f0	0x12f0
0x12fe	0x12fe
0x1340	0x1340
0x1364	0x1364
0x1390	0x1390
0x13e2	0x13e2
0x1428	0x1428
0x1480	0x1480
0x14c5	0x14c5
0x1509	0x1509
0x1568	0x1568
0x1599	0x1599
0x15bd	0x15bd
0x1628	0x1628
0x1665	0x1665
0x1675	0x1675
0x1680	0x1680
0x1730	0x1730
0x1799	0x1799
0x17f2	0x17f2
0x182d	0x182d
0x189b	0x189b
0x6ef2	0xeeeeeeee
