model_a,model_b,condition,auprc_delta,auprc_ci_low,auprc_ci_high,auprc_excludes_zero,per_seed_point_deltas
chunk_attention_2048,flat_cnn_2048,flood200,0.36468472674680424,0.2715072041199732,0.4593464654579246,True,"{np.int64(7702): 0.36627040642741754, np.int64(7703): 0.3698795140081567, np.int64(7704): 0.35790425980483836}"
chunk_attention_8192,flat_cnn_8192,flood200,0.06237158592840153,0.025232192198987022,0.10408559755518702,True,"{np.int64(7702): 0.10002621339058548, np.int64(7703): 0.08274587880594408, np.int64(7704): 0.004342665588675021}"
chunk_attention_16384,flat_cnn_16384,flood200,0.048593096575852014,0.016804291263184886,0.08210083307248396,True,"{np.int64(7702): 0.09446720485525062, np.int64(7703): 0.01841137948217364, np.int64(7704): 0.03290070539013179}"
