model_a,model_b,auprc_delta,auprc_ci_low,auprc_ci_high,auprc_excludes_zero,recall_5pct_delta,recall_5pct_ci_low,recall_5pct_ci_high,recall_5pct_excludes_zero,auprc_per_seed_point_deltas,recall_per_seed_point_deltas
authguard_multiscale,authguard_reference_v3,-0.009633637033138428,-0.035301265781922886,0.013543156955010021,False,0.008711600183402076,-0.012064748007269166,0.03230918975137958,False,"{np.int64(7702): -0.0030648363796415, np.int64(7703): -0.03903548426450465, np.int64(7704): 0.013199409544730867}","{np.int64(7702): -0.011004126547455306, np.int64(7703): 0.016506189821182904, np.int64(7704): 0.02063273727647863}"
authguard_sequence_dense,authguard_reference_v3,0.011719249239463029,-0.0024060771565991013,0.028343498247152005,False,-0.00458505272810635,-0.02744093899521535,0.023125402504034217,False,"{np.int64(7702): 0.019932800752077928, np.int64(7703): 0.0034542709068426936, np.int64(7704): 0.011770676059468466}","{np.int64(7702): -0.006877579092159469, np.int64(7703): -0.0027510316368638543, np.int64(7704): -0.004126547455295726}"
authguard_sequence_ngram,authguard_reference_v3,-0.028580744600641677,-0.05415717946740667,-0.003251069232400261,True,-0.018340210912425475,-0.044586910984347854,0.0055924884992379475,False,"{np.int64(7702): -0.04360324117573022, np.int64(7703): -0.027689257013925328, np.int64(7704): -0.014449735612269476}","{np.int64(7702): -0.04814305364511684, np.int64(7703): -0.015130674002751032, np.int64(7704): 0.008253094910591452}"
authguard_all_views,authguard_reference_v3,-0.035203327819115726,-0.06388213147040991,-0.006107247795493142,True,-0.02613480055020634,-0.0605556002143623,0.00875207752208272,False,"{np.int64(7702): -0.024082144459214083, np.int64(7703): -0.058128265019890546, np.int64(7704): -0.02339957397824255}","{np.int64(7702): -0.02613480055020634, np.int64(7703): -0.06740027510316371, np.int64(7704): 0.015130674002751032}"
