auprc,auroc,brier,threshold_1pct,recall_at_1pct,observed_fpr_at_1pct,precision_at_1pct,f1_at_1pct,threshold_5pct,recall_at_5pct,observed_fpr_at_5pct,precision_at_5pct,f1_at_5pct,threshold_10pct,recall_at_10pct,observed_fpr_at_10pct,precision_at_10pct,f1_at_10pct,model,seed,test_fold,val_fold,temperature,n_train,n_val,n_test,wall_seconds
0.711811933076967,0.7244562298603653,0.18973215443848604,0.9342924356460571,0.4342105263157895,0.02040816326530612,0.9166666666666666,0.5892857142857143,0.7293977737426758,0.5131578947368421,0.04081632653061224,0.8666666666666667,0.6446280991735538,0.6256080865859985,0.5131578947368421,0.06802721088435375,0.7959183673469388,0.624,authguard_sequence_dense,7702,0,1,1.7668102979660034,1298,446,446,25.32443404197693
0.9475733714646848,0.9788812785388128,0.047001121264772606,0.9319139719009399,0.5684931506849316,0.013333333333333334,0.9540229885057471,0.7124463519313307,0.6588389873504639,0.8561643835616438,0.056666666666666664,0.8802816901408451,0.8680555555555556,0.03166843205690384,0.9931506849315068,0.14,0.7754010695187166,0.8708708708708709,authguard_sequence_dense,7702,1,2,1.7041616439819336,1317,427,446,19.104695320129395
0.9702414932085585,0.983614575690878,0.049779973524320065,0.050642743706703186,0.9448275862068966,0.031914893617021274,0.9383561643835616,0.9415807560137458,0.008639161475002766,0.9793103448275862,0.07446808510638298,0.8711656441717791,0.922077922077922,0.006641323212534189,0.993103448275862,0.0851063829787234,0.8571428571428571,0.9201277955271565,authguard_sequence_dense,7702,2,3,1.524640440940857,1316,447,427,31.711945056915283
0.9880104339628495,0.994198408359152,0.032687463574930006,0.9721308946609497,0.2903225806451613,0.0,1.0,0.45000000000000007,0.9080191850662231,0.8817204301075269,0.002824858757062147,0.9879518072289156,0.9318181818181818,0.4469219148159027,0.989247311827957,0.06497175141242938,0.8,0.8846153846153847,authguard_sequence_dense,7702,3,4,1.5454490184783936,1319,424,447,12.87580680847168
0.9585195200956915,0.9765633777498147,0.059472722190504326,0.7633262872695923,0.8638743455497382,0.02575107296137339,0.9649122807017544,0.9116022099447514,0.4819891154766083,0.9476439790575916,0.04291845493562232,0.9476439790575916,0.9476439790575917,0.30642789602279663,0.9738219895287958,0.055793991416309016,0.9346733668341709,0.9538461538461539,authguard_sequence_dense,7702,4,0,4.257281303405762,1320,446,424,20.832003355026245
0.7689883577335449,0.8480912101682778,0.1776972303797777,0.9281743764877319,0.4407894736842105,0.013605442176870748,0.9436619718309859,0.600896860986547,0.7362398505210876,0.5328947368421053,0.07142857142857142,0.7941176470588235,0.6377952755905513,0.5816755890846252,0.5657894736842105,0.09523809523809523,0.7543859649122807,0.6466165413533834,authguard_sequence_dense,7703,0,1,2.121417999267578,1298,446,446,17.493618726730347
0.9517524763550564,0.9837214611872146,0.0357436524176701,0.9492891430854797,0.4452054794520548,0.006666666666666667,0.9701492537313433,0.6103286384976526,0.5988070964813232,0.9452054794520548,0.03666666666666667,0.9261744966442953,0.9355932203389831,0.0367903932929039,0.9657534246575342,0.09666666666666666,0.8294117647058824,0.8924050632911393,authguard_sequence_dense,7703,1,2,1.8870790004730225,1317,427,446,24.012471675872803
0.9508780989744573,0.9730985571044265,0.05953323157476822,0.4248834252357483,0.8620689655172413,0.031914893617021274,0.9328358208955224,0.8960573476702509,0.01938563585281372,0.9310344827586207,0.07092198581560284,0.8709677419354839,0.9,0.01938563585281372,0.9310344827586207,0.07092198581560284,0.8709677419354839,0.9,authguard_sequence_dense,7703,2,3,0.9925306439399719,1316,447,427,16.05365824699402
0.9662697725642884,0.9887309397970961,0.034420398490312185,0.9821181297302246,0.40860215053763443,0.0,1.0,0.5801526717557252,0.6699842810630798,0.8602150537634409,0.00847457627118644,0.963855421686747,0.909090909090909,0.16610895097255707,0.967741935483871,0.1384180790960452,0.6474820143884892,0.7758620689655172,authguard_sequence_dense,7703,3,4,1.0446040630340576,1319,424,447,17.62066125869751
0.9725979158810472,0.9822034469586319,0.0546980557555484,0.8441370725631714,0.12041884816753927,0.0,1.0,0.2149532710280374,0.2266640067100525,0.9842931937172775,0.0944206008583691,0.8952380952380953,0.9376558603491272,0.18013405799865723,0.9842931937172775,0.0944206008583691,0.8952380952380953,0.9376558603491272,authguard_sequence_dense,7703,4,0,4.837420463562012,1320,446,424,46.14604473114014
0.785448992797373,0.8375067132116003,0.1648638470373997,0.826508641242981,0.4934210526315789,0.017006802721088437,0.9375,0.646551724137931,0.19400309026241302,0.5657894736842105,0.06462585034013606,0.819047619047619,0.6692607003891051,0.0798884853720665,0.5723684210526315,0.09523809523809523,0.7565217391304347,0.651685393258427,authguard_sequence_dense,7704,0,1,2.279533863067627,1298,446,446,23.758419275283813
0.9324502348674499,0.9539954337899543,0.05714079212710469,0.9454236626625061,0.7465753424657534,0.03333333333333333,0.9159663865546218,0.8226415094339623,0.649351954460144,0.910958904109589,0.05333333333333334,0.8926174496644296,0.9016949152542374,0.2601027190685272,0.952054794520548,0.11666666666666667,0.7988505747126436,0.8687500000000001,authguard_sequence_dense,7704,1,2,1.5675408840179443,1317,427,446,14.604195594787598
0.9448516634104147,0.9749816581071167,0.06332594999672958,0.18690451979637146,0.8413793103448276,0.04609929078014184,0.9037037037037037,0.8714285714285713,0.027230840176343918,0.8827586206896552,0.0673758865248227,0.8707482993197279,0.8767123287671232,0.006943265907466412,0.9586206896551724,0.11702127659574468,0.8081395348837209,0.8769716088328076,authguard_sequence_dense,7704,2,3,0.922057569026947,1316,447,427,16.188009023666382
0.9929735164441428,0.9981167608286252,0.027386189564741304,0.9253491163253784,0.45161290322580644,0.0,1.0,0.6222222222222222,0.49878838658332825,0.8494623655913979,0.002824858757062147,0.9875,0.9132947976878614,0.055513713508844376,0.989247311827957,0.0423728813559322,0.8598130841121495,0.9199999999999999,authguard_sequence_dense,7704,3,4,1.3654820919036865,1319,424,447,14.5725736618042
0.957499138010028,0.9754847987776106,0.07546917297995054,0.6677539348602295,0.8272251308900523,0.02575107296137339,0.9634146341463414,0.8901408450704225,0.20461827516555786,0.9685863874345549,0.10300429184549356,0.8851674641148325,0.9249999999999999,0.1715015321969986,0.9790575916230366,0.12017167381974249,0.8697674418604651,0.9211822660098522,authguard_sequence_dense,7704,4,0,2.9403300285339355,1320,446,424,11.43313717842102
