model,sample_id,clean_token_count,flood200_token_count,budget,exceeds_budget
flat_cnn_2048,gnosis:0x95eb89311ffb27112e657b8a6eaaf7391192c83a,1926,5620,2048,True
flat_cnn_2048,gnosis:0x68b33b340cce1e563877337865d91f595147e338,1799,5597,2048,True
flat_cnn_2048,arbitrum:0x1e98fdd75814401686a495f072fa350a334c9fa0,2294,6573,2048,True
flat_cnn_2048,arbitrum:0x3d3562c4b60738ceee4d32f6d8234f27c4eb45d1,1926,5133,2048,True
flat_cnn_2048,arbitrum:0x1e142b1f5ea1b5b12ddb8db5d96f85aacdafb7cb,7064,22683,2048,True
flat_cnn_2048,arbitrum:0x0e6513a4bd58c073aab8dea150fa09f65592476e,1799,5082,2048,True
flat_cnn_2048,arbitrum:0xa8d943374c909ae9353f363c9c000f15e97c8f76,2292,6143,2048,True
flat_cnn_2048,arbitrum:0xe93bc144cf11af93c705e28a9602550242edea8f,1463,4903,2048,True
flat_cnn_2048,arbitrum:0xbbc9e6412d2b48acd4273faca993bd1a3e0d11da,2257,6162,2048,True
flat_cnn_2048,arbitrum:0xbd2bef4b50b16276b9765be7c240b006c91ffc85,2300,6269,2048,True
flat_cnn_2048,arbitrum:0x8e7d36600b034e6b7e0266419ec899c36499f066,1453,4098,2048,True
flat_cnn_2048,base:0xd0120967143b20b1142e9da31d6d2280d883f499,351,1270,2048,False
flat_cnn_2048,base:0xd9e18d022a3f891c5effa6a091d77ad7e3f3e3ba,1427,4000,2048,True
flat_cnn_2048,base:0x0e6513a4bd58c073aab8dea150fa09f65592476e,1799,5498,2048,True
flat_cnn_2048,base:0x9bcfab73a9e0c3786dc0c71090c425a783ef8ae5,1768,5034,2048,True
flat_cnn_2048,base:0x4248c289a3bdc032423ab31902e7b37d42e2d27c,1832,5470,2048,True
flat_cnn_2048,base:0x96f323b4d9bd628022c643e6b409373ba2950c5a,1105,3228,2048,True
flat_cnn_2048,base:0x589ec783fa13497688ae79eb3e57cc88b4f5f55e,1432,4547,2048,True
flat_cnn_2048,base:0xf7fcc1f7cd3353120519cdc6dfe503e77140371d,1127,3872,2048,True
flat_cnn_2048,base:0x5900972eb4e639fc2b9aaab2c73479946c3a1d9c,1432,4702,2048,True
flat_cnn_2048,base:0x52064cea5e296956e3085d45e695888f7f70f5af,4870,14341,2048,True
flat_cnn_2048,base:0x3495fed224aa078d7e754e9f626c613a5cb04528,4929,13732,2048,True
flat_cnn_2048,base:0x531723f8dc24e3da9220ec39769eac12cffb03fa,1127,3251,2048,True
flat_cnn_2048,base:0x09551d2ab499d73affed001b54d483942e11e0ff,3037,8137,2048,True
flat_cnn_2048,base:0xa28023c54e45e9ef833bc60985cabcbb28dff858,3270,8642,2048,True
flat_cnn_2048,base:0x1511cfd463da477220a34ee95561a5253ba036c0,1139,3540,2048,True
flat_cnn_2048,base:0x36a460f808a9ea001ef1322d02c5fba87b20cec0,1832,4745,2048,True
flat_cnn_2048,base:0x84340f560c20b1076f1a6ea97207a55d145d4447,1106,3046,2048,True
flat_cnn_2048,base:0x5f3075823d0b02d4248d9feb797f592da3d27bc5,1302,4042,2048,True
flat_cnn_2048,base:0x13fc58118fd8d4ae99f6cd4383ccc3d42b41104d,1053,3083,2048,True
flat_cnn_2048,base:0xae9d88d94695a3b8a63eac5301722e592fd6bdc5,4901,15538,2048,True
flat_cnn_2048,base:0x7efcee8c6fe935b1551e1c133185e84a3d7742e9,1533,3786,2048,True
flat_cnn_2048,base:0xfc1e017812a16fb3650d6110765d2622fd23c1e4,4782,15617,2048,True
flat_cnn_2048,ethereum:0x32f66e05d98fe6a15216f6219f414a4a76d84d7a,1799,4561,2048,True
flat_cnn_2048,ethereum:0x58b273343b70404f6a68249abb6a4c4560bdbe81,1915,5383,2048,True
flat_cnn_2048,ethereum:0x2380e6cc8724360ee4e0b6416353b3c30b1d0b41,1373,4559,2048,True
flat_cnn_2048,ethereum:0x12f73f3da98c4c1d31918c88e11bc2e229c876d2,3478,10649,2048,True
flat_cnn_2048,ethereum:0x8613f7e17d522e80a9410a4375032dff82f7e315,2240,6840,2048,True
flat_cnn_2048,ethereum:0xda1978401ba2c0fddde5df5b3c10fb24a1bbf44b,1415,3979,2048,True
flat_cnn_2048,ethereum:0x8730af6d97a84a2086411be23902066304550050,1786,6015,2048,True
flat_cnn_2048,ethereum:0x6f94e6658730eacb340171cbc4a57357a5ffb926,1912,5630,2048,True
flat_cnn_2048,ethereum:0x6c69f2033bcfa81dae0af6d5dbf1b80378a987f2,1771,5187,2048,True
flat_cnn_2048,ethereum:0xac8919bbbcd06d2540194230a736bdafa9936ebf,1075,3425,2048,True
flat_cnn_2048,ethereum:0x14b286892fb33ca530c1f95efab7ae1d51660130,1623,5435,2048,True
flat_cnn_2048,ethereum:0xc4599c6dbc70d3986a628acabbc839d08a98a2b2,310,980,2048,False
flat_cnn_2048,ethereum:0xda81d9eced2ddc2e87242e1ccb18d8ae5f07193e,1926,6068,2048,True
flat_cnn_2048,ethereum:0xf3e6e6ed97b2df9241007026ad4ee9d094e13695,2109,6285,2048,True
flat_cnn_2048,ethereum:0xa9684b3cd76dbb86049dcc1e9ce75a6ac3f74dce,1277,4230,2048,True
flat_cnn_2048,ethereum:0xf5fb3834b41b9ad538fc30a34dae20ecb584cce3,2079,5489,2048,True
flat_cnn_2048,ethereum:0x5c486eb696e9f4389a0e61d79d45e92a86a5221e,611,2266,2048,True
flat_cnn_2048,ethereum:0x9da9f2ce82964766535b39d2793526774f9479f1,1070,3361,2048,True
flat_cnn_2048,ethereum:0xa283d9f6be0e452ea7615466f23830be0311ab1e,3394,10879,2048,True
flat_cnn_2048,ethereum:0x7e35895acbf8734a5c47f5d27020d0fbe9e865d4,2124,5820,2048,True
flat_cnn_2048,ethereum:0x06837b7cdc7ad0f219ce46215411b1c7d89021cb,1099,3304,2048,True
flat_cnn_2048,ethereum:0x557f37550196a3022aec6c2b1b4951900ea3e3c2,1450,3683,2048,True
flat_cnn_2048,ethereum:0xcb76f210fff34c2176802579a3f4d57b6d8803de,1926,5239,2048,True
flat_cnn_2048,ethereum:0x89318ee02b4adda57770267afe5cd8f5242320d2,2285,6872,2048,True
flat_cnn_2048,ethereum:0x716e87bb0a48ceed408c5b629769d0dd3cc0bd63,1396,3602,2048,True
flat_cnn_2048,ethereum:0xf8f29a89be297b78371bacd7704fa9d29851a5ca,479,1398,2048,False
flat_cnn_2048,ethereum:0xb89f4c98d5906383490c06c745a68a08fed48209,1749,5785,2048,True
flat_cnn_2048,ethereum:0xb2b28aaf0fa0a9d417d4201a22cfd5dd9ea159ff,1536,4955,2048,True
