auprc,auroc,brier,threshold_1pct,recall_at_1pct,observed_fpr_at_1pct,precision_at_1pct,f1_at_1pct,threshold_5pct,recall_at_5pct,observed_fpr_at_5pct,precision_at_5pct,f1_at_5pct,threshold_10pct,recall_at_10pct,observed_fpr_at_10pct,precision_at_10pct,f1_at_10pct,model,seed,test_fold,val_fold,temperature,n_train,n_val,n_test,wall_seconds
0.6587567760828861,0.6123008413891872,0.1813868120645159,0.8836728930473328,0.21052631578947367,0.006802721088435374,0.9411764705882353,0.3440860215053763,0.7607125043869019,0.4342105263157895,0.027210884353741496,0.8918918918918919,0.5840707964601769,0.58773273229599,0.4868421052631579,0.04081632653061224,0.8604651162790697,0.6218487394957982,authguard_all_views,7702,0,1,2.3225250244140625,1298,446,446,17.802194118499756
0.8605119401441286,0.9399086757990868,0.0953672822408679,0.9677519202232361,0.3493150684931507,0.016666666666666666,0.9107142857142857,0.504950495049505,0.8556240200996399,0.7808219178082192,0.08,0.8260869565217391,0.8028169014084506,0.10941579937934875,0.9657534246575342,0.31333333333333335,0.6,0.7401574803149606,authguard_all_views,7702,1,2,1.776595115661621,1317,427,446,16.42875909805298
0.9651519748417737,0.981462460259232,0.04203730753774393,0.9685266613960266,0.25517241379310346,0.0035460992907801418,0.9736842105263158,0.40437158469945356,0.5186296105384827,0.9448275862068966,0.05673758865248227,0.8954248366013072,0.9194630872483223,0.26348158717155457,0.9655172413793104,0.0673758865248227,0.8805031446540881,0.9210526315789475,authguard_all_views,7702,2,3,1.3174290657043457,1316,447,427,18.033642530441284
0.9477568902078473,0.9916165482048478,0.0200382366464396,0.9790701866149902,0.27956989247311825,0.005649717514124294,0.9285714285714286,0.42975206611570244,0.25500208139419556,0.989247311827957,0.025423728813559324,0.9108910891089109,0.9484536082474228,0.017571071162819862,1.0,0.1271186440677966,0.6739130434782609,0.8051948051948052,authguard_all_views,7702,3,4,1.6429013013839722,1319,424,447,35.60558319091797
0.9516615808597715,0.9710131901220144,0.07643042647830832,0.8033756017684937,0.19895287958115182,0.008583690987124463,0.95,0.32900432900432897,0.4201492667198181,0.9790575916230366,0.1072961373390558,0.8820754716981132,0.9280397022332506,0.2939113974571228,0.9895287958115183,0.13733905579399142,0.8552036199095022,0.9174757281553397,authguard_all_views,7702,4,0,4.276484966278076,1320,446,424,21.271321058273315
0.7665327390236384,0.8661049946294308,0.18501794399037438,0.8426156044006348,0.046052631578947366,0.003401360544217687,0.875,0.08750000000000001,0.15019455552101135,0.47368421052631576,0.034013605442176874,0.8780487804878049,0.6153846153846154,0.08991359919309616,0.5263157894736842,0.10884353741496598,0.7142857142857143,0.6060606060606061,authguard_all_views,7703,0,1,2.6419849395751953,1298,446,446,17.801315546035767
0.8271206181317153,0.9197716894977169,0.100502506856079,0.963670015335083,0.15753424657534246,0.013333333333333334,0.8518518518518519,0.2658959537572254,0.8732991814613342,0.6164383561643836,0.06333333333333334,0.8256880733944955,0.7058823529411764,0.15682165324687958,0.9657534246575342,0.2866666666666667,0.6211453744493393,0.7560321715817695,authguard_all_views,7703,1,2,1.5440239906311035,1317,427,446,14.820736169815063
0.9478774627013823,0.9779652726828075,0.04289557940032016,0.8477627038955688,0.9379310344827586,0.03900709219858156,0.9251700680272109,0.9315068493150684,0.02844160608947277,0.9655172413793104,0.06028368794326241,0.89171974522293,0.9271523178807949,0.010771607980132103,0.9724137931034482,0.06028368794326241,0.8924050632911392,0.9306930693069307,authguard_all_views,7703,2,3,1.0848722457885742,1316,447,427,18.002437353134155
0.9155199350116253,0.9866654516736528,0.07807193404430614,0.9794437885284424,0.17204301075268819,0.005649717514124294,0.8888888888888888,0.2882882882882883,0.6484381556510925,0.989247311827957,0.10734463276836158,0.7076923076923077,0.8251121076233183,0.36055463552474976,1.0,0.13559322033898305,0.6595744680851063,0.7948717948717948,authguard_all_views,7703,3,4,1.5639604330062866,1319,424,447,16.4066002368927
0.94648498009217,0.9682942722962496,0.06580279669113984,0.8013781905174255,0.3298429319371728,0.012875536480686695,0.9545454545454546,0.49027237354085607,0.575232207775116,0.9476439790575916,0.06437768240343347,0.923469387755102,0.9354005167958656,0.19904892146587372,0.9842931937172775,0.11587982832618025,0.8744186046511628,0.9261083743842365,authguard_all_views,7703,4,0,3.9936463832855225,1320,446,424,16.434410095214844
0.7424772519447448,0.8112580558539205,0.17639928797666563,0.9208917021751404,0.1118421052631579,0.003401360544217687,0.9444444444444444,0.2,0.5257248878479004,0.4934210526315789,0.034013605442176874,0.8823529411764706,0.6329113924050632,0.30992013216018677,0.5263157894736842,0.07142857142857142,0.7920792079207921,0.6324110671936758,authguard_all_views,7704,0,1,1.7992911338806152,1298,446,446,19.4218692779541
0.9026364260164689,0.9556621004566211,0.07254807282799239,0.9227764010429382,0.4246575342465753,0.016666666666666666,0.9253731343283582,0.5821596244131455,0.04720814898610115,0.958904109589041,0.15666666666666668,0.7486631016042781,0.8408408408408409,0.031684476882219315,0.958904109589041,0.22666666666666666,0.6730769230769231,0.7909604519774011,authguard_all_views,7704,1,2,1.4938856363296509,1317,427,446,14.777072191238403
0.9316792432950021,0.9596722915138174,0.10112370302750055,0.8788042068481445,0.3586206896551724,0.0,1.0,0.5279187817258884,0.10802970826625824,0.9448275862068966,0.07446808510638298,0.8670886075949367,0.9042904290429041,0.061030372977256775,0.9724137931034482,0.11702127659574468,0.8103448275862069,0.8840125391849528,authguard_all_views,7704,2,3,2.535357713699341,1316,447,427,24.428991556167603
0.8766652923926457,0.9856023327865865,0.03340376500272001,0.9635210633277893,0.13978494623655913,0.011299435028248588,0.7647058823529411,0.23636363636363633,0.3099881410598755,0.9354838709677419,0.01694915254237288,0.9354838709677419,0.9354838709677419,0.06291303783655167,1.0,0.0423728813559322,0.8611111111111112,0.9253731343283582,authguard_all_views,7704,3,4,1.7816647291183472,1319,424,447,19.58379554748535
0.9505497526181155,0.9720692986989642,0.09299573109459185,0.6789830327033997,0.4293193717277487,0.008583690987124463,0.9761904761904762,0.5963636363636363,0.17753541469573975,0.9738219895287958,0.0944206008583691,0.8942307692307693,0.9323308270676693,0.1639503538608551,0.9842931937172775,0.12017167381974249,0.8703703703703703,0.9238329238329238,authguard_all_views,7704,4,0,4.71490478515625,1320,446,424,22.863932609558105
