model,budget,clean_auprc_mean,clean_auprc_std,flood200_auprc_mean,flood200_auprc_std,absolute_degradation_auprc,clean_recall_at_5pct_mean,flood200_recall_at_frozen_threshold_mean,flood200_observed_fpr_mean,pct_flooded_exceeding_budget,note
flat_cnn_2048,2048,0.8792125445623077,0.0189765895330063,0.4833747597559514,0.011798318116019,0.3958377848063562,0.6957775033590611,0.13562579256144,0.0334146773933165,81.90258751902587,
chunk_attention_2048,2048,0.9199287832991964,0.009415645794269,0.8768235641896395,0.002929973575604,0.0431052191095568,0.8382565878888802,0.7551628613647301,0.0707919361724343,81.90258751902587,
flat_cnn_8192,8192,0.948228424672234,0.0048036618537594,0.7443121867985125,0.0216074537532573,0.2039162378737214,0.8601183624230231,0.3634632871118619,0.0266343095812807,20.943683409436836,
chunk_attention_8192,8192,0.928167998144876,0.0097656622194997,0.8341511638149702,0.0200399630975454,0.0940168343299057,0.8474381282171519,0.5143311952050769,0.0317013773526675,20.943683409436836,
flat_cnn_16384,16384,0.9511797552460232,0.0057741729942983,0.771945684765159,0.0426067656275191,0.1792340704808642,0.8553302681118042,0.3798770783710815,0.0339182507304874,5.768645357686453,
chunk_attention_16384,16384,0.9291981980024988,0.0149289882219113,0.8352021918114746,0.0304979428119511,0.0939960061910241,0.8427453574729187,0.4960375195823862,0.0234909648659809,5.768645357686453,
authguard_sequence_dense,16384,0.9199911279231037,0.004131164406815605,0.8908962859617823,0.003452533971396247,0.029094841961321394,0.8406130486889398,0.6756832148508746,0.03599257663357905,,"strongest exploratory candidate, evaluated separately (not part of the main matched-budget table)"
