model_a,model_b,flood200_auprc_delta_mean,flood200_auprc_ci_low_mean,flood200_auprc_ci_high_mean,excludes_zero
chunk_attention_2048,flat_cnn_2048,0.36468472674680424,0.2622983562038001,0.46543203664422816,True
chunk_attention_8192,flat_cnn_8192,0.06237158592840153,0.009611844682523666,0.11892630993247606,True
chunk_attention_16384,flat_cnn_16384,0.048593096575852014,0.0038202014351075403,0.0957992263108991,True
