0x381	0x3cc
0xae3	0xbb8
0xbcf	0xbcf
0x13c7	0x1423
0x1434	0x146e
0x147b	0x148c
0x151c	0x151c
0x154a	0x15cf
0x1621	0x1631
0x1678	0x1724
0x1738	0x179c
0x3d2	0x6e3e
0x4e8	0x6e64
0x8ad	0x6f0a
0xad2	0x6f30
0xbeb	0x6f54
0x133c	0x6f9e
0x1354	0x6fc0
0x136f	0x6fe6
0x1383	0x7008
0x14db	0x702e
0x1501	0x7054
0x1638	0x707a
0x1813	0x70c6
0x8ad	0x71120x8ad
0xcdc	0x71120xcdc
