0x0	0xd
0xd	0x1d
0x109a	0x10a8
0x198	0x9415
0xe7	0xf3
0x87	0x93
0x62	0x6e
0xc2	0xce
0x152	0x15e
0x12d	0x139
0x1c7	0x1d9
0x7bf	0x7f0
0x848	0x85a
0x8da	0x90b
0xac6	0xad8
0xb56	0xb68
0xc52	0xc83
0xcd1	0xce8
0x1014	0x1026
0x10e4	0x1115
0x11d3	0x1204
0x1258	0x126a
0x1302	0x1333
0x1458	0x1489
0x204a	0x2059
0x14e9	0x14fb
0x157f	0x1591
0x16cf	0x1700
0x872	0x884
0x1798	0x17d5
0x923	0x960
0x98b	0x995
0x9ad	0xa15
0xa40	0xa48
0xaf0	0xb02
0xb80	0xb92
0xd00	0xd12
0xd50	0xd58
0xd70	0xd83
0xd8a	0xda4
0xdb3	0xdc8
0xdcf	0xde9
0xe02	0xe07
0xded	0xe00
0xe36	0xe4a
0xe71	0xe8a
0xeaa	0xeaf
0xeaf	0xebb
0xec2	0xed4
0xedb	0xefb
0xf02	0xf17
0xf33	0xf68
0xe07	0xe10
0x103e	0x1050
0x108e	0x1091
0x1a77	0x1abd
0x1091	0x109a
0x112d	0x1137
0x114f	0x1181
0x1282	0x1294
0x12ac	0x12cd
0x134b	0x135a
0x1513	0x1525
0x15a9	0x15bb
0x1718	0x1727
0x1800	0x180a
0x1891	0x18da
0x1ae8	0x1b2a
0x1b55	0x1b60
0x1b65	0x1b67
0x1b67	0x1b71
0x1c03	0x1c54
0x1c9b	0x1cfe0x1a77
0x2065	0x207d
0x2080	0x208d
0x2090	0x20a3
0x20a6	0x20b4
0x9417	0x1af
0x22e	0x236
0x269	0x271
0x292	0x29a
0x2d0	0x2d8
0x2f7	0x2ff
0x30b	0x313
0x338	0x340
0x36d	0x375
0x38c	0x394
0x3ab	0x3b3
0x3bd	0x3c5
0x3dc	0x3e4
0x4d2	0x4da
0x4e6	0x4ee
0x4fa	0x502
0x52c	0x534
0x54b	0x553
0x56a	0x572
0x600	0x608
0x632	0x63a
0x651	0x659
0x670	0x678
0x2234	0x2240
0x3e	0x49
0x1d	0x28
0x28	0x33
0x33	0x3e
0x49	0x54
0x54	0x5f
0x6e	0x79
0x79	0x84
0x93	0x9e
0x9e	0xa9
0xa9	0xb4
0xb4	0xbf
0xce	0xd9
0xd9	0xe4
0xf3	0xfe
0xfe	0x109
0x109	0x114
