seed,fold,model,threshold_05
7702,0,authguard_seq,0.40630328536945903
7702,0,flat_cnn,0.7691628137010282
7702,0,hist_ngram_xgb,0.640753488243003
7702,1,authguard_seq,0.6473249435294061
7702,1,flat_cnn,0.4125290467668883
7702,1,hist_ngram_xgb,0.3225230533758856
7702,2,authguard_seq,0.8533798979507163
7702,2,flat_cnn,0.358557359937469
7702,2,hist_ngram_xgb,0.36027445709272615
7702,3,authguard_seq,0.9026253544600571
7702,3,flat_cnn,0.6463513877570461
7702,3,hist_ngram_xgb,0.5980496473090754
7702,4,authguard_seq,0.4365472262249699
7702,4,flat_cnn,0.7138020746417503
7702,4,hist_ngram_xgb,0.31144241476208573
