seed,fold,model,threshold_05
7703,0,chunk_attention_16384,0.4301124964323461
7703,0,chunk_mean_16384,0.6726848068680084
7703,0,flat_control_16384,0.39252175843681625
7703,1,chunk_attention_16384,0.6152502607495253
7703,1,chunk_mean_16384,0.8040156150046023
7703,1,flat_control_16384,0.6945011266427435
7703,2,chunk_attention_16384,0.8285585998132567
7703,2,chunk_mean_16384,0.7003015870751081
7703,2,flat_control_16384,0.6637299369319839
7703,3,chunk_attention_16384,0.3057182900609805
7703,3,chunk_mean_16384,0.7469268442209773
7703,3,flat_control_16384,0.7959657401133273
7703,4,chunk_attention_16384,0.38825712830057924
7703,4,chunk_mean_16384,0.45054273111137816
7703,4,flat_control_16384,0.30180134975691963
