target,method,clean_detection_rate,ASR_foldseed_mean,ASR_foldseed_sd,n_seeds,zero_events,ASR_pooled,ASR_pooled_CI_low,ASR_pooled_CI_high,eligible,byte_overhead_mean,structural_validity,score_reduction_mean
authguard_seq,F200,0.8431911966987621,0.13706641959650132,0.01146691453673659,3,False,0.12017400761283306,0.07777717782577394,0.1738188155638919,1839,1.9429524984347881,1.0,0.11618394551416496
authguard_seq,fixed_oracle_best,0.8431911966987621,0.15665566625976066,0.00850206619459818,3,False,0.13648722131593258,0.09255683715583565,0.1912765803671538,1839,1.6638273368601713,1.0,0.1350025718041847
authguard_seq,random_search,0.8431911966987621,0.20908660125030362,0.012998287664371702,3,False,0.18053289831430125,0.1296385485577821,0.2441564418256351,1839,1.636086309825776,1.0,0.18522770356565058
authguard_seq,beam_search,0.8431911966987621,0.16682951049661465,0.011811687566210195,3,False,0.14573137574768896,0.1008560161710567,0.2024849974027394,1839,1.647451836157024,1.0,0.14931256183155464
emulator_logreg,F200,0.8253094910591472,0.1776377254360895,0.0,3,False,0.18166666666666667,0.09552815813245852,0.2872208519035144,1800,1.9429524984347881,1.0,0.0711829666002987
emulator_logreg,fixed_oracle_best,0.8253094910591472,0.3372012370534101,0.0,3,False,0.3433333333333333,0.23350446771796143,0.45543650793650786,1800,0.8369286854509955,1.0,0.1891435455682305
emulator_logreg,random_search,0.8253094910591472,0.5402438284206295,0.011355367661240129,3,False,0.5361111111111111,0.42323295007487505,0.6439882189882189,1800,1.1384166773262243,1.0,0.32550244280113994
emulator_logreg,beam_search,0.8253094910591472,0.4574690619324501,0.0,3,False,0.45166666666666666,0.3312368972746331,0.5744063449848024,1800,1.2151858603377657,1.0,0.2674574385226988
flat_cnn,F200,0.7216872994039432,0.7754153789219602,0.00646031886439339,3,False,0.7503176620076238,0.6428154235204976,0.840419013969846,1574,1.9429524984347881,1.0,0.35949700239884624
flat_cnn,fixed_oracle_best,0.7216872994039432,0.8383739690208168,0.0015709062993018324,3,False,0.8214739517153749,0.7445604018697263,0.8845923643575577,1574,1.3544410692974174,1.0,0.4240911496337222
flat_cnn,random_search,0.7216872994039432,0.9530056651066334,0.005186748299092372,3,False,0.9447268106734434,0.9135600791518848,0.9716694642394302,1574,1.3066554408538815,1.0,0.526887745020216
flat_cnn,beam_search,0.7216872994039432,0.9187591886581205,0.007178777111672669,3,False,0.9072426937738246,0.850209237639076,0.9524915266512166,1574,1.3452244170621186,1.0,0.49860230588642507
hist_ngram_xgb,F200,0.6368638239339752,0.749075145850075,0.019905551955844734,3,False,0.6774658027357812,0.6164501452494874,0.7385804383788254,1389,1.9429524984347881,1.0,0.28987062485067305
hist_ngram_xgb,fixed_oracle_best,0.6368638239339752,0.8879625953797999,0.008617679396087936,3,False,0.8459323254139669,0.7876496028361233,0.8951858741072138,1389,1.2349704218592819,1.0,0.3680788505399241
hist_ngram_xgb,random_search,0.6368638239339752,0.9899167023977474,0.001323070329996654,3,False,0.986321094312455,0.9751609751315075,0.9946020712157753,1389,1.3302736347653001,1.0,0.44970829730488177
hist_ngram_xgb,beam_search,0.6368638239339752,0.9638364130910603,0.0021067528080030372,3,False,0.9503239740820735,0.9217872972025809,0.9731318357537362,1389,1.2621328125295166,1.0,0.4247921711548375
