seed,fold,model,threshold_05
7703,0,chunk_attention_16384,0.37116730844131496
7703,0,chunk_mean_16384,0.6770062772680181
7703,0,flat_control_16384,0.3925215669255885
7703,1,chunk_attention_16384,0.547381138084385
7703,1,chunk_mean_16384,0.7989157106544935
7703,1,flat_control_16384,0.6945008322664701
7703,2,chunk_attention_16384,0.3284611345697839
7703,2,chunk_mean_16384,0.6389531311199146
7703,2,flat_control_16384,0.6568362419653416
7703,3,chunk_attention_16384,0.6385254255510231
7703,3,chunk_mean_16384,0.7648892578527516
7703,3,flat_control_16384,0.7999234167721162
7703,4,chunk_attention_16384,0.38835406263495087
7703,4,chunk_mean_16384,0.4557739925530777
7703,4,flat_control_16384,0.3018014030942502
