seed,fold,model,threshold_05
7704,0,authguard_seq,0.6287817219686881
7704,0,flat_cnn,0.6731200579609729
7704,0,hist_ngram_xgb,0.6279374261032586
7704,1,authguard_seq,0.09147999200861393
7704,1,flat_cnn,0.2677376195541542
7704,1,hist_ngram_xgb,0.33254706667780204
7704,2,authguard_seq,0.008693899756121429
7704,2,flat_cnn,0.7607917925564897
7704,2,hist_ngram_xgb,0.401640439154481
7704,3,authguard_seq,0.8313607204262573
7704,3,flat_cnn,0.5738829980288267
7704,3,hist_ngram_xgb,0.5989471392504389
7704,4,authguard_seq,0.2610416762476266
7704,4,flat_cnn,0.4778282790398046
7704,4,hist_ngram_xgb,0.34721272362927996
