task,model,seed,fold,threshold,splitter,split
primary,selector_model,7706,4,0.22056302428245544,StratifiedGroupKFold,family
primary,authguard,7702,0,0.16659262776374817,StratifiedGroupKFold,family
primary,authguard,7702,1,0.21008457243442535,StratifiedGroupKFold,family
primary,authguard,7702,2,0.059290118515491486,StratifiedGroupKFold,family
primary,authguard,7702,3,0.10324213653802872,StratifiedGroupKFold,family
primary,authguard,7702,4,0.0451820082962513,StratifiedGroupKFold,family
primary,authguard,7703,0,0.18032552301883698,StratifiedGroupKFold,family
primary,authguard,7703,1,0.1865081787109375,StratifiedGroupKFold,family
primary,authguard,7703,2,0.12293257564306259,StratifiedGroupKFold,family
primary,authguard,7703,3,0.1427261233329773,StratifiedGroupKFold,family
primary,authguard,7703,4,0.23341462016105652,StratifiedGroupKFold,family
primary,authguard,7704,0,0.18627138435840607,StratifiedGroupKFold,family
primary,authguard,7704,1,0.09530558437108994,StratifiedGroupKFold,family
primary,authguard,7704,2,0.08176881074905396,StratifiedGroupKFold,family
primary,authguard,7704,3,0.3075597286224365,StratifiedGroupKFold,family
primary,authguard,7704,4,0.27911102771759033,StratifiedGroupKFold,family
primary,authguard,7705,0,0.1347598433494568,StratifiedGroupKFold,family
primary,authguard,7705,1,0.39069485664367676,StratifiedGroupKFold,family
primary,authguard,7705,2,0.25755488872528076,StratifiedGroupKFold,family
primary,authguard,7705,3,0.0818885788321495,StratifiedGroupKFold,family
primary,authguard,7705,4,0.1054290160536766,StratifiedGroupKFold,family
primary,authguard,7706,0,0.14674213528633118,StratifiedGroupKFold,family
primary,authguard,7706,1,0.1611775904893875,StratifiedGroupKFold,family
primary,authguard,7706,2,0.18521344661712646,StratifiedGroupKFold,family
primary,authguard,7706,3,0.18476185202598572,StratifiedGroupKFold,family
primary,authguard,7706,4,0.18267783522605896,StratifiedGroupKFold,family
primary,opcode_rf,7702,0,0.30916666666666665,StratifiedGroupKFold,random
primary,opcode_rf,7702,1,0.23333333333333334,StratifiedGroupKFold,random
primary,opcode_rf,7702,2,0.3433333333333333,StratifiedGroupKFold,random
primary,opcode_rf,7702,3,0.31333333333333335,StratifiedGroupKFold,random
primary,opcode_rf,7702,4,0.26,StratifiedGroupKFold,random
primary,opcode_rf,7703,0,0.37666666666666665,StratifiedGroupKFold,random
primary,opcode_rf,7703,1,0.35,StratifiedGroupKFold,random
primary,opcode_rf,7703,2,0.36333333333333334,StratifiedGroupKFold,random
primary,opcode_rf,7703,3,0.31,StratifiedGroupKFold,random
primary,opcode_rf,7703,4,0.28,StratifiedGroupKFold,random
primary,opcode_rf,7704,0,0.26466666666666666,StratifiedGroupKFold,random
primary,opcode_rf,7704,1,0.34,StratifiedGroupKFold,random
primary,opcode_rf,7704,2,0.2833333333333333,StratifiedGroupKFold,random
primary,opcode_rf,7704,3,0.3223333333333333,StratifiedGroupKFold,random
primary,opcode_rf,7704,4,0.26666666666666666,StratifiedGroupKFold,random
primary,opcode_rf,7705,0,0.27666666666666667,StratifiedGroupKFold,random
primary,opcode_rf,7705,1,0.34472222222222226,StratifiedGroupKFold,random
primary,opcode_rf,7705,2,0.36333333333333334,StratifiedGroupKFold,random
primary,opcode_rf,7705,3,0.31638888888888883,StratifiedGroupKFold,random
primary,opcode_rf,7705,4,0.36666666666666664,StratifiedGroupKFold,random
primary,opcode_rf,7706,0,0.25,StratifiedGroupKFold,random
primary,opcode_rf,7706,1,0.32666666666666666,StratifiedGroupKFold,random
primary,opcode_rf,7706,2,0.2875,StratifiedGroupKFold,random
primary,opcode_rf,7706,3,0.314071188071188,StratifiedGroupKFold,random
primary,opcode_rf,7706,4,0.25666666666666665,StratifiedGroupKFold,random
