task,model,seed,fold,threshold,splitter,split
secondary,selector_model,7706,2,0.23401008546352386,StratifiedGroupKFold,random
secondary,selector_model,7706,3,0.36657512187957764,StratifiedGroupKFold,random
secondary,selector_model,7706,4,0.17917074263095856,StratifiedGroupKFold,random
secondary,authguard,7702,0,0.10525701195001602,StratifiedGroupKFold,random
secondary,authguard,7702,1,0.11002590507268906,StratifiedGroupKFold,random
secondary,authguard,7702,2,0.13725678622722626,StratifiedGroupKFold,random
secondary,authguard,7702,3,0.09651414304971695,StratifiedGroupKFold,random
secondary,authguard,7702,4,0.2704083323478699,StratifiedGroupKFold,random
secondary,authguard,7703,0,0.09833525866270065,StratifiedGroupKFold,random
secondary,authguard,7703,1,0.23132885992527008,StratifiedGroupKFold,random
secondary,authguard,7703,2,0.09182222932577133,StratifiedGroupKFold,random
secondary,authguard,7703,3,0.13842158019542694,StratifiedGroupKFold,random
secondary,authguard,7703,4,0.13988779485225677,StratifiedGroupKFold,random
secondary,authguard,7704,0,0.09928179532289505,StratifiedGroupKFold,random
secondary,authguard,7704,1,0.16368697583675385,StratifiedGroupKFold,random
secondary,authguard,7704,2,0.130418062210083,StratifiedGroupKFold,random
secondary,authguard,7704,3,0.1663099229335785,StratifiedGroupKFold,random
secondary,authguard,7704,4,0.20581412315368652,StratifiedGroupKFold,random
secondary,authguard,7705,0,0.05941015109419823,StratifiedGroupKFold,random
secondary,authguard,7705,1,0.06501230597496033,StratifiedGroupKFold,random
secondary,authguard,7705,2,0.0945579931139946,StratifiedGroupKFold,random
secondary,authguard,7705,3,0.1696220189332962,StratifiedGroupKFold,random
secondary,authguard,7705,4,0.12175144255161285,StratifiedGroupKFold,random
secondary,authguard,7706,0,0.08178514987230301,StratifiedGroupKFold,random
secondary,authguard,7706,1,0.1630277931690216,StratifiedGroupKFold,random
secondary,authguard,7706,2,0.31631937623023987,StratifiedGroupKFold,random
secondary,authguard,7706,3,0.050430573523044586,StratifiedGroupKFold,random
secondary,authguard,7706,4,0.08992237597703934,StratifiedGroupKFold,random
