sid,method,sequence,preservation_oriented,calldata,comparable,behavior_equivalent,structural_valid,byte_overhead,same_failed,same_return,same_calls,same_call_count,same_sstore,same_logs,same_opcount
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,random_flood_best,selected:F200,True,32fe7b26,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,random_flood_best,selected:F200,True,3ccfd60b,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,random_flood_best,selected:F200,True,3fc8cef3,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,fixed_oracle_best,selected:F200,True,,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,fixed_oracle_best,selected:F200,True,00000000,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,fixed_oracle_best,selected:F200,True,08c379a0,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,fixed_oracle_best,selected:F200,True,095ea7b3,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,fixed_oracle_best,selected:F200,True,1d073a7a,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,fixed_oracle_best,selected:F200,True,2be11ae2,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,fixed_oracle_best,selected:F200,True,2e1a7d4d,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,fixed_oracle_best,selected:F200,True,32fe7b26,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,fixed_oracle_best,selected:F200,True,3ccfd60b,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,fixed_oracle_best,selected:F200,True,3fc8cef3,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,random_search,flood200,True,,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,random_search,flood200,True,00000000,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,random_search,flood200,True,08c379a0,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,random_search,flood200,True,095ea7b3,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,random_search,flood200,True,1d073a7a,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,random_search,flood200,True,2be11ae2,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,random_search,flood200,True,2e1a7d4d,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,random_search,flood200,True,32fe7b26,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,random_search,flood200,True,3ccfd60b,True,True,True,1.992898687948059,True,True,True,True,True,True,True
ethereum:0x3fb35d27c96adbe45e8814a2a4110cd002422345,random_search,flood200,True,3fc8cef3,True,True,True,1.992898687948059,True,True,True,True,True,True,True
