0x4c
0x4d
0x5ee
0x5ef
0x5f0
0x5f1
0xf05
0xf06
0xf07
0xf08
0xf09
0xf0a
0xf0b
0xf7b
0xf7c
0xf7d
0xf7e
0xf7f
0x1040
0x1041
0x1046
0x1048
0x1049
0x104b
0x104c
0x104e
0x1050
0x1051
0x1053
0x1055
