0x0	__function_selector__
0x39	buyToken(address)
0x4e	sellToken(address,uint256)
0x6e	0x6e
0x5f2	0x5f2
0xed0	0xed0
0xee8	0xee8
0xf70	0xf70
0xf80	0xf80
0xf90	0xf90
0x1056	0x1056
0x10cf	0x10cf
0x1138	0x1138
0x1151	0x1151
0x4c1b	0xeeeeeeee
