model,condition,seed,AUPRC,AUROC,Brier,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
authguard_reference_16384,F200,7702,0.8889335204642187,0.9284833447011028,0.1013939432600717,0.4936507685663237,0.019899398495586713,0.7825837163899758,0.08545830685483946,0.8594429952692846,0.15406180486616364
authguard_reference_16384,F200,7703,0.8899602257261501,0.9408381764681832,0.10110895118060999,0.35425692208150894,0.016041395281516862,0.7618698648478968,0.0418864925204855,0.8571145955034847,0.09230867780854947
authguard_reference_16384,F200,7704,0.903150258793833,0.9305715888311908,0.08668073294964909,0.40837671140571963,0.00846062702315882,0.8131625178329231,0.055730645225159095,0.8561071116377347,0.1181340143708824
authguard_reference_16384,M0,7702,0.9082084178769796,0.9558845902519867,0.08066213337078268,0.5357507769389728,0.02177889137574489,0.8402641336027747,0.06549459278595429,0.8834309617523584,0.1485933279112369
authguard_reference_16384,M0,7703,0.9009588331197085,0.9631118793341198,0.08543050472735611,0.4403684851802857,0.017522140990447865,0.826235100584858,0.04048135261775242,0.891210034717095,0.08737693316694958
authguard_reference_16384,M0,7704,0.9320870897921928,0.9613232622725689,0.0696127595730879,0.542203060839608,0.01668669279418461,0.8668416572037507,0.05170939668853709,0.8766470036216448,0.10314769392494094
chunk_attention_control_16384,F200,7702,0.9094820015916169,0.9409973557553609,0.07322150945869062,0.5936171950563247,0.016537543553628194,0.8167566341487899,0.0716392985143521,0.8891641212636108,0.18213110839335958
chunk_attention_control_16384,F200,7703,0.9066991825150568,0.9344733204677078,0.08744327020765373,0.5176733382436658,0.015713023338041053,0.8613733511253212,0.08465227215773906,0.8856596058281727,0.18240556761220436
chunk_attention_control_16384,F200,7704,0.9078054260963727,0.934217484032207,0.07630115902016894,0.5479249199687423,0.023289075473807243,0.7667245648632222,0.059737307145254014,0.8813244960224976,0.14898260691318033
chunk_attention_control_16384,M0,7702,0.9267864894287726,0.9597155312055736,0.06521471320813768,0.6214074405831524,0.016835842034741026,0.8127281609986886,0.0547862567954273,0.8785162891610454,0.11069455564473056
chunk_attention_control_16384,M0,7703,0.9088937093494897,0.9355790763332841,0.07783416049478328,0.5707293067014144,0.016053875010643252,0.8771538709483853,0.05963731750870409,0.8862038752893675,0.1157942000961633
chunk_attention_control_16384,M0,7704,0.9170299836249247,0.9410431930733688,0.06853855544175583,0.5929686291695291,0.02049474923267249,0.805674416169936,0.05315934110357299,0.8910150255902692,0.10076186254161135
chunk_attention_control_2048,F200,7702,0.9056192128495096,0.9324390035350009,0.08007970500237518,0.5154219398376317,0.01654990277066517,0.8077854397877193,0.08305855065018568,0.875830834929418,0.19338312293571325
chunk_attention_control_2048,F200,7703,0.884225827793065,0.9119189901402004,0.08780020268713505,0.5430747793949144,0.014806894285428534,0.7959614082064466,0.06880067082466015,0.8728530884024766,0.155285952646119
chunk_attention_control_2048,F200,7704,0.9006099427360293,0.9194498109462274,0.0801186376451054,0.5842453292843979,0.02618335976523748,0.8469860354916096,0.07573980797641996,0.8759407342670142,0.13501785626765467
