model,seed,fold,condition,length_stratum,n,positives,AUPRC,AUROC
authguard_reference_16384,7704,4,M0,source_gt_2048,131,36,0.9546869893505358,0.9852339181286549
authguard_reference_16384,7704,4,M0,source_le_2048,293,155,0.9486690153055585,0.9586021505376344
chunk_attention_control_16384,7702,0,F200,source_gt_2048,97,20,0.8429737114544121,0.9753246753246753
chunk_attention_control_16384,7702,0,F200,source_le_2048,349,132,0.7567866776858327,0.7848764139086719
chunk_attention_control_16384,7702,0,M0,source_gt_2048,97,20,0.8098330947611638,0.9733766233766233
chunk_attention_control_16384,7702,0,M0,source_le_2048,349,132,0.8239080597595095,0.8648757156821673
chunk_attention_control_16384,7702,1,F200,source_gt_2048,161,47,0.8889370526527276,0.9527808883911907
chunk_attention_control_16384,7702,1,F200,source_le_2048,285,99,0.9299759717603931,0.9510698381666124
chunk_attention_control_16384,7702,1,M0,source_gt_2048,161,47,0.9020038870297862,0.9404628592758492
chunk_attention_control_16384,7702,1,M0,source_le_2048,285,99,0.9326369748957359,0.9635060280221571
chunk_attention_control_16384,7702,2,F200,source_gt_2048,184,80,0.9712336673289517,0.978125
chunk_attention_control_16384,7702,2,F200,source_le_2048,243,65,0.9570458184361181,0.9728608470181503
chunk_attention_control_16384,7702,2,M0,source_gt_2048,184,80,0.976179136750684,0.9830528846153846
chunk_attention_control_16384,7702,2,M0,source_le_2048,243,65,0.9575029675353823,0.9767502160760587
chunk_attention_control_16384,7702,3,F200,source_gt_2048,139,32,0.9942180941291472,0.9982476635514018
chunk_attention_control_16384,7702,3,F200,source_le_2048,308,61,0.9599014221541353,0.9728545828632109
chunk_attention_control_16384,7702,3,M0,source_gt_2048,139,32,0.9970979960899315,0.999123831775701
chunk_attention_control_16384,7702,3,M0,source_le_2048,308,61,0.973822754543565,0.9891152850600651
chunk_attention_control_16384,7702,4,F200,source_gt_2048,131,36,0.882703972064476,0.9596491228070174
chunk_attention_control_16384,7702,4,F200,source_le_2048,293,155,0.9661850828169448,0.9757830762038335
chunk_attention_control_16384,7702,4,M0,source_gt_2048,131,36,0.9230277164133206,0.9706140350877194
chunk_attention_control_16384,7702,4,M0,source_le_2048,293,155,0.9610573844548155,0.9771154745208042
chunk_attention_control_16384,7703,0,F200,source_gt_2048,97,20,0.8517327220423196,0.9733766233766233
chunk_attention_control_16384,7703,0,F200,source_le_2048,349,132,0.7755005300198772,0.795629102080715
chunk_attention_control_16384,7703,0,M0,source_gt_2048,97,20,0.8436376738156924,0.9694805194805195
chunk_attention_control_16384,7703,0,M0,source_le_2048,349,132,0.7634754484675861,0.7889784946236559
chunk_attention_control_16384,7703,1,F200,source_gt_2048,161,47,0.9072721184424694,0.965658827920866
chunk_attention_control_16384,7703,1,F200,source_le_2048,285,99,0.9313665113013407,0.9588356685130879
chunk_attention_control_16384,7703,1,M0,source_gt_2048,161,47,0.9642062825817103,0.9882418812989922
chunk_attention_control_16384,7703,1,M0,source_le_2048,285,99,0.9265369146993823,0.9657869012707723
chunk_attention_control_16384,7703,2,F200,source_gt_2048,184,80,0.9770590923864712,0.9830528846153846
chunk_attention_control_16384,7703,2,F200,source_le_2048,243,65,0.9563185240860028,0.9831460674157304
chunk_attention_control_16384,7703,2,M0,source_gt_2048,184,80,0.9880360933906519,0.9923076923076922
chunk_attention_control_16384,7703,2,M0,source_le_2048,243,65,0.9664908665374956,0.9889369057908384
chunk_attention_control_16384,7703,3,F200,source_gt_2048,139,32,0.9798754153949439,0.9941588785046729
chunk_attention_control_16384,7703,3,F200,source_le_2048,308,61,0.9384801467554992,0.9586513572708568
chunk_attention_control_16384,7703,3,M0,source_gt_2048,139,32,0.9852204803801271,0.9962032710280374
chunk_attention_control_16384,7703,3,M0,source_le_2048,308,61,0.971927814955777,0.9857967744076458
chunk_attention_control_16384,7703,4,F200,source_gt_2048,131,36,0.9113104245883902,0.9666666666666666
chunk_attention_control_16384,7703,4,F200,source_le_2048,293,155,0.9537288721443283,0.9599812996727443
chunk_attention_control_16384,7703,4,M0,source_gt_2048,131,36,0.898296548938426,0.9612573099415205
chunk_attention_control_16384,7703,4,M0,source_le_2048,293,155,0.951376970589188,0.959443665264142
chunk_attention_control_16384,7704,0,F200,source_gt_2048,97,20,0.9004229283620016,0.9701298701298701
chunk_attention_control_16384,7704,0,F200,source_le_2048,349,132,0.7772582044101943,0.7823627984918308
chunk_attention_control_16384,7704,0,M0,source_gt_2048,97,20,0.9239953184164216,0.987012987012987
chunk_attention_control_16384,7704,0,M0,source_le_2048,349,132,0.7747810634235788,0.7722908811618489
chunk_attention_control_16384,7704,1,F200,source_gt_2048,161,47,0.8754327052990271,0.9647256438969766
chunk_attention_control_16384,7704,1,F200,source_le_2048,285,99,0.922017055146017,0.9495492560008688
chunk_attention_control_16384,7704,1,M0,source_gt_2048,161,47,0.9354439958272787,0.9888017917133259
chunk_attention_control_16384,7704,1,M0,source_le_2048,285,99,0.9241309935744003,0.9614423807972194
chunk_attention_control_16384,7704,2,F200,source_gt_2048,184,80,0.9651798582636638,0.9742788461538461
chunk_attention_control_16384,7704,2,F200,source_le_2048,243,65,0.9274788740711443,0.9756266205704407
