model,seed,fold,condition,length_stratum,n,positives,AUPRC,AUROC
flat_control_16384,7704,1,M0,source_gt_2048,161,47,0.9419977275596654,0.9811496827174319
flat_control_16384,7704,1,M0,source_le_2048,285,99,0.9197437934963807,0.9565004887585533
flat_control_16384,7704,2,F200,source_gt_2048,184,80,0.7761095766641891,0.7713942307692307
flat_control_16384,7704,2,F200,source_le_2048,243,65,0.8604308735166812,0.9191011235955056
flat_control_16384,7704,2,M0,source_gt_2048,184,80,0.9497218536941903,0.9770432692307691
flat_control_16384,7704,2,M0,source_le_2048,243,65,0.9719274223943273,0.9878133102852203
flat_control_16384,7704,3,F200,source_gt_2048,139,32,0.7765918524989395,0.916179906542056
flat_control_16384,7704,3,F200,source_le_2048,308,61,0.7318642682434613,0.8808654675781509
flat_control_16384,7704,3,M0,source_gt_2048,139,32,0.9896381268853696,0.9970794392523364
flat_control_16384,7704,3,M0,source_le_2048,308,61,0.9211913257345202,0.970266144554324
flat_control_16384,7704,4,F200,source_gt_2048,131,36,0.6128462596718857,0.7751461988304094
flat_control_16384,7704,4,F200,source_le_2048,293,155,0.9100515826036968,0.9203833567087424
flat_control_16384,7704,4,M0,source_gt_2048,131,36,0.9155534487940142,0.9777777777777777
flat_control_16384,7704,4,M0,source_le_2048,293,155,0.9714914972954227,0.9761337073398785
flat_control_2048,7702,0,F200,source_gt_2048,97,20,0.33668272390272497,0.5415584415584416
flat_control_2048,7702,0,F200,source_le_2048,349,132,0.5159000756230053,0.6271121351766513
flat_control_2048,7702,0,M0,source_gt_2048,97,20,0.6224473225746305,0.7837662337662338
flat_control_2048,7702,0,M0,source_le_2048,349,132,0.9105315508768962,0.9601487222454964
flat_control_2048,7702,1,F200,source_gt_2048,161,47,0.38333235863283144,0.5908921239268383
flat_control_2048,7702,1,F200,source_le_2048,285,99,0.5824439321820096,0.6988161181709569
flat_control_2048,7702,1,M0,source_gt_2048,161,47,0.782295144103183,0.8540500186636805
flat_control_2048,7702,1,M0,source_le_2048,285,99,0.9169856899031601,0.958727055501249
flat_control_2048,7702,2,F200,source_gt_2048,184,80,0.4318289295364099,0.5042067307692308
flat_control_2048,7702,2,F200,source_le_2048,243,65,0.5726405679413928,0.754105445116681
flat_control_2048,7702,2,M0,source_gt_2048,184,80,0.9423723888684028,0.9502403846153846
flat_control_2048,7702,2,M0,source_le_2048,243,65,0.9636693343998902,0.9821953327571306
flat_control_2048,7702,3,F200,source_gt_2048,139,32,0.3966242396077867,0.5438084112149533
flat_control_2048,7702,3,F200,source_le_2048,308,61,0.39804700534817083,0.7267538328798036
flat_control_2048,7702,3,M0,source_gt_2048,139,32,0.5847338795210832,0.8522196261682243
flat_control_2048,7702,3,M0,source_le_2048,308,61,0.9130122983206768,0.9737837658458883
flat_control_2048,7702,4,F200,source_gt_2048,131,36,0.25690862407607346,0.4576023391812865
flat_control_2048,7702,4,F200,source_le_2048,293,155,0.8043467370611954,0.7834502103786816
flat_control_2048,7702,4,M0,source_gt_2048,131,36,0.6572541479059263,0.8383040935672514
flat_control_2048,7702,4,M0,source_le_2048,293,155,0.9634269038550195,0.9656615240766713
flat_control_2048,7703,0,F200,source_gt_2048,97,20,0.22757986585372122,0.5363636363636364
flat_control_2048,7703,0,F200,source_le_2048,349,132,0.574317884763602,0.6444979751431364
flat_control_2048,7703,0,M0,source_gt_2048,97,20,0.6673733863328153,0.8344155844155844
flat_control_2048,7703,0,M0,source_le_2048,349,132,0.8961212039135195,0.9294965786901271
flat_control_2048,7703,1,F200,source_gt_2048,161,47,0.35031842004065694,0.5322881672265771
flat_control_2048,7703,1,F200,source_le_2048,285,99,0.6166661002726872,0.7071793200825459
flat_control_2048,7703,1,M0,source_gt_2048,161,47,0.8340270614447686,0.9134005225830534
flat_control_2048,7703,1,M0,source_le_2048,285,99,0.9293948874722531,0.9626914304333659
flat_control_2048,7703,2,F200,source_gt_2048,184,80,0.45427156077243025,0.4359375
flat_control_2048,7703,2,F200,source_le_2048,243,65,0.5600662663542757,0.747104580812446
flat_control_2048,7703,2,M0,source_gt_2048,184,80,0.9535625437654612,0.961298076923077
flat_control_2048,7703,2,M0,source_le_2048,243,65,0.9445150568319527,0.9667242869490061
flat_control_2048,7703,3,F200,source_gt_2048,139,32,0.3164051269464042,0.5601635514018692
flat_control_2048,7703,3,F200,source_le_2048,308,61,0.4263774850999856,0.7125506072874495
flat_control_2048,7703,3,M0,source_gt_2048,139,32,0.5849592929533289,0.8492990654205608
flat_control_2048,7703,3,M0,source_le_2048,308,61,0.9333686786231885,0.979757085020243
flat_control_2048,7703,4,F200,source_gt_2048,131,36,0.2748901338282387,0.4868421052631579
flat_control_2048,7703,4,F200,source_le_2048,293,155,0.7759490659398445,0.7528284244974286
flat_control_2048,7703,4,M0,source_gt_2048,131,36,0.7175386325482587,0.8342105263157894
flat_control_2048,7703,4,M0,source_le_2048,293,155,0.9691428165931683,0.9767882187938289
flat_control_2048,7704,0,F200,source_gt_2048,97,20,0.21802641216141588,0.4831168831168831
flat_control_2048,7704,0,F200,source_le_2048,349,132,0.6532696141578462,0.722943722943723
flat_control_2048,7704,0,M0,source_gt_2048,97,20,0.6680082798056822,0.7863636363636364
flat_control_2048,7704,0,M0,source_le_2048,349,132,0.9408050318723452,0.9705872084904343
flat_control_2048,7704,1,F200,source_gt_2048,161,47,0.37613744528420057,0.585852930197835
flat_control_2048,7704,1,F200,source_le_2048,285,99,0.6253995407720437,0.7059302704463994
flat_control_2048,7704,1,M0,source_gt_2048,161,47,0.8032627585113927,0.875886524822695
flat_control_2048,7704,1,M0,source_le_2048,285,99,0.9164265647301397,0.9569349408059086
flat_control_2048,7704,2,F200,source_gt_2048,184,80,0.44721151347922017,0.5133413461538461
flat_control_2048,7704,2,F200,source_le_2048,243,65,0.5832475015493924,0.7408815903197925
flat_control_2048,7704,2,M0,source_gt_2048,184,80,0.8383918020753547,0.8895432692307692
flat_control_2048,7704,2,M0,source_le_2048,243,65,0.9505679690667148,0.9751944684528954
flat_control_2048,7704,3,F200,source_gt_2048,139,32,0.36655542967594507,0.5134345794392523
flat_control_2048,7704,3,F200,source_le_2048,308,61,0.5296671504241331,0.7878807990973651
flat_control_2048,7704,3,M0,source_gt_2048,139,32,0.6076106243692319,0.8498831775700935
flat_control_2048,7704,3,M0,source_le_2048,308,61,0.9499095065434503,0.9806862680029202
flat_control_2048,7704,4,F200,source_gt_2048,131,36,0.3273872352178385,0.48216374269005846
flat_control_2048,7704,4,F200,source_le_2048,293,155,0.7495359758917246,0.6940626460963066
flat_control_2048,7704,4,M0,source_gt_2048,131,36,0.5713666770869464,0.7793859649122806
flat_control_2048,7704,4,M0,source_le_2048,293,155,0.9704716582638959,0.9818840579710145
