seed,fold,model,epoch,train_loss,val_AUPRC
7702,0,sequence_only,1,0.746755408890107,0.8049680745330259
7702,0,sequence_only,2,0.2675292374894899,0.8913712410640438
7702,0,sequence_only,3,0.1777702465653419,0.9219650238276196
7702,0,sequence_only,4,0.1308109157663934,0.9115795912281768
7702,0,sequence_only,5,0.1008394618080381,0.9102302695014122
7702,0,sequence_only,6,0.0750389976865228,0.9146956163038148
7702,0,sequence_only,7,0.0616026116754202,0.9385610222583723
7702,0,sequence_only,8,0.0433837947572636,0.9300333209564648
7702,0,sequence_only,9,0.051177844261367,0.9456474506649042
7702,0,sequence_only,10,0.05394009520738,0.9394960135333844
7702,0,sequence_only,11,0.0458565385930021,0.94281462358328
7702,0,sequence_only,12,0.0456968082786154,0.947163162694458
7702,0,sequence_only,13,0.0589652530136792,0.9490152630991991
7702,0,sequence_only,14,0.0638149000485153,0.9249802931224852
7702,0,sequence_only,15,0.036729561638854,0.9390659815168408
7702,0,sequence_only,16,0.0295134773094426,0.932346335877479
7702,0,sequence_only,17,0.0235586163231774,0.9382166767874274
7702,0,sequence_only,18,0.0239525842066059,0.910213829609926
7702,0,ngram_only,1,0.4987204427228254,0.7408225936767541
7702,0,ngram_only,2,0.1771365894990808,0.7402181264267534
7702,0,ngram_only,3,0.1402416838004308,0.7396796519130264
7702,0,ngram_only,4,0.1271047182600287,0.7836980982012944
7702,0,ngram_only,5,0.0654877194669097,0.7458089066524782
7702,0,ngram_only,6,0.1146553802030051,0.7437343197626177
7702,0,ngram_only,7,0.0697612310458413,0.7779927961361497
7702,0,ngram_only,8,0.0486352607128484,0.775278246036688
7702,0,ngram_only,9,0.077729475016103,0.7424250563150073
7702,0,dense_only,1,0.5148907309945892,0.6395536909608246
7702,0,dense_only,2,0.2189438009525046,0.5799539196640913
7702,0,dense_only,3,0.1120430573273231,0.6236583776159952
7702,0,dense_only,4,0.0934751434580368,0.6179142520374525
7702,0,dense_only,5,0.0830937608747797,0.5730663101393051
7702,0,dense_only,6,0.0516469329376431,0.5680720165209721
7702,0,fusion_no_aux,1,0.5046465033994002,0.7078132804636609
7702,0,fusion_no_aux,2,0.1887951575877035,0.675984122371108
7702,0,fusion_no_aux,3,0.1062972990412484,0.7160775029810187
7702,0,fusion_no_aux,4,0.0893360863823224,0.7117526654229468
7702,0,fusion_no_aux,5,0.0715540509369662,0.7596960660822097
7702,0,fusion_no_aux,6,0.0392393142341033,0.7501618414726056
7702,0,fusion_no_aux,7,0.033412955097361,0.7572550826949314
7702,0,fusion_no_aux,8,0.0265128370347049,0.7434006200449621
7702,0,fusion_no_aux,9,0.0323719314258436,0.759926417738804
7702,0,fusion_no_aux,10,0.0227501944556613,0.7619272474326931
7702,0,fusion_no_aux,11,0.0407216700992327,0.8048410426098944
7702,0,fusion_no_aux,12,0.0327013330958674,0.8132600647001929
7702,0,fusion_no_aux,13,0.0173679719295571,0.8134722127746411
7702,0,fusion_no_aux,14,0.0383255060392377,0.8123590097614863
7702,0,fusion_no_aux,15,0.0255134079666972,0.7984655557348284
7702,0,fusion_no_aux,16,0.0098032587269485,0.8012611651130385
7702,0,fusion_no_aux,17,0.0099978616040008,0.8149267511891709
7702,0,fusion_no_aux,18,0.0094612316615359,0.8050948894657981
7702,0,fusion_no_aux,19,0.0104107906131128,0.7959166595100822
7702,0,fusion_no_aux,20,0.0087609894493224,0.8060946749013608
7702,0,fusion_no_aux,21,0.0077337624349371,0.7993114809952302
7702,0,fusion_no_aux,22,0.0083124461421154,0.8087662660469571
7702,0,fusion_multitask,1,0.6090135644463932,0.7127451500418805
7702,0,fusion_multitask,2,0.265198026509846,0.6808759402359159
7702,0,fusion_multitask,3,0.1645053661044906,0.7343600450091621
7702,0,fusion_multitask,4,0.1249720109297948,0.7419930287502624
7702,0,fusion_multitask,5,0.0822220115100636,0.7911091556434555
7702,0,fusion_multitask,6,0.0704001659856123,0.7650515621217492
7702,0,fusion_multitask,7,0.0491306938450126,0.7590075733342233
7702,0,fusion_multitask,8,0.0548120078795096,0.7326890873091833
7702,0,fusion_multitask,9,0.0425525381284601,0.7653601161674111
7702,0,fusion_multitask,10,0.0332779453245594,0.7879236927153659
7702,0,fusion_source_balanced,1,0.642982947388116,0.729441415095294
7702,0,fusion_source_balanced,2,0.3166899014921749,0.7562210886850955
7702,0,fusion_source_balanced,3,0.1631213693496059,0.7865437258637618
7702,0,fusion_source_balanced,4,0.1242311193662531,0.8249074899530263
7702,0,fusion_source_balanced,5,0.0741719759781571,0.8647334940907839
7702,0,fusion_source_balanced,6,0.054070955712129,0.8120944368929947
7702,0,fusion_source_balanced,7,0.0450559089343775,0.8398373078889454
7702,0,fusion_source_balanced,8,0.0412293649223797,0.7565088142431439
7702,0,fusion_source_balanced,9,0.0552097399664275,0.8737140410642427
7702,0,fusion_source_balanced,10,0.0309484304038479,0.8774212810786772
7702,0,fusion_source_balanced,11,0.0379494325038703,0.8734783305722827
7702,0,fusion_source_balanced,12,0.0211390477714731,0.8747701768640944
7702,0,fusion_source_balanced,13,0.020719242821831,0.8681140740301917
7702,0,fusion_source_balanced,14,0.0114644055035622,0.8852869517370423
7702,0,fusion_source_balanced,15,0.0143955153029631,0.859248780869952
7702,0,fusion_source_balanced,16,0.0129457463921212,0.8469414564325723
7702,0,fusion_source_balanced,17,0.0097350389847312,0.8700373597931969
7702,0,fusion_source_balanced,18,0.0082535917158512,0.8509491966661834
7702,0,fusion_source_balanced,19,0.0089104941669468,0.8408027904518224
7702,0,fusion_consistent,1,0.6504615674124045,0.7284768777664401
7702,0,fusion_consistent,2,0.3172935993355863,0.7669532318326958
7702,0,fusion_consistent,3,0.1658619218451135,0.8230074797400428
7702,0,fusion_consistent,4,0.127359467920135,0.8379677097838575
7702,0,fusion_consistent,5,0.0778634976266938,0.8721145519010451
7702,0,fusion_consistent,6,0.0665145166437415,0.808131185481229
7702,0,fusion_consistent,7,0.0490265295238179,0.8605134570120109
7702,0,fusion_consistent,8,0.0404582582304582,0.832768686996372
7702,0,fusion_consistent,9,0.0446978799889192,0.8526317695905681
7702,0,fusion_consistent,10,0.0421896304003894,0.8734951970215515
7702,0,fusion_consistent,11,0.0296257145483704,0.8896199474037182
7702,0,fusion_consistent,12,0.0235666077748379,0.8949024751230342
7702,0,fusion_consistent,13,0.0236051389016211,0.8693648007087355
7702,0,fusion_consistent,14,0.0178383606102536,0.8663402389866887
7702,0,fusion_consistent,15,0.0155149343286586,0.8464542581680254
7702,0,fusion_consistent,16,0.0138079920071451,0.8449100964219145
7702,0,fusion_consistent,17,0.0129002281560507,0.8653409192950292
7702,1,sequence_only,1,0.7689250146233758,0.7808921595211308
7702,1,sequence_only,2,0.2074794673122638,0.924865966173393
7702,1,sequence_only,3,0.1267016303595588,0.9435865857307164
7702,1,sequence_only,4,0.0947239859906826,0.9378682108827155
7702,1,sequence_only,5,0.0697557391100671,0.9399615161420584
7702,1,sequence_only,6,0.0635932213274848,0.939640182886769
7702,1,sequence_only,7,0.0599575350169352,0.940221371106809
7702,1,sequence_only,8,0.0446280790147707,0.9334880043210848
7702,1,ngram_only,1,0.4824149405453787,0.8752495444775773
7702,1,ngram_only,2,0.2044374747959853,0.9173159288229802
7702,1,ngram_only,3,0.1225690905242985,0.8769019455243142
7702,1,ngram_only,4,0.1214952954946649,0.8592993003515527
7702,1,ngram_only,5,0.0716616953939719,0.9030087337660202
7702,1,ngram_only,6,0.0794045333885912,0.8855415300082604
7702,1,ngram_only,7,0.0616732219012107,0.9023589276073596
7702,1,dense_only,1,0.5441847991111667,0.7087572522119023
7702,1,dense_only,2,0.2334675588320161,0.7074928911635562
7702,1,dense_only,3,0.1553014159245893,0.7476345233646177
7702,1,dense_only,4,0.1040835488414348,0.7274868595475992
7702,1,dense_only,5,0.0891073512422397,0.8046808334855958
7702,1,dense_only,6,0.0979818805543229,0.7400933844334504
7702,1,dense_only,7,0.0499289871036443,0.77892993946882
7702,1,dense_only,8,0.0418666543650202,0.7736160370076313
7702,1,dense_only,9,0.062499085716026,0.7685645490062358
7702,1,dense_only,10,0.0315575774090342,0.7353607281576489
7702,1,fusion_no_aux,1,0.4965671420443889,0.8037134056056764
7702,1,fusion_no_aux,2,0.174461810687167,0.844651679303864
7702,1,fusion_no_aux,3,0.0924444477571997,0.8638194215460926
7702,1,fusion_no_aux,4,0.0758500054863086,0.838863223708116
7702,1,fusion_no_aux,5,0.0523072192824424,0.8376083758536611
7702,1,fusion_no_aux,6,0.0400879558089167,0.8514468824706454
7702,1,fusion_no_aux,7,0.0474577404864587,0.8523605442548036
7702,1,fusion_no_aux,8,0.0698576379461798,0.8266779051516879
7702,1,fusion_multitask,1,0.6023251100681549,0.8009472355433043
7702,1,fusion_multitask,2,0.2581280884008075,0.8513242319946712
7702,1,fusion_multitask,3,0.1660081045485513,0.83503779680724
7702,1,fusion_multitask,4,0.1195299136777256,0.8198571971359643
7702,1,fusion_multitask,5,0.0950829348266991,0.8638505054872831
7702,1,fusion_multitask,6,0.086688598769522,0.8627048855923336
7702,1,fusion_multitask,7,0.0926848302465365,0.9058592588130486
7702,1,fusion_multitask,8,0.0631028890371495,0.8817696313237311
7702,1,fusion_multitask,9,0.0683874413371086,0.8443348363208333
7702,1,fusion_multitask,10,0.0545768325303702,0.8556990349639954
7702,1,fusion_multitask,11,0.0374123266854778,0.8694357897981567
7702,1,fusion_multitask,12,0.027699792795533,0.8727520383916272
7702,1,fusion_source_balanced,1,0.6420694560159085,0.8276262800087915
7702,1,fusion_source_balanced,2,0.3019009808641533,0.8754405278153763
7702,1,fusion_source_balanced,3,0.1868445594296899,0.9100219315224152
7702,1,fusion_source_balanced,4,0.1056034110573142,0.8926990738059595
7702,1,fusion_source_balanced,5,0.0846713588594697,0.9102474598749176
