seed,fold,model,condition,AUPRC,Brier,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10,fpr_01,fpr_05,fpr_10,temperature,best_val_AUPRC,aux_macro_AUPRC
7702,0,hist_ngram_xgb,cleanM0,0.8331105075995938,0.1750466403813762,0.2434210526315789,0.006269592476489,0.3486842105263157,0.0094043887147335,0.5,0.0501567398119122,0.9643564820289612,0.7665574848651886,0.2481754347681999,,,
7702,0,hist_ngram_xgb,F200,0.5147507026603906,0.2820632734808808,0.0,0.0,0.006578947368421,0.012539184952978,0.1447368421052631,0.0344827586206896,0.9643564820289612,0.7665574848651886,0.2481754347681999,,,
7702,0,hist_ngram_xgb,M3F200,0.495133613445454,0.2763220263865824,0.006578947368421,0.0,0.0328947368421052,0.0,0.131578947368421,0.0344827586206896,0.9643564820289612,0.7665574848651886,0.2481754347681999,,,
7702,0,hist_ngram_xgb,benign_general,,0.0057444849793863,,0.0,,0.0054347826086956,,0.0163043478260869,0.9643564820289612,0.7665574848651886,0.2481754347681999,,,
7702,0,sequence_only,cleanM0,0.8223807600841037,0.1486056849825437,0.3289473684210526,0.0094043887147335,0.5592105263157895,0.0250783699059561,0.5657894736842105,0.0564263322884012,0.8673833175595207,0.1430904108042359,0.0571961179991144,2.2748465538024902,0.9490152630991991,0.3756870321679694
7702,0,sequence_only,F200,0.7670639136210013,0.167502556188088,0.1907894736842105,0.0031347962382445,0.5394736842105263,0.018808777429467,0.5657894736842105,0.0282131661442006,0.8673833175595207,0.1430904108042359,0.0571961179991144,2.2748465538024902,0.9490152630991991,
7702,0,sequence_only,M3F200,0.8023380324454971,0.1622748386828444,0.2171052631578947,0.0031347962382445,0.5526315789473685,0.0282131661442006,0.5657894736842105,0.0595611285266457,0.8673833175595207,0.1430904108042359,0.0571961179991144,2.2748465538024902,0.9490152630991991,
7702,0,sequence_only,benign_general,,0.0044140060471243,,0.0,,0.0054347826086956,,0.0271739130434782,0.8673833175595207,0.1430904108042359,0.0571961179991144,2.2748465538024902,0.9490152630991991,
7702,0,ngram_only,cleanM0,0.6100939822027495,0.1895535041602963,0.0328947368421052,0.0031347962382445,0.3618421052631579,0.0532915360501567,0.4539473684210526,0.0815047021943573,0.7963038907228476,0.4360536267525055,0.2585240220453823,2.7210564613342285,0.7836980982012944,0.3649547014384018
7702,0,ngram_only,F200,0.4646697886867021,0.2221578211197169,0.0789473684210526,0.012539184952978,0.3684210526315789,0.1504702194357366,0.4407894736842105,0.2601880877742947,0.7963038907228476,0.4360536267525055,0.2585240220453823,2.7210564613342285,0.7836980982012944,
7702,0,ngram_only,M3F200,0.4123381234131204,0.2474691226427677,0.0921052631578947,0.018808777429467,0.3223684210526316,0.2037617554858934,0.4407894736842105,0.3855799373040752,0.7963038907228476,0.4360536267525055,0.2585240220453823,2.7210564613342285,0.7836980982012944,
7702,0,ngram_only,benign_general,,0.0509052142991266,,0.0108695652173913,,0.0489130434782608,,0.25,0.7963038907228476,0.4360536267525055,0.2585240220453823,2.7210564613342285,0.7836980982012944,
7702,0,dense_only,cleanM0,0.5327193317302709,0.2253178239228035,0.0723684210526315,0.0031347962382445,0.2368421052631578,0.0438871473354232,0.2894736842105263,0.1034482758620689,0.8782845736833593,0.814511888454617,0.7230894188172297,2.0585741996765137,0.6395536909608246,0.4535582126581281
7702,0,dense_only,F200,0.4270597698799752,0.2318224067718288,0.0,0.0,0.0592105263157894,0.0094043887147335,0.0986842105263157,0.0438871473354232,0.8782845736833593,0.814511888454617,0.7230894188172297,2.0585741996765137,0.6395536909608246,
7702,0,dense_only,M3F200,0.4247312001531125,0.2249987337004419,0.0,0.0031347962382445,0.0131578947368421,0.006269592476489,0.0657894736842105,0.0470219435736677,0.8782845736833593,0.814511888454617,0.7230894188172297,2.0585741996765137,0.6395536909608246,
7702,0,dense_only,benign_general,,0.1286922311601984,,0.0108695652173913,,0.0271739130434782,,0.0815217391304347,0.8782845736833593,0.814511888454617,0.7230894188172297,2.0585741996765137,0.6395536909608246,
7702,0,fusion_no_aux,cleanM0,0.7006399752047724,0.1584844785678398,0.0789473684210526,0.0,0.4342105263157895,0.012539184952978,0.5131578947368421,0.0752351097178683,0.8997432353804535,0.696111040105236,0.1934431842633987,3.94301962852478,0.8149267511891709,0.3649548315493039
7702,0,fusion_no_aux,F200,0.4883629666601228,0.238461984836245,0.0,0.0,0.0921052631578947,0.0094043887147335,0.1907894736842105,0.0626959247648902,0.8997432353804535,0.696111040105236,0.1934431842633987,3.94301962852478,0.8149267511891709,
7702,0,fusion_no_aux,M3F200,0.4743371768068899,0.2346660607155268,0.006578947368421,0.0,0.0921052631578947,0.0094043887147335,0.2105263157894736,0.0658307210031347,0.8997432353804535,0.696111040105236,0.1934431842633987,3.94301962852478,0.8149267511891709,
7702,0,fusion_no_aux,benign_general,,0.0271814319204395,,0.0,,0.0217391304347826,,0.0434782608695652,0.8997432353804535,0.696111040105236,0.1934431842633987,3.94301962852478,0.8149267511891709,
7702,0,fusion_multitask,cleanM0,0.6092531288652827,0.1988201541483642,0.1118421052631579,0.006269592476489,0.2894736842105263,0.0250783699059561,0.4473684210526316,0.0940438871473354,0.8956942761021633,0.8321963319933614,0.692247633922743,3.0173144340515137,0.7911091556434555,0.8157286087363262
7702,0,fusion_multitask,F200,0.4721217792570825,0.2244298125350075,0.0131578947368421,0.0,0.0526315789473684,0.0094043887147335,0.1644736842105263,0.0313479623824451,0.8956942761021633,0.8321963319933614,0.692247633922743,3.0173144340515137,0.7911091556434555,
7702,0,fusion_multitask,M3F200,0.4714361527137358,0.2180930310277426,0.006578947368421,0.0031347962382445,0.0855263157894736,0.018808777429467,0.1381578947368421,0.0501567398119122,0.8956942761021633,0.8321963319933614,0.692247633922743,3.0173144340515137,0.7911091556434555,
7702,0,fusion_multitask,benign_general,,0.0500104424360175,,0.0,,0.0163043478260869,,0.0326086956521739,0.8956942761021633,0.8321963319933614,0.692247633922743,3.0173144340515137,0.7911091556434555,
7702,0,fusion_source_balanced,cleanM0,0.6573395918389155,0.1683919474979529,0.2894736842105263,0.0094043887147335,0.4736842105263157,0.0250783699059561,0.5,0.0595611285266457,0.8973560426857503,0.4928575305799795,0.221181018033525,3.3337998390197754,0.8852869517370423,0.9452172089651576
