condition,emulator_ASR,authguard_ASR,difference,CI95,excludes_zero,n_paired_eligible,n_paired_shared_keys,n_families,n_distinct_sources,replicates
Flood-200 only,0.19907407407407407,0.11706349206349206,0.082010582010582,"[-0.04661073623119937, 0.2181034613822992]",False,1512,2181,209,727,10000
Tier A fixed oracle (flooding),0.31283068783068785,0.12896825396825398,0.18386243386243387,"[0.034791409346595824, 0.329960682273369]",True,1512,2181,209,727,10000
Tier B fixed oracle (flooding + metadata),0.31283068783068785,0.12896825396825398,0.18386243386243387,"[0.03526872737399053, 0.3299439760985736]",True,1512,2181,209,727,10000
Tier C fixed oracle (all seven),0.3525132275132275,0.13161375661375663,0.2208994708994709,"[0.06407536577161464, 0.3743591752347093]",True,1512,2181,209,727,10000
