model,condition,seed,fold,n_test,n_positive,temperature,best_val_AUPRC,threshold_01,threshold_05,threshold_10,AUPRC,AUROC,Brier,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
authguard_seq,M0,7702,0,446,152,1.2435489892959595,0.956129226000771,0.9862288420586732,0.74849321479008,0.2983465451682277,0.8253962034758445,0.8861551199427139,0.1538458257413261,0.27631578947368424,0.006802721088435374,0.5723684210526315,0.030612244897959183,0.5789473684210527,0.05442176870748299
authguard_seq,F200,7702,0,446,152,1.2435489892959595,0.956129226000771,0.9862288420586732,0.74849321479008,0.2983465451682277,0.7795355997861975,0.7957393483709274,0.14648858774281284,0.17763157894736842,0.003401360544217687,0.5131578947368421,0.023809523809523808,0.6381578947368421,0.11224489795918367
authguard_seq,M3+F200,7702,0,446,152,1.2435489892959595,0.956129226000771,0.9862288420586732,0.74849321479008,0.2983465451682277,0.7798168801561605,0.8197278911564625,0.14802828777853128,0.19078947368421054,0.003401360544217687,0.5657894736842105,0.05102040816326531,0.7039473684210527,0.17006802721088435
flat_cnn,M0,7702,0,446,152,2.52643084526062,0.9096595783082458,0.8492694079380101,0.6049182752596118,0.4960278664739061,0.8338437080476285,0.8901382921589689,0.1487749825214244,0.42105263157894735,0.013605442176870748,0.5460526315789473,0.034013605442176874,0.5657894736842105,0.04081632653061224
flat_cnn,F200,7702,0,446,152,2.52643084526062,0.9096595783082458,0.8492694079380101,0.6049182752596118,0.4960278664739061,0.5382026004124163,0.6832482993197279,0.24327308969285757,0.039473684210526314,0.0,0.07236842105263158,0.013605442176870748,0.10526315789473684,0.04421768707482993
flat_cnn,M3+F200,7702,0,446,152,2.52643084526062,0.9096595783082458,0.8492694079380101,0.6049182752596118,0.4960278664739061,0.4940598393999877,0.618219656283566,0.2544253796614924,0.046052631578947366,0.0,0.07236842105263158,0.023809523809523808,0.09868421052631579,0.04081632653061224
hist_ngram_xgb,M0,7702,0,446,152,2.4310617446899414,,0.7513715186778913,0.6407535051363449,0.3918351901162161,0.7922066035020778,0.8596379341210169,0.15786193202319965,0.2894736842105263,0.006802721088435374,0.34868421052631576,0.006802721088435374,0.5,0.047619047619047616
hist_ngram_xgb,F200,7702,0,446,152,2.4310617446899414,,0.7513715186778913,0.6407535051363449,0.3918351901162161,0.5141347398284448,0.6234335839598998,0.23542811395839883,0.013157894736842105,0.003401360544217687,0.05263157894736842,0.003401360544217687,0.17763157894736842,0.027210884353741496
hist_ngram_xgb,M3+F200,7702,0,446,152,2.4310617446899414,,0.7513715186778913,0.6407535051363449,0.3918351901162161,0.4538180299409322,0.6089106695309703,0.24531869939024142,0.0,0.0,0.02631578947368421,0.006802721088435374,0.11842105263157894,0.05442176870748299
authguard_seq,M0,7703,0,446,152,2.061343193054199,0.9546177847267798,0.9179210864913323,0.48693543640446557,0.11826149330785113,0.8195717795700843,0.8845103831006087,0.1605504199842968,0.47368421052631576,0.013605442176870748,0.5526315789473685,0.04081632653061224,0.5657894736842105,0.0782312925170068
