sample_id,project_identifier,seed,fold,calibrated_risk_score,warning_tier,decision_01,decision_05,decision_10,threshold_01,threshold_05,threshold_10,runtime_artifact,calibrated_risk_score_sd,runtime_artifact_score,runtime_artifact_warning_tier,runtime_artifact_decision_01,runtime_artifact_decision_05,runtime_artifact_decision_10
ethereum:0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,7703,1,0.06212538757609111,low_observed_risk,0.0,0.0,0.0,0.9572567139576434,0.6967116018002162,0.123584570658697,0,,,,,,
ethereum:0x0000000020fe2F30453074aD916eDeB653eC7E9D,0x0000000020fe2F30453074aD916eDeB653eC7E9D,7703,1,0.044353436718051066,low_observed_risk,0.0,0.0,0.0,0.9572567139576434,0.6967116018002162,0.123584570658697,0,,,,,,
ethereum:0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,7703,1,0.0744819503084924,low_observed_risk,0.0,0.0,0.0,0.9572567139576434,0.6967116018002162,0.123584570658697,0,,,,,,
ethereum:0x000000005c84F8Fd50b21CAC312528A64437030e,0x000000005c84F8Fd50b21CAC312528A64437030e,7703,1,0.041956239438735325,low_observed_risk,0.0,0.0,0.0,0.9572567139576434,0.6967116018002162,0.123584570658697,0,,,,,,
ethereum:0x69007702764179f14F51cdce752f4f775d74E139,0x69007702764179f14F51cdce752f4f775d74E139,7703,1,0.05823236545108163,low_observed_risk,0.0,0.0,0.0,0.9572567139576434,0.6967116018002162,0.123584570658697,0,,,,,,
ethereum:0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,7704,1,0.03252033129195542,low_observed_risk,0.0,0.0,0.0,0.9048783963233203,0.0772673361703072,0.05009817989134649,0,,,,,,
ethereum:0x0000000020fe2F30453074aD916eDeB653eC7E9D,0x0000000020fe2F30453074aD916eDeB653eC7E9D,7704,1,0.029343425273857335,low_observed_risk,0.0,0.0,0.0,0.9048783963233203,0.0772673361703072,0.05009817989134649,0,,,,,,
ethereum:0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,7704,1,0.0346993666117224,low_observed_risk,0.0,0.0,0.0,0.9048783963233203,0.0772673361703072,0.05009817989134649,0,,,,,,
ethereum:0x000000005c84F8Fd50b21CAC312528A64437030e,0x000000005c84F8Fd50b21CAC312528A64437030e,7704,1,0.02812405110046982,low_observed_risk,0.0,0.0,0.0,0.9048783963233203,0.0772673361703072,0.05009817989134649,0,,,,,,
ethereum:0x69007702764179f14F51cdce752f4f775d74E139,0x69007702764179f14F51cdce752f4f775d74E139,7704,1,0.03689360493447613,low_observed_risk,0.0,0.0,0.0,0.9048783963233203,0.0772673361703072,0.05009817989134649,0,,,,,,
ethereum:0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,7702,2,0.00488201364246045,low_observed_risk,0.0,0.0,0.0,0.11052006781345977,0.011120183059030928,0.008792987347803932,0,,,,,,
ethereum:0x0000000020fe2F30453074aD916eDeB653eC7E9D,0x0000000020fe2F30453074aD916eDeB653eC7E9D,7702,2,0.001944121850659168,low_observed_risk,0.0,0.0,0.0,0.11052006781345977,0.011120183059030928,0.008792987347803932,0,,,,,,
ethereum:0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,7702,2,0.32828206108951036,high,1.0,1.0,1.0,0.11052006781345977,0.011120183059030928,0.008792987347803932,0,,,,,,
ethereum:0x000000005c84F8Fd50b21CAC312528A64437030e,0x000000005c84F8Fd50b21CAC312528A64437030e,7702,2,0.0017324932512467713,low_observed_risk,0.0,0.0,0.0,0.11052006781345977,0.011120183059030928,0.008792987347803932,0,,,,,,
ethereum:0x69007702764179f14F51cdce752f4f775d74E139,0x69007702764179f14F51cdce752f4f775d74E139,7702,2,0.0028493711105782703,low_observed_risk,0.0,0.0,0.0,0.11052006781345977,0.011120183059030928,0.008792987347803932,0,,,,,,
ethereum:0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,7703,2,0.11247939806795426,caution,0.0,0.0,1.0,0.6822969761681094,0.15911307297732824,0.015143541688970625,0,,,,,,
ethereum:0x0000000020fe2F30453074aD916eDeB653eC7E9D,0x0000000020fe2F30453074aD916eDeB653eC7E9D,7703,2,0.01669049510418305,caution,0.0,0.0,1.0,0.6822969761681094,0.15911307297732824,0.015143541688970625,0,,,,,,
ethereum:0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,7703,2,0.07546888230659188,caution,0.0,0.0,1.0,0.6822969761681094,0.15911307297732824,0.015143541688970625,0,,,,,,
ethereum:0x000000005c84F8Fd50b21CAC312528A64437030e,0x000000005c84F8Fd50b21CAC312528A64437030e,7703,2,0.003023523908429777,low_observed_risk,0.0,0.0,0.0,0.6822969761681094,0.15911307297732824,0.015143541688970625,0,,,,,,
ethereum:0x69007702764179f14F51cdce752f4f775d74E139,0x69007702764179f14F51cdce752f4f775d74E139,7703,2,0.0049825890640834,low_observed_risk,0.0,0.0,0.0,0.6822969761681094,0.15911307297732824,0.015143541688970625,0,,,,,,
ethereum:0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,7704,2,0.583329647070245,high,1.0,1.0,1.0,0.48654868126985246,0.011362859544236627,0.009751775108221304,0,,,,,,
ethereum:0x0000000020fe2F30453074aD916eDeB653eC7E9D,0x0000000020fe2F30453074aD916eDeB653eC7E9D,7704,2,0.283381642744221,warning,0.0,1.0,1.0,0.48654868126985246,0.011362859544236627,0.009751775108221304,0,,,,,,
ethereum:0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,7704,2,0.0013094538987573788,low_observed_risk,0.0,0.0,0.0,0.48654868126985246,0.011362859544236627,0.009751775108221304,0,,,,,,
ethereum:0x000000005c84F8Fd50b21CAC312528A64437030e,0x000000005c84F8Fd50b21CAC312528A64437030e,7704,2,0.00580180637296883,low_observed_risk,0.0,0.0,0.0,0.48654868126985246,0.011362859544236627,0.009751775108221304,0,,,,,,
ethereum:0x69007702764179f14F51cdce752f4f775d74E139,0x69007702764179f14F51cdce752f4f775d74E139,7704,2,0.005511875886420249,low_observed_risk,0.0,0.0,0.0,0.48654868126985246,0.011362859544236627,0.009751775108221304,0,,,,,,
ethereum:0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,7702,3,0.0028420701635481077,low_observed_risk,0.0,0.0,0.0,0.9450515472276179,0.294791291746628,0.005523380233990859,0,,,,,,
ethereum:0x0000000020fe2F30453074aD916eDeB653eC7E9D,0x0000000020fe2F30453074aD916eDeB653eC7E9D,7702,3,0.002234895617155207,low_observed_risk,0.0,0.0,0.0,0.9450515472276179,0.294791291746628,0.005523380233990859,0,,,,,,
ethereum:0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,7702,3,0.027646161646251454,caution,0.0,0.0,1.0,0.9450515472276179,0.294791291746628,0.005523380233990859,0,,,,,,
ethereum:0x000000005c84F8Fd50b21CAC312528A64437030e,0x000000005c84F8Fd50b21CAC312528A64437030e,7702,3,0.0018998938031317939,low_observed_risk,0.0,0.0,0.0,0.9450515472276179,0.294791291746628,0.005523380233990859,0,,,,,,
ethereum:0x69007702764179f14F51cdce752f4f775d74E139,0x69007702764179f14F51cdce752f4f775d74E139,7702,3,0.001869703834014862,low_observed_risk,0.0,0.0,0.0,0.9450515472276179,0.294791291746628,0.005523380233990859,0,,,,,,
ethereum:0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,7703,3,0.34070655980141407,caution,0.0,0.0,1.0,0.9781480226849948,0.8253285288470547,0.21245984407864776,0,,,,,,
ethereum:0x0000000020fe2F30453074aD916eDeB653eC7E9D,0x0000000020fe2F30453074aD916eDeB653eC7E9D,7703,3,0.14149576933889044,low_observed_risk,0.0,0.0,0.0,0.9781480226849948,0.8253285288470547,0.21245984407864776,0,,,,,,
ethereum:0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,7703,3,0.056550394761544165,low_observed_risk,0.0,0.0,0.0,0.9781480226849948,0.8253285288470547,0.21245984407864776,0,,,,,,
ethereum:0x000000005c84F8Fd50b21CAC312528A64437030e,0x000000005c84F8Fd50b21CAC312528A64437030e,7703,3,0.08259204918510896,low_observed_risk,0.0,0.0,0.0,0.9781480226849948,0.8253285288470547,0.21245984407864776,0,,,,,,
ethereum:0x69007702764179f14F51cdce752f4f775d74E139,0x69007702764179f14F51cdce752f4f775d74E139,7703,3,0.06666705726039836,low_observed_risk,0.0,0.0,0.0,0.9781480226849948,0.8253285288470547,0.21245984407864776,0,,,,,,
ethereum:0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,7704,3,0.7718769327164705,caution,0.0,0.0,1.0,0.9629192502163686,0.9285009939932757,0.059332141263539785,0,,,,,,
ethereum:0x0000000020fe2F30453074aD916eDeB653eC7E9D,0x0000000020fe2F30453074aD916eDeB653eC7E9D,7704,3,0.06652257010791006,caution,0.0,0.0,1.0,0.9629192502163686,0.9285009939932757,0.059332141263539785,0,,,,,,
ethereum:0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,7704,3,0.029601603795843093,low_observed_risk,0.0,0.0,0.0,0.9629192502163686,0.9285009939932757,0.059332141263539785,0,,,,,,
ethereum:0x000000005c84F8Fd50b21CAC312528A64437030e,0x000000005c84F8Fd50b21CAC312528A64437030e,7704,3,0.017612031732075255,low_observed_risk,0.0,0.0,0.0,0.9629192502163686,0.9285009939932757,0.059332141263539785,0,,,,,,
ethereum:0x69007702764179f14F51cdce752f4f775d74E139,0x69007702764179f14F51cdce752f4f775d74E139,7704,3,0.018764581353016965,low_observed_risk,0.0,0.0,0.0,0.9629192502163686,0.9285009939932757,0.059332141263539785,0,,,,,,
ethereum:0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,7702,4,0.2833895819505108,caution,0.0,0.0,1.0,0.8867145071877149,0.5110397109626329,0.2597892537179546,0,,,,,,
ethereum:0x0000000020fe2F30453074aD916eDeB653eC7E9D,0x0000000020fe2F30453074aD916eDeB653eC7E9D,7702,4,0.21482286355890606,low_observed_risk,0.0,0.0,0.0,0.8867145071877149,0.5110397109626329,0.2597892537179546,0,,,,,,
ethereum:0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,7702,4,0.18415748334717535,low_observed_risk,0.0,0.0,0.0,0.8867145071877149,0.5110397109626329,0.2597892537179546,0,,,,,,
ethereum:0x000000005c84F8Fd50b21CAC312528A64437030e,0x000000005c84F8Fd50b21CAC312528A64437030e,7702,4,0.18225949732096414,low_observed_risk,0.0,0.0,0.0,0.8867145071877149,0.5110397109626329,0.2597892537179546,0,,,,,,
ethereum:0x69007702764179f14F51cdce752f4f775d74E139,0x69007702764179f14F51cdce752f4f775d74E139,7702,4,0.20138158927757,low_observed_risk,0.0,0.0,0.0,0.8867145071877149,0.5110397109626329,0.2597892537179546,0,,,,,,
ethereum:0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,7703,4,0.2869643832861101,low_observed_risk,0.0,0.0,0.0,0.8150449764731396,0.4135110644417157,0.2892865043273447,0,,,,,,
ethereum:0x0000000020fe2F30453074aD916eDeB653eC7E9D,0x0000000020fe2F30453074aD916eDeB653eC7E9D,7703,4,0.2522876772286741,low_observed_risk,0.0,0.0,0.0,0.8150449764731396,0.4135110644417157,0.2892865043273447,0,,,,,,
ethereum:0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,7703,4,0.24389195108601044,low_observed_risk,0.0,0.0,0.0,0.8150449764731396,0.4135110644417157,0.2892865043273447,0,,,,,,
ethereum:0x000000005c84F8Fd50b21CAC312528A64437030e,0x000000005c84F8Fd50b21CAC312528A64437030e,7703,4,0.2021270041633632,low_observed_risk,0.0,0.0,0.0,0.8150449764731396,0.4135110644417157,0.2892865043273447,0,,,,,,
ethereum:0x69007702764179f14F51cdce752f4f775d74E139,0x69007702764179f14F51cdce752f4f775d74E139,7703,4,0.22298418927047467,low_observed_risk,0.0,0.0,0.0,0.8150449764731396,0.4135110644417157,0.2892865043273447,0,,,,,,
ethereum:0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,7704,4,0.1857158521431482,low_observed_risk,0.0,0.0,0.0,0.7599840104443941,0.21543619031649214,0.18698206372543008,0,,,,,,
ethereum:0x0000000020fe2F30453074aD916eDeB653eC7E9D,0x0000000020fe2F30453074aD916eDeB653eC7E9D,7704,4,0.16441067358181613,low_observed_risk,0.0,0.0,0.0,0.7599840104443941,0.21543619031649214,0.18698206372543008,0,,,,,,
ethereum:0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,7704,4,0.16580095537499948,low_observed_risk,0.0,0.0,0.0,0.7599840104443941,0.21543619031649214,0.18698206372543008,0,,,,,,
ethereum:0x000000005c84F8Fd50b21CAC312528A64437030e,0x000000005c84F8Fd50b21CAC312528A64437030e,7704,4,0.1635044603080761,low_observed_risk,0.0,0.0,0.0,0.7599840104443941,0.21543619031649214,0.18698206372543008,0,,,,,,
ethereum:0x69007702764179f14F51cdce752f4f775d74E139,0x69007702764179f14F51cdce752f4f775d74E139,7704,4,0.16794005193913236,low_observed_risk,0.0,0.0,0.0,0.7599840104443941,0.21543619031649214,0.18698206372543008,0,,,,,,
ethereum:0x0000000020fe2F30453074aD916eDeB653eC7E9D,0x0000000020fe2F30453074aD916eDeB653eC7E9D,aggregate,all,0.13834258098251875,caution,0.0,0.06666666666666667,0.26666666666666666,,,,0,0.13633367293615448,0.3814731596906438,caution,0.0,0.0,1.0
ethereum:0x000000005c84F8Fd50b21CAC312528A64437030e,0x000000005c84F8Fd50b21CAC312528A64437030e,aggregate,all,0.0769820506603042,low_observed_risk,0.0,0.0,0.0,,,,0,0.07843210184233924,0.1538251516081784,low_observed_risk,0.0,0.0,0.0
ethereum:0x69007702764179f14F51cdce752f4f775d74E139,0x69007702764179f14F51cdce752f4f775d74E139,aggregate,all,0.12211059912783506,caution,0.0,0.0,0.06666666666666667,,,,0,0.16881281612769228,0.30363210491512954,caution,0.0,0.0,1.0
ethereum:0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,0xd6CEDDe84be40893d153Be9d467CD6aD37875b28,aggregate,all,0.2702340337549029,caution,0.06666666666666667,0.06666666666666667,0.5333333333333333,,,,0,0.2423190818393262,0.4909748826587998,caution,0.0,0.0,1.0
ethereum:0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4,aggregate,all,0.16003134735760513,caution,0.06666666666666667,0.06666666666666667,0.26666666666666666,,,,0,0.18494028314278316,0.4944200239364499,caution,0.0,0.0,1.0
