0x974S0x37ff
0x97dS0x37ff
0x8cbS0x946S0x37ff
0x8e2S0x946S0x37ff
0x8b2S0x946S0x37ff
0x2a2S0x83
0x2a8S0x83
0xb7bS0x248S0x83
0x8cbS0x9e1S0xb1
0x8e2S0x9e1S0xb1
0x8b2S0x9e1S0xb1
0xb7bS0x43dS0xac
0x974S0x387b
0x97dS0x387b
0x8cbS0x946S0x387b
0x8e2S0x946S0x387b
0x8b2S0x946S0x387b
0x666S0xcd
0x66cS0xcd
0xb7bS0x60cS0xcd
