0x970S0x37ff
0x977S0x37ff
0x8c5S0x946S0x37ff
0x8afS0x946S0x37ff
0x8c5S0x9e1S0xb1
0x8afS0x9e1S0xb1
0x970S0x387b
0x977S0x387b
0x8c5S0x946S0x387b
0x8afS0x946S0x387b
