0x6b
0x6c
0x88
0x89
0x8b
0x8c
0x8f
0x90
0x91
0x94
0x95
0x96
0x98
0x99
0x9a
0x9b
0x9c
0x9d
0x14f
0x150
0x152
0x153
0x154
0x155
0x156
0x157
0x37d
0x37e
0x37f
0x380
0x381
0x382
0x383
0x384
0x385
0x862
0x863
0x864
0x865
0x866
0x867
0x868
0xa68
0xa69
0xa6a
0xa6b
0xa6c
0xa6d
0xa6e
0xa6f
0xa70
0xa91
0xa93
0xa94
0xa96
0xa98
0xa99
0xa9b
0xa9d
0xa9e
0xa9f
0xac0
0xac2
0xac3
0xac5
0xac7
0xac8
0xaca
0xacc
0x382b
0x382c
0x382e
0x382f
0x3830
0x3831
0x3832
0x3833
