0x0	0xd
0xd	0x1e
0x5e	0x39eb
0x43	0x4f
0x107	0x13c0x107
0xd2	0xda
0xf2	0xfa
0x1e	0x29
0x29	0x34
0x34	0x3f
0x4f	0x5a
0xa32B0xde	0xa40B0xde
0xa44B0xde	0xa64B0xde
0x1070x818B0xfe	0x13c0x818B0xfe
0x93dB0x37ff	0x946B0x37ff
0x916B0x37ff	0x93dB0x37ff
0x8daB0x946B0x37ff	0x8e3B0x946B0x37ff
0x8d1B0x946B0x37ff	0x8daB0x946B0x37ff
0x8b5B0x946B0x37ff	0x8beB0x946B0x37ff
0x8abB0x946B0x37ff	0x8b5B0x946B0x37ff
0x1caB0x83	0x1d6B0x83
0x158B0x83	0x16dB0x83
0x174B0x83	0x18eB0x83
0x1baB0x83	0x1c1B0x83
0x192B0x83	0x1b8B0x83
0x313B0x83	0x31cB0x83
0x1ddB0x83	0x1f2B0x83
0x256B0x83	0x272B0x83
0x293B0x83	0x298B0x83
0x298B0x83	0x2b2B0x83
0x1c1B0x83	0x1caB0x83
0x18eB0x83	0x192B0x83
0xacdB0x1f9B0x83	0xafdB0x1f9B0x83
0xa32B0x20bB0x83	0xa40B0x20bB0x83
0xa44B0x20bB0x83	0xa64B0x20bB0x83
0xb0bB0x224B0x83	0xb3cB0x224B0x83
0xb40B0x224B0x83	0xb57B0x224B0x83
0xb5bB0x224B0x83	0xb6cB0x224B0x83
0x9aaB0xb1	0x9d8B0xb1
0x9d8B0xb1	0x9e1B0xb1
0x8daB0x9e1B0xb1	0x8e3B0x9e1B0xb1
0x8d1B0x9e1B0xb1	0x8daB0x9e1B0xb1
0x8b5B0x9e1B0xb1	0x8beB0x9e1B0xb1
0x8abB0x9e1B0xb1	0x8b5B0x9e1B0xb1
0x3e6B0xac	0x3f2B0xac
0x386B0xac	0x39cB0xac
0x3a3B0xac	0x3bdB0xac
0x3d6B0xac	0x3ddB0xac
0x3c1B0xac	0x3d4B0xac
0x44bB0xac	0x467B0xac
0x488B0xac	0x48dB0xac
0x48dB0xac	0x499B0xac
0x4a0B0xac	0x4b3B0xac
0x3ddB0xac	0x3e6B0xac
0x3bdB0xac	0x3c1B0xac
0xb80B0x3f9B0xac	0xbb0B0x3f9B0xac
0xa32B0x40bB0xac	0xa40B0x40bB0xac
0xa44B0x40bB0xac	0xa64B0x40bB0xac
0xb0bB0x41aB0xac	0xb3cB0x41aB0xac
0xb40B0x41aB0xac	0xb57B0x41aB0xac
0xb5bB0x41aB0xac	0xb6cB0x41aB0xac
0x93dB0x387b	0x946B0x387b
0x916B0x387b	0x93dB0x387b
0x8daB0x946B0x387b	0x8e3B0x946B0x387b
0x8d1B0x946B0x387b	0x8daB0x946B0x387b
0x8b5B0x946B0x387b	0x8beB0x946B0x387b
0x8abB0x946B0x387b	0x8b5B0x946B0x387b
0x599B0xcd	0x5a5B0xcd
0x527B0xcd	0x53cB0xcd
0x543B0xcd	0x55dB0xcd
0x589B0xcd	0x590B0xcd
0x561B0xcd	0x587B0xcd
0x5acB0xcd	0x5c1B0xcd
0x61aB0xcd	0x636B0xcd
0x657B0xcd	0x65cB0xcd
0x65cB0xcd	0x676B0xcd
0x590B0xcd	0x599B0xcd
0x55dB0xcd	0x561B0xcd
0xbb4B0x5c8B0xcd	0xbe4B0x5c8B0xcd
0xa32B0x5daB0xcd	0xa40B0x5daB0xcd
0xa44B0x5daB0xcd	0xa64B0x5daB0xcd
0xb0bB0x5e9B0xcd	0xb3cB0x5e9B0xcd
0xb40B0x5e9B0xcd	0xb57B0x5e9B0xcd
0xb5bB0x5e9B0xcd	0xb6cB0x5e9B0xcd
0x6d6B0xed	0x73aB0xed
0x767B0xed	0x7e6B0xed
0xbe8B0xed	0xbf6B0xed
0xc01B0x7efB0xed	0xc0fB0x7efB0xed
0xc13B0x7efB0xed	0xc1fB0x7efB0xed
0x869B0x75	0x878B0x75
0x87cB0x75	0x88fB0x75
0x82fB0x893B0x75	0x843B0x893B0x75
0x847B0x893B0x75	0x85eB0x893B0x75
0x81dB0x893B0x75	0x82bB0x893B0x75
0x869B0x9e	0x878B0x9e
0x87cB0x9e	0x88fB0x9e
0x82fB0x893B0x9e	0x843B0x893B0x9e
0x847B0x893B0x9e	0x85eB0x893B0x9e
0x81dB0x893B0x9e	0x82bB0x893B0x9e
0x869B0xbf	0x878B0xbf
0x87cB0xbf	0x88fB0xbf
0x82fB0x893B0xbf	0x843B0x893B0xbf
0x847B0x893B0xbf	0x85eB0x893B0xbf
0x81dB0x893B0xbf	0x82bB0x893B0xbf
0x1b8B0x83	0x1baB0x83
0x3d4B0xac	0x3d6B0xac
0x587B0xcd	0x589B0xcd
