seed,fold,n,FPR_01,FPR_05,FPR_10,mean_calibrated_score,median_calibrated_score,threshold_01,threshold_05,threshold_10,artifact_path,FPR_01_sd,FPR_05_sd,FPR_10_sd,mean_calibrated_score_sd,median_calibrated_score_sd
7702,0,797,0.0012547051442910915,0.09912170639899624,0.2534504391468005,0.21932016062308915,0.046897873454351806,0.9862288420586732,0.74849321479008,0.2983465451682277,revision_v2/experiments/robustness_operational_v2/models/model_authguard_seq_s7702_f0.pt,,,,,
7703,0,797,0.0075282308657465494,0.026348808030112924,0.0890840652446675,0.06319667123120953,0.024175193450948363,0.9179210864913323,0.48693543640446557,0.11826149330785113,revision_v2/experiments/robustness_operational_v2/models/model_authguard_seq_s7703_f0.pt,,,,,
7704,0,797,0.0075282308657465494,0.03889585947302384,0.05897114178168131,0.24598960166155348,0.125785901377937,0.8923500639019194,0.8480661239695831,0.7767007751194359,revision_v2/experiments/robustness_operational_v2/models/model_authguard_seq_s7704_f0.pt,,,,,
7702,1,797,0.0,0.018820577164366373,0.15558343789209536,0.06566146125732183,0.01975534820357913,0.9433019881053797,0.6473256714643667,0.04014793046148297,revision_v2/experiments/robustness_operational_v2/models/model_authguard_seq_s7702_f1.pt,,,,,
7703,1,797,0.0037641154328732747,0.033877038895859475,0.13927227101631118,0.1014169169532434,0.046403333209817405,0.9572567139576434,0.6967116018002162,0.123584570658697,revision_v2/experiments/robustness_operational_v2/models/model_authguard_seq_s7703_f1.pt,,,,,
7704,1,797,0.0012547051442910915,0.05269761606022585,0.08406524466750313,0.046485070209867856,0.0320552060212838,0.9048783963233203,0.0772673361703072,0.05009817989134649,revision_v2/experiments/robustness_operational_v2/models/model_authguard_seq_s7704_f1.pt,,,,,
7702,2,797,0.08531994981179424,0.1806775407779172,0.22082810539523212,0.05087150875441824,0.0022858159627510096,0.11052006781345977,0.011120183059030928,0.008792987347803932,revision_v2/experiments/robustness_operational_v2/models/model_authguard_seq_s7702_f2.pt,,,,,
7703,2,797,0.07026348808030113,0.14303638644918445,0.43036386449184444,0.10463987953589123,0.008525554627891507,0.6822969761681094,0.15911307297732824,0.015143541688970625,revision_v2/experiments/robustness_operational_v2/models/model_authguard_seq_s7703_f2.pt,,,,,
7704,2,797,0.03638644918444166,0.24843161856963614,0.26223337515683814,0.04624708363623872,0.002501191951936059,0.48654868126985246,0.011362859544236627,0.009751775108221304,revision_v2/experiments/robustness_operational_v2/models/model_authguard_seq_s7704_f2.pt,,,,,
7702,3,797,0.005018820577164366,0.011292346298619825,0.08531994981179424,0.013966609579115146,0.002167325125993944,0.9450515472276179,0.294791291746628,0.005523380233990859,revision_v2/experiments/robustness_operational_v2/models/model_authguard_seq_s7702_f3.pt,,,,,
7703,3,797,0.0,0.020075282308657464,0.06775407779171895,0.07461439931852007,0.029106597024314534,0.9781480226849948,0.8253285288470547,0.21245984407864776,revision_v2/experiments/robustness_operational_v2/models/model_authguard_seq_s7703_f3.pt,,,,,
7704,3,797,0.0037641154328732747,0.011292346298619825,0.24717691342534504,0.07743690559732143,0.024193673720174117,0.9629192502163686,0.9285009939932757,0.059332141263539785,revision_v2/experiments/robustness_operational_v2/models/model_authguard_seq_s7704_f3.pt,,,,,
7702,4,797,0.0,0.04015056461731493,0.26223337515683814,0.21739688029698426,0.17839441635026831,0.8867145071877149,0.5110397109626329,0.2597892537179546,revision_v2/experiments/robustness_operational_v2/models/model_authguard_seq_s7702_f4.pt,,,,,
7703,4,797,0.0012547051442910915,0.02132998745294856,0.10664993726474278,0.21992397148618748,0.20038018854391348,0.8150449764731396,0.4135110644417157,0.2892865043273447,revision_v2/experiments/robustness_operational_v2/models/model_authguard_seq_s7703_f4.pt,,,,,
7704,4,797,0.0012547051442910915,0.03136762860727729,0.07026348808030113,0.17705968424401297,0.16803534440195875,0.7599840104443941,0.21543619031649214,0.18698206372543008,revision_v2/experiments/robustness_operational_v2/models/model_authguard_seq_s7704_f4.pt,,,,,
mean_across_seed_means,all,797,0.014972814721873692,0.06516102049351737,0.16888331242158094,0.11494845362566498,0.060710864228474624,,,,15 CV models,0.0035626163846167883,0.011779684980198376,0.020857814168496448,0.0026278323386944007,0.008445762748026503
